"title","description","streetaddress","city","state","amenityfeatures","type","Year","notes","lon","lat","status","unclear_address","full.address","geoAddress","ID"
"Alibi Lounge","","","Boise","ID","","Bars/Clubs",1974,"",-116.202314,43.615019,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1974-ID-0001"
"Alpine Villa Townhouse","","Box 456, Ketchum Id., 83340","Sun Valley","ID","(H),(M)","Hotel",1980,"",-114.351717,43.697129,"Verified Location",NA,NA,NA,"1980-ID-0002"
"Alpine Villa Townhouses","","Box 456, Ketchum, Idaho 83340","Sun Valley","ID","(H)","Hotel",1977,"",-114.351717,43.697129,"Verified Location",NA,NA,NA,"1977-ID-0003"
"Alpine Villa Townhouses","","Box 456, Ketchum Id. 83340","Sun Valley","ID","(H)","Hotel",1978,"",-114.351717,43.697129,"Verified Location",NA,NA,NA,"1978-ID-0004"
"Apline Villa Townhouses","","Box 456, Ketchum, Id. 83340","Sun Valley","ID","(H)","Hotel",1979,"",-114.351717,43.697129,"Verified Location",NA,NA,NA,"1979-ID-0005"
"Atom Club","","230 W. Lewis","Pocatello","ID","(M),(YC),(*)","Bars/Clubs",1977,NA,-112.4494001,42.8617144,"Google Verified Location",NA,NA,NA,"1977-ID-0006"
"Atom Club","","230 W. Lewis","Pocatello","ID","(M),(YC),(*)","Bars/Clubs",1976,NA,-112.4494001,42.8617144,"Google Verified Location",NA,NA,NA,"1976-ID-0007"
"Bernie's Lounge","nr. Center","100 S. Main ","Pocatello","ID","","Bars/Clubs",1980,NA,-112.4506275,42.8621121,"Google Verified Location",NA,NA,NA,"1980-ID-0008"
"Bernie's Lounge","(nr. center)","100 So. Main ","Pocatello","ID","(*)","Bars/Clubs",1978,NA,-112.4506275,42.8621121,"Google Verified Location",NA,NA,NA,"1978-ID-0009"
"Bernie's Lounge","nr. Center","100 S. Main","Pocatello","ID","","Bars/Clubs",1979,NA,-112.4506275,42.8621121,"Google Verified Location",NA,NA,NA,"1979-ID-0010"
"Block surrounding Idanha Hotel","","","Boise","ID","Cruisy Area","Cruising Areas",1980,"",-116.205511,43.617211,"Verified Location",NA,NA,NA,"1980-ID-0011"
"Block surrounding the Idanha Hotel","","","Boise","ID","Cruisy Area","Cruising Areas",1979,"",-116.205511,43.617211,"Verified Location",NA,NA,NA,"1979-ID-0012"
"Block Surrounding the Idanho Hotel","","","Boise","ID","Cruisy Area","Cruising Areas",1978,"",-116.205511,43.617211,"Verified Location",NA,NA,NA,"1978-ID-0013"
"Block Surrounding the Idanho Hotel","","","Boise","ID","Cruisy Area","Cruising Areas",1974,"",-116.205511,43.617211,"Verified Location",NA,NA,NA,"1974-ID-0014"
"Block Surrounding the Idanho Hotel","","","Boise","ID","Cruisy Area","Cruising Areas",1975,"",-116.205511,43.617211,"Verified Location",NA,NA,NA,"1975-ID-0015"
"Block Surrounding the Idanho Hotel","","","Boise","ID","Cruisy Area","Cruising Areas",1976,"",-116.205511,43.617211,"Verified Location",NA,NA,NA,"1976-ID-0016"
"Block Surrounding the Idanho Hotel","","","Boise","ID","Cruisy Area","Cruising Areas",1977,"",-116.205511,43.617211,"Verified Location",NA,NA,NA,"1977-ID-0017"
"Block Surrounding the Idanho Hotel","","","Boise","ID","Cruisy Area","Cruising Areas",1973,"",-116.205511,43.617211,"Verified Location",NA,NA,NA,"1973-ID-0018"
"Book People","(Books & info) ","512 S. Main","Moscow","ID","(*)","Book Store",1980,NA,-117.0010682,46.7306249,"Google Verified Location",NA,NA,NA,"1980-ID-0019"
"Cheap Chic","(Clothing)","222 N. 9th","Boise","ID","","Business",1980,NA,-116.2031439,43.6175313,"Google Verified Location",NA,NA,NA,"1980-ID-0020"
"Classroom Center - T-Rooms/University of Idaho","","","Moscow","ID","Cruisy Area","Cruising Areas",1977,"",-117.012608,46.728812,"Verified Location",NA,NA,NA,"1977-ID-0021"
"Coach Lantern","Out of downtown area - inquire locally","","Boise","ID","","Bars/Clubs",1972,"",-116.202314,43.615019,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1972-ID-0022"
"Headquarters Books","('Toys', 'flicks' & cruisy arcade)","414 Main","Lewiston","ID","(*)","Book Store,Cruising Areas",1979,NA,-117.001189,46.4004089,"Google Verified Location",NA,NA,NA,"1979-ID-0023"
"Headquarters Books","('Toys', 'flicks' & cruisy arcade)","414 Main","Lewiston","ID","(*)","Book Store,Cruising Areas",1980,NA,-117.001189,46.4004089,"Google Verified Location",NA,NA,NA,"1980-ID-0024"
"Idanha Hotel","(downstairs bar)","10th & Main Sts.","Boise","ID","(M)","Hotel,Bars/Clubs",1969,"",-116.205854,43.616794,"Verified Location",NA,NA,NA,"1969-ID-0025"
"Idanha Hotel","(downstairs)","10th & Main Sts.","Boise","ID","(M)","Hotel,Bars/Clubs",1970,"",-116.205854,43.616794,"Verified Location",NA,NA,NA,"1970-ID-0026"
"Idanha Hotel","(downstairs)","10th & Main Sts.","Boise","ID","(M)","Hotel,Bars/Clubs",1966,"",-116.205854,43.616794,"Verified Location",NA,NA,NA,"1966-ID-0027"
"Idanha Hotel","(downstairs bar)","10th & Main Sts.","Boise","ID","(M)","Hotel,Bars/Clubs",1968,"",-116.205854,43.616794,"Verified Location",NA,NA,NA,"1968-ID-0028"
"Idanha Hotel","(downstairs)","10th & Main Sts.","Boise","ID","(M)","Hotel,Bars/Clubs",1971,"",-116.205854,43.616794,"Verified Location",NA,NA,NA,"1971-ID-0029"
"Idanho Hotel Weeds Bar","(downstairs)","10th & Main Sts.","Boise","ID","(M)","Bars/Clubs,Hotel",1972,"",-116.205854,43.616794,"Verified Location",NA,NA,NA,"1972-ID-0030"
"Kopper Kitchen","","I-80 at Vista","Boise","ID","(M),(R),(C),(AH)","Restaurant",1980,"Vista Ave Seems to no longer exist - replaced by an airport maybe?",-116.202314,43.615019,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1980-ID-0031"
"Lewis & Clark Motel","","2nd & Main","Lewiston","ID","(M),(H)","Hotel",1980,"approximate.",-117.030526,46.421548,"Verified Location",NA,NA,NA,"1980-ID-0032"
"Lewis & Clark Motel","","2nd & Main","Lewiston","ID","(M),(H)","Hotel",1979,"approximate.",-117.030526,46.421548,"Verified Location",NA,NA,NA,"1979-ID-0033"
