"title","description","streetaddress","city","state","amenityfeatures","type","Year","notes","lon","lat","status","unclear_address","full.address","geoAddress","ID"
"'Rest Stop'","","on I-94 No. nr. Zion","Waukegan","IL","Cruisy Area","Cruising Areas",1978,"",-87.844794,42.363633,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1978-IL-0001"
"'Rest Stop'","","on I-74, betw. Peoria & Bloomington","Peoria","IL","Cruisy Area","Cruising Areas",1979,"",-89.588986,40.693649,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1979-IL-0002"
"'Rest Stop'","","6 mi. N. on US 67","Macomb","IL","Cruisy Area","Cruising Areas",1980,"",-90.671797,40.459208,"Verified Location",NA,NA,NA,"1980-IL-0003"
"'Rest Stop'","","US 34 East","Monmouth","IL","Cruisy Area","Cruising Areas",1979,"",-90.647358,40.911427,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1979-IL-0004"
"'Rest Stop'","","on I-74 nr. Le Roy","Bloomington","IL","Cruisy Area","Cruising Areas",1980,"",-88.993687,40.484203,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1980-IL-0005"
"'Rest Stop'","","US 51 South","La Salle","IL","Cruisy Area","Cruising Areas",1979,"",-89.041825,41.36215,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1979-IL-0006"
"'Rest Stop'","","on US 51 South","La Salle","IL","Cruisy Area","Cruising Areas",1980,"",-89.041825,41.36215,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1980-IL-0007"
"'Rest Stop'","","on I-74 nr. Le Roy","Bloomington","IL","Cruisy Area","Cruising Areas",1979,"",-88.993687,40.484203,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1979-IL-0008"
"'Rest Stop'","","on I-94, N. nr. Zion","Waukegan","IL","Cruisy Area","Cruising Areas",1979,"",-87.844794,42.363633,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1979-IL-0009"
"'Rest Stop'","","on US 34 East","Monmouth","IL","Cruisy Area","Cruising Areas",1980,"",-90.647358,40.911427,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1980-IL-0010"
"'The Wall'","","by Church at Monroe & Unversity","Carbondale","IL","Cruisy Area","Cruising Areas",1980,"",-89.218464,37.726089,"Verified Location",NA,NA,NA,"1980-IL-0011"
"'The Wall""","","by Church at Monroe & Unversity","Carbondale","IL","Cruisy Area","Cruising Areas",1979,"",-89.218464,37.726089,"Verified Location",NA,NA,NA,"1979-IL-0012"
"""Rest Stop'","","on I-94, N. nr. Zion","Waukegan","IL","Cruisy Area","Cruising Areas",1980,"",-87.844794,42.363633,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1980-IL-0013"
"""The Wall""","by Church","Monroe & University","Carbondale","IL","Cruisy Area","Cruising Areas",1977,"",-89.218464,37.726089,"Verified Location",NA,NA,NA,"1977-IL-0014"
"17th & Dear Streets","","","Rock Island","IL","Cruisy Area","Cruising Areas",1977,"",-90.578748,41.509477,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1977-IL-0015"
"17th & Dear Sts.","","","Rock Island","IL","Cruisy Area","Cruising Areas",1978,"",-90.578748,41.509477,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1978-IL-0016"
"Abbot Hotel","","721 W. Belmont","Chicago","IL","(H),(*)","Hotel",1979,NA,-87.6477631,41.9398071,"Google Verified Location",NA,NA,NA,"1979-IL-0017"
"Abbott Hotel","","721 W. Belmont","Chicago","IL","(H),(*)","Hotel",1980,NA,-87.6477631,41.9398071,"Google Verified Location",NA,NA,NA,"1980-IL-0018"
"Abbott Hotel","","721 W. Belmont","Chicago","IL","(H)","Hotel,Baths",1978,NA,-87.6477631,41.9398071,"Google Verified Location",NA,NA,NA,"1978-IL-0019"
"Adam Adult Movie Arcade","","49 W. Chicago St.","Chicago","IL","","Theatre,Business",1978,NA,-87.6303673,41.8963385,"Google Verified Location",NA,NA,NA,"1978-IL-0020"
"Adam Books & Arcade","(Open 24 hours)","49 W. Chicago","Chicago","IL","(*)","Book Store",1980,NA,-87.6303673,41.8963385,"Google Verified Location",NA,NA,NA,"1980-IL-0021"
"Adam Books & Arcade ","(Open 24 hrs.)","49 W. Chicago","Chicago","IL","","Book Store",1979,NA,-87.6303673,41.8963385,"Google Verified Location",NA,NA,NA,"1979-IL-0022"
"Adams Adult Movie Arcade","","49 W. Chicago Avenue","Chicago","IL","","Business",1977,NA,-87.6303673,41.8963385,"Google Verified Location",NA,NA,NA,"1977-IL-0023"
"Adonis Book Store","","6 E. Walton St.","Chicago","IL","","Book Store",1978,NA,-87.6280388,41.9001021,"Google Verified Location",NA,NA,NA,"1978-IL-0024"
"Adron's","","41 S. Harlem Ave.","Forest Park","IL","(*)","Bars/Clubs",1973,NA,-87.8046631,41.8793983,"Google Verified Location",NA,NA,NA,"1973-IL-0025"
"Adron's","","41 S. Harlem Ave.","Forest Park","IL","(*)","Bars/Clubs",1976,NA,-87.8046631,41.8793983,"Google Verified Location",NA,NA,NA,"1976-IL-0026"
"Adron's","","41 S. Harlem Ave.","Forest Park","IL","(*)","Bars/Clubs",1974,NA,-87.8046631,41.8793983,"Google Verified Location",NA,NA,NA,"1974-IL-0027"
"Adron's ","","41 S. Harlem Ave.","Forest Park","IL","(*)","Bars/Clubs",1971,NA,-87.8046631,41.8793983,"Google Verified Location",NA,NA,NA,"1971-IL-0028"
"Adron's ","","41 S. Harlem Ave.","Forest Park","IL","(*)","Bars/Clubs",1972,NA,-87.8046631,41.8793983,"Google Verified Location",NA,NA,NA,"1972-IL-0029"
"Adron's ","","41 S. Harlem Ave.","Forest Park","IL","(*)","Bars/Clubs",1975,NA,-87.8046631,41.8793983,"Google Verified Location",NA,NA,NA,"1975-IL-0030"
"Adron's ","","41 S. Harlem Avenue","Forest Park","IL","(*)","Bars/Clubs",1977,NA,-87.8046631,41.8793983,"Google Verified Location",NA,NA,NA,"1977-IL-0031"
"Adult Pleasure Palace","(Books, 'flicks', 'peep shows', cruisy arcade)","331 20th St.","Rock Island","IL","(*)","Book Store,Cruising Areas",1979,NA,-90.571566,41.50908,"Google Verified Location",NA,NA,NA,"1979-IL-0032"
"Adult Pleasure Palace","(Books, 'flicks', peep shows & cruisy aracde)","331 20th St.","Rock Island","IL","(*)","Book Store,Cruising Areas",1980,NA,-90.571566,41.50908,"Google Verified Location",NA,NA,NA,"1980-IL-0033"
"Aire Crown Forest Preserve","(Summers)","","La Grange","IL","Cruisy Area","Cruising Areas",1977,"",-87.87216,41.768373,"Verified Location",NA,NA,NA,"1977-IL-0034"
"Airie Crown Forest Preserve","(summers only)","","La Grange","IL","Cruisy Area","Cruising Areas",1976,"",-87.87216,41.768373,"Verified Location",NA,NA,NA,"1976-IL-0035"
"Airie Crown Forest Preserve","(Closed in winter)","","La Grange","IL","Cruisy Area","Cruising Areas",1975,"",-87.87216,41.768373,"Verified Location",NA,NA,NA,"1975-IL-0036"
"Airie Crown Forest Preserve","(Summers)","","La Grange","IL","Cruisy Area","Cruising Areas",1979,"",-87.87216,41.768373,"Verified Location",NA,NA,NA,"1979-IL-0037"
"Airie Crown Forest Preserve","(Summers)","","La Grange","IL","Cruisy Area","Cruising Areas",1978,"",-87.87216,41.768373,"Verified Location",NA,NA,NA,"1978-IL-0038"
"Airie Crown Forest Preserve","(Summers)","","La Grange","IL","Cruisy Area","Cruising Areas",1980,"",-87.87216,41.768373,"Verified Location",NA,NA,NA,"1980-IL-0039"
"Alameda","","5210 N. Sheridan ","Chicago","IL","(*)","Bars/Clubs",1972,NA,-87.6556018,41.9768633,"Google Verified Location",NA,NA,NA,"1972-IL-0040"
"Alameda","","5210 N. Sheridan","Chicago","IL","(*)","Bars/Clubs",1973,NA,-87.6556018,41.9768633,"Google Verified Location",NA,NA,NA,"1973-IL-0041"
"Alameda","","5210 N. Sheridan Rd.","Chicago","IL","(*)","Bars/Clubs",1971,NA,-87.6556018,41.9768633,"Google Verified Location",NA,NA,NA,"1971-IL-0042"
"Alameda","","5210 N. Sheridan","Chicago","IL","","Bars/Clubs",1974,NA,-87.6556018,41.9768633,"Google Verified Location",NA,NA,NA,"1974-IL-0043"
"Alameda","","5210 N. Sheridan","Chicago","IL","","Bars/Clubs",1975,NA,-87.6556018,41.9768633,"Google Verified Location",NA,NA,NA,"1975-IL-0044"
"Alameda","","5210 N. Sheridan","Chicago","IL","","Bars/Clubs",1976,NA,-87.6556018,41.9768633,"Google Verified Location",NA,NA,NA,"1976-IL-0045"
"Alameda","(""Drags"")","5210 N. Sheridan","Chicago","IL","(RT)","Bars/Clubs",1977,NA,-87.6556018,41.9768633,"Google Verified Location",NA,NA,NA,"1977-IL-0046"
"Alameda ","","5210 N. Sheridan Rd","Chicago","IL","(*)","Bars/Clubs",1970,NA,-87.6556018,41.9768633,"Google Verified Location",NA,NA,NA,"1970-IL-0047"
"Alfie's","","900 N. Rush St.","Chicago","IL","(YC),(*)","Cruising Areas,Bars/Clubs",1980,NA,-87.6267975,41.8991897,"Google Verified Location",NA,NA,NA,"1980-IL-0048"
"Alfie's","(Cocktail hour)","900 N. Rush St.","Chicago","IL","(M),(YC),(R)","Restaurant",1978,NA,-87.6267975,41.8991897,"Google Verified Location",NA,NA,NA,"1978-IL-0049"
"Alfie's ","","900 N. Rush St.","Chicago","IL","(YC),(*)","Bars/Clubs,Cruising Areas",1979,NA,-87.6267975,41.8991897,"Google Verified Location",NA,NA,NA,"1979-IL-0050"
"Alibi","","223 N. 5th St.","Springfield","IL","","Bars/Clubs",1972,NA,-89.6494328,39.8033043,"Google Verified Location",NA,NA,NA,"1972-IL-0051"
"Amtrak Station","","","Springfield","IL","(AYOR),Cruisy Area","Cruising Areas",1980,"",-89.651328,39.802343,"Verified Location",NA,NA,NA,"1980-IL-0052"
"Amtrak Station","","","Springfield","IL","(AYOR),Cruisy Area","Cruising Areas",1979,"",-89.651328,39.802343,"Verified Location",NA,NA,NA,"1979-IL-0053"
"Annex","","2865 N Clark St","Chicago","IL","(*)","Bars/Clubs",1969,NA,-87.6460955,41.934492,"Google Verified Location",NA,NA,NA,"1969-IL-0054"
