"title","description","streetaddress","city","state","amenityfeatures","type","Year","notes","lon","lat","status","unclear_address","full.address","geoAddress","ID"
"'Homo Heights'","","W. Wayne St, nr. Webster","Ft. Wayne","IN","Cruisy Area","Cruising Areas",1978,"",-85.147022,41.077059,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1978-IN-0001"
"'Rest Area'","","10 mi. S. on Ind. 36, just off Ind. 3","Muncie","IN","Cruisy Area","Cruising Areas",1976,"",-85.38636,40.193377,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1976-IN-0002"
"'Rest Area'","","3 mi. N.F. on U.S 40","Knightstown","IN","Cruisy Area","Cruising Areas",1975,"",-85.526363,39.795601,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1975-IN-0003"
"'Rest Area'","","3 mi. N.E. on U.S. 40","Knightstown","IN","Cruisy Area","Cruising Areas",1976,"",-85.526363,39.795601,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1976-IN-0004"
"'Rest area'","","2 mi. W. on U.S. 30","Valparaiso","IN","Cruisy Area","Cruising Areas",1976,"",-87.061141,41.473095,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1976-IN-0005"
"'Rest Stop'","","3 mi. N. on Ind. 43","Lafayette","IN","Cruisy Area","Cruising Areas",1976,"",-86.875287,40.416702,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1976-IN-0006"
"'Rest Stop'","","3 miles N.E. on U.S 40","Knightstown","IN","Cruisy Area","Cruising Areas",1977,"",-85.526363,39.795601,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1977-IN-0007"
"'Rest Stop'","","10 mi. S. on Ind. 36, just off Ind. 3","Muncie","IN","Cruisy Area","Cruising Areas",1980,"",-85.38636,40.193377,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1980-IN-0008"
"'Rest Stop'","","3 mi. N.E. on US 40","Knightstown","IN","Cruisy Area","Cruising Areas",1978,"",-85.526363,39.795601,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1978-IN-0009"
"'Rest Stop'","","3 mi. N.E on US 40","Knightstown","IN","Cruisy Area","Cruising Areas",1980,"",-85.526363,39.795601,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1980-IN-0010"
