Field 1,ID,title,description,streetaddress,city,state,amenityfeatures,type,Year,notes,lon,lat,status
14402,IA018,'Marble Meat Rack',on Gay Loop- Keo betw. 4th & 6th Sts (AH*),,Des Moines,IA,"Cruisy Area,(AH),(*)",Cruising Areas,1980,NA,-93.6249593,41.5868353,Google Verified Location
14514,IA130,'Marble Meat Rack',on Gay Loop- Keo betw. 4th & 6th Sts. (AH*),NA,Des Moines,IA,"Cruisy Area,(AH),(*)",Cruising Areas,1979,NA,-93.624959,41.586835,Location could not be verified. General city or location coordinates used.
14515,IA131,5th & Grand,,NA,Des Moines,IA,Cruisy Area,Cruising Areas,1977,NA,-93.624047,41.588015,Verified Location
14517,IA133,5th & Grand,(HOT),NA,Des Moines,IA,"Cruisy Area,(HOT)",Cruising Areas,1976,NA,-93.624047,41.588015,Verified Location
14516,IA132,5th & Grand,,NA,Des Moines,IA,"(AYOR),Cruisy Area",Cruising Areas,1978,NA,-93.624047,41.588015,Verified Location
14519,IA135,5th & Grand Sts.,,NA,Des Moines,IA,Cruisy Area,Cruising Areas,1974,NA,-93.624047,41.588015,Verified Location
14518,IA134,5th & Grand Sts.,(HOT!),NA,Des Moines,IA,"Cruisy Area,(HOT)",Cruising Areas,1975,NA,-93.624047,41.588015,Verified Location
14397,IA013,12 Grand,(Disco),1201 Grand Ave.,Des Moines,IA,"(YC),(D),(*)",Bars/Clubs,1980,NA,-93.6337505,41.5859635,Google Verified Location
14415,IA031,Adam & Eve Book Store,,508 Grand,Des Moines,IA,,Book Store,1979,NA,-93.6245137,41.5874193,Google Verified Location
14520,IA136,Adam & Eve Book Store,5th & Grand,NA,Des Moines,IA,,Book Store,1977,NA,-93.624047,41.588015,Verified Location
14521,IA137,Adam & Eve Book Store,5th & Grand,NA,Des Moines,IA,,Book Store,1978,NA,-93.624047,41.588015,Verified Location
14455,IA071,Annex,,305 2nd Ave.,Des Moines,IA,"(G),(D),(*)",Bars/Clubs,1975,NA,-93.6197362,41.5870278,Google Verified Location
14436,IA052,Aragon,,2nd Avenue S.E.,Cedar Rapids,IA,"(OC),(RT)",Bars/Clubs,1977,NA,-91.6453987,41.9907177,Google Verified Location
14499,IA115,Aragon,,322 2nd Av SE,Cedar Rapids,IA,(*),Bars/Clubs,1968,NA,-91.6661704,41.9790718,Google Verified Location
14460,IA076,Aragon,,322 2nd Ave. S.E.,Cedar Rapids,IA,(M),Bars/Clubs,1974,NA,-91.6661704,41.9790718,Google Verified Location
14453,IA069,Aragon,,322 2nd Ave S.E.,Cedar Rapids,IA,(*),Bars/Clubs,1975,NA,-91.6661704,41.9790718,Google Verified Location
14487,IA103,Aragon,,322 2nd Ave. S.E.,Cedar Rapids,IA,"(M),(*)",Bars/Clubs,1970,NA,-91.6661704,41.9790718,Google Verified Location
14467,IA083,Aragon,,322 2nd Ave. S.E.,Cedar Rapids,IA,(M),Bars/Clubs,1973,NA,-91.6661704,41.9790718,Google Verified Location
14475,IA091,Aragon,,322 2nd Ave. S.E.,Cedar Rapids,IA,"(M),(*)",Bars/Clubs,1972,NA,-91.6661704,41.9790718,Google Verified Location
14446,IA062,Aragon,,322 2nd Ave. S.E.,Cedar Rapids,IA,(*),Bars/Clubs,1976,NA,-91.6661704,41.9790718,Google Verified Location
14482,IA098,Aragon,,322 2nd Ave. S.E.,Cedar Rapids,IA,"(M),(*)",Bars/Clubs,1971,NA,-91.6661704,41.9790718,Google Verified Location
14493,IA109,Aragon ,,322 2nd Ave SE,Cedar Rapids,IA,(M),Bars/Clubs,1969,NA,-91.6661704,41.9790718,Google Verified Location
14391,IA007,B.G. Lounge,,208 3rd St.,Des Moines,IA,"(D),(PT),(S),(*)",Bars/Clubs,1980,NA,-93.6207908,41.5856904,Google Verified Location
14416,IA032,B.G. Lounge,(Some OC),208 3rd St.,Des Moines,IA,"(OC),(D),(PT),(S),(*)",Bars/Clubs,1979,NA,-93.6207908,41.5856904,Google Verified Location
