"title","description","streetaddress","city","state","amenityfeatures","type","Year","notes","lon","lat","status","unclear_address","full.address","geoAddress","ID"
"'Rest Stop' 1 mi. E. on US 56","","","Great Bend","KS","Cruisy Area","Cruising Areas",1980,"",-98.764807,38.364457,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1980-KS-0001"
"'Rest Stop' 3 mi. W. on US 56","","","Lyons","KS","Cruisy Area","Cruising Areas",1980,"",-98.201727,38.34501,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1980-KS-0002"
"'Rest Stop' on Hwy 50 E.","","","Walton","KS","Cruisy Area","Cruising Areas",1980,"",-97.2567,38.117789,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1980-KS-0003"
"'Rest Stop' on Hwy 50 E.","","","Walton","KS","Cruisy Area","Cruising Areas",1979,"",-97.2567,38.117789,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1979-KS-0004"
"'Rest Stop' on Hwy 50 E.","","","Walton","KS","Cruisy Area","Cruising Areas",1978,"",-97.2567,38.117789,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1978-KS-0005"
"'Rest Stop' on I-35","4 mi. W.","","Olathe","KS","Cruisy Area,(AYOR)","Cruising Areas",1978,"",-94.819128,38.881396,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1978-KS-0006"
"'Rest Stop' on I-35","4 mi. W.","","Olathe","KS","Cruisy Area,(AYOR)","Cruising Areas",1980,"",-94.819128,38.881396,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1980-KS-0007"
"'Rest Stop' on I-35","4 mi. W.","","Olathe","KS","Cruisy Area,(AYOR)","Cruising Areas",1979,"",-94.819128,38.881396,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1979-KS-0008"
"'Rest Stop' on I-70","","","Maple Hill","KS","Cruisy Area","Cruising Areas",1978,"",-96.028219,39.084581,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1978-KS-0009"
"'Rest Stop' on I-70","10 mi. E. of Junction City","","Manhattan","KS","Cruisy Area","Cruising Areas",1979,"",-96.571669,39.183608,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1979-KS-0010"
"'Rest Stop' on I-70","","","Maple Hill","KS","Cruisy Area","Cruising Areas",1980,"",-96.028219,39.084581,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1980-KS-0011"
"'Rest Stop' on I-70","","","Maple Hill","KS","Cruisy Area","Cruising Areas",1979,"",-96.028219,39.084581,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1979-KS-0012"
"'Rest Stop' on I-70","10 mi. E. of Junction City","","Manhattan","KS","Cruisy Area","Cruising Areas",1980,"",-96.571669,39.183608,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1980-KS-0013"
"'Rest Stop' on I-70","2 mi. W. of town","","Junction City","KS","Cruisy Area","Cruising Areas",1979,"",-96.831398,39.028609,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1979-KS-0014"
"'Rest Stop' on I-70","10 mi. E. of Junction City","","Manhattan","KS","Cruisy Area","Cruising Areas",1978,"",-96.571669,39.183608,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1978-KS-0015"
"'Rest Stop' on I-70","2 mi. W. of town","","Junction City","KS","Cruisy Area","Cruising Areas",1980,"",-96.831398,39.028609,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1980-KS-0016"
"'Rest Stop' on I-70","2 mi. W. of town","","Junction City","KS","Cruisy Area","Cruising Areas",1978,"",-96.831398,39.028609,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1978-KS-0017"
"'Rest Stop' on Old Hwy. 75","","","Wakarusa","KS","Cruisy Area","Cruising Areas",1979,"",-95.696034,38.885694,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1979-KS-0018"
"'Rest Stop' on Old Hwy. 75","","","Wakarusa","KS","Cruisy Area","Cruising Areas",1978,"",-95.696034,38.885694,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1978-KS-0019"
"'Rest Stop' on Old Hwy. 75","","","Wakarusa","KS","Cruisy Area","Cruising Areas",1980,"",-95.696034,38.885694,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1980-KS-0020"
"'Rest Stop' on old US Hwy. 50","14 mi. E. (good days & nights)","","Emporia","KS","Cruisy Area","Cruising Areas",1978,"",-96.181663,38.403903,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1978-KS-0021"
"'Rest Stop' on old US Hwy. 50","14 mi. E. (Days & nights)","","Emporia","KS","Cruisy Area","Cruising Areas",1979,"",-96.181663,38.403903,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1979-KS-0022"
"'Rest Stop' on US 54","7 mi. E. (Watch out for Highway Patrol)","","Augusta","KS","Cruisy Area","Cruising Areas",1979,"",-96.976702,37.686684,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1979-KS-0023"
"'Rest Stop' on US 54","7 mi. E. (Watch out for Highway Patrol)","","Augusta","KS","Cruisy Area","Cruising Areas",1978,"",-96.976702,37.686684,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1978-KS-0024"
"'Rest Stop' on US 54","7 mi. E. (Watch out for Highway Patrol)","","Augusta","KS","Cruisy Area","Cruising Areas",1980,"",-96.976702,37.686684,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1980-KS-0025"
"Alley","Across from bowling alley","","Pittsburgh","KS","(M),(YC)","Bars/Clubs",1975,"",-94.70391,37.430047,"Verified Location",NA,NA,NA,"1975-KS-0026"
"Alley","Across from bowling alley","","Pittsburgh","KS","(M),(YC)","Bars/Clubs",1974,"",-94.70391,37.430047,"Verified Location",NA,NA,NA,"1974-KS-0027"
"Alley","Across from bowling alley","","Pittsburgh","KS","(M),(YC)","Bars/Clubs",1976,"",-94.70391,37.430047,"Verified Location",NA,NA,NA,"1976-KS-0028"
"Alley","Across fr. bowling alley","","Pittsburgh","KS","(M),(YC)","Bars/Clubs",1973,"",-94.70391,37.430047,"Verified Location",NA,NA,NA,"1973-KS-0029"
