"title","description","streetaddress","city","state","amenityfeatures","type","Year","notes","lon","lat","status","unclear_address","full.address","geoAddress","ID"
"'Rest Areas'","on I-95 at Sidney (southbound) & August (northbound) also wooded area in back","","Augusta","ME","Cruisy Area","Cruising Areas",1977,NA,-69.77949,44.310624,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1977-ME-0001"
"'Rest Stop'","on I-95 at Sidney (Southbound) & August (Northbound) - also woods in back","","Augusta","ME","Cruisy Area","Cruising Areas",1980,NA,-69.77949,44.310624,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1980-ME-0002"
"'Rest Stop'","on I-95 S. & US 1 - S.","","Ogunquit","ME","Cruisy Area","Cruising Areas",1980,NA,-70.598622,43.246835,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1980-ME-0003"
"'Rest Stop'","on US 1 betw. Bath & Brunswick (southbound)","","Brunswick","ME","Cruisy Area","Cruising Areas",1978,NA,-69.966996,43.914016,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1978-ME-0004"
"'Rest Stop' on US 1","(summers)","","Freeport","ME","Cruisy Area","Cruising Areas",1979,NA,-70.10312,43.857007,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1979-ME-0005"
"'Rest Stop' on US 1","(Summers)","","Freeport","ME","Cruisy Area","Cruising Areas",1978,NA,-70.10312,43.857007,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1978-ME-0006"
"'Rest Stop' on US 1 (Summers)","","","Freeport","ME","Cruisy Area","Cruising Areas",1980,NA,-70.10312,43.857007,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1980-ME-0007"
"'Rest Stop' on US 1, betw. Bath & Brunswick (S.)","","","Brunswick","ME","Cruisy Area","Cruising Areas",1980,NA,-69.966996,43.914016,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1980-ME-0008"
"'Rest Stop' on US 1, betw. Bath & Brunswick (So.)","","","Brunswick","ME","Cruisy Area","Cruising Areas",1979,NA,-69.966996,43.914016,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1979-ME-0009"
"'Rest Stops'","on I-95 - Southbound at Herman & Northbound at Carmel","","Bangor","ME","(AYOR),Cruisy Area","Cruising Areas",1979,NA,-68.771226,44.801613,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1979-ME-0010"
"'Rest Stops'","on I-95 S. & US I-S.","","Ogunquit","ME","Cruisy Area","Cruising Areas",1979,NA,-70.598622,43.246835,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1979-ME-0011"
"'Rest Stops'","on I-95 N. & S. of Ogunquit","","Ogunquit","ME","Cruisy Area","Cruising Areas",1976,NA,-70.598622,43.246835,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1976-ME-0012"
"'Rest Stops'","on I-95 at Sidney (southbound) & Augusta (northbound) - also woods in back","","Augusta","ME","Cruisy Area","Cruising Areas",1978,NA,-69.77949,44.310624,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1978-ME-0013"
"'Rest Stops'","on I-95 at Sidney (Southbound) & Augusta (Northbound) - also woods in back","","Augusta","ME","Cruisy Area","Cruising Areas",1979,NA,-69.77949,44.310624,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1979-ME-0014"
"'Rest Stops'","on I-95 - southbound at Herman","","Bangor","ME","Cruisy Area","Cruising Areas",1978,NA,-68.771226,44.801613,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1978-ME-0015"
"'Rest Stops'","on I-95 Southbound at Herman & Northbound at Carmel","","Bangor","ME","(AYOR),Cruisy Area","Cruising Areas",1980,NA,-68.771226,44.801613,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1980-ME-0016"
"'Rest Stops'","on U.S. 1 bet. Ogunquit & York","","Ogunquit","ME","Cruisy Area","Cruising Areas",1975,NA,-70.598622,43.246835,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1975-ME-0017"
"'Rest Stops'","on I-95 South","","Ogunquit","ME","Cruisy Area","Cruising Areas",1978,NA,-70.598622,43.246835,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1978-ME-0018"
"'The Oaks'","off Park Ave. (HOT)","","Portland","ME","(AYOR),Cruisy Area,(HOT)","Cruising Areas",1978,NA,-70.272969,43.656371,"Verified Location",NA,NA,NA,"1978-ME-0019"
"""P"" Street","","","Portland","ME","Cruisy Area","Cruising Areas",1976,NA,-70.259993,43.653321,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1976-ME-0020"
"""Rest Area"" on U.S. 1 between Bath & Brunswick","(Southside)","","Brunswick","ME","Cruisy Area","Cruising Areas",1977,NA,-69.966996,43.914016,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1977-ME-0021"
"""Rest Areas"" on I-95 - southbound at Herman & Northbound at Carmel","","","Bangor","ME","Cruisy Area,(AYOR)","Cruising Areas",1977,NA,-68.771226,44.801613,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1977-ME-0022"
"""Rest Stops"" on I-95 South","","","Ogunquit","ME","Cruisy Area","Cruising Areas",1977,NA,-70.598622,43.246835,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1977-ME-0023"
"""The Oaks""","off Park Ave (HOT)","","Portland","ME","Cruisy Area,(HOT)","Cruising Areas",1976,NA,-70.272969,43.656371,"Verified Location",NA,NA,NA,"1976-ME-0024"
"""The Oaks""","off Park Avenue (HOT)","","Portland","ME","Cruisy Area,(HOT)","Cruising Areas",1977,NA,-70.272969,43.656371,"Verified Location",NA,NA,NA,"1977-ME-0025"
"Admiral's Loft Guest House","1/2 mi. N. on Main St. Tel: (207) 646 - 5496","","Ogunquit","ME","(H),(*)","Hotel",1980,NA,-70.598622,43.246835,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1980-ME-0026"
"Admiral's Loft Guest House","Tel: (207) 646 - 5496 ","Main St.","Ogunquit","ME","(H),(*)","Hotel",1979,NA,-70.6001928,43.2540678,"Google Verified Location",NA,NA,NA,"1979-ME-0027"
"Amy's Place","","117 Wilson St.","Brewer","ME","(P),(BYOB),(AH)","Bars/Clubs",1977,NA,-68.765492,44.7944021,"Google Verified Location",NA,NA,NA,"1977-ME-0028"
"Anabel's ","(Nights) (Cruisy)","US Hwy. 1 ","Ogunquit","ME","(R),(YC),(D),(*)","Restaurant,Cruising Areas",1980,NA,-70.6005463,43.2472892,"Google Verified Location",NA,NA,NA,"1980-ME-0029"
"Androscoggin Club","(Some G)","100 Lincoln St.","Lewiston","ME","(YC),(G),(*)","Bars/Clubs",1975,NA,-70.219427,44.0938793,"Google Verified Location",NA,NA,NA,"1975-ME-0030"
