ID,title,description,streetaddress,city,state,amenityfeatures,type,Year,unclearaddress,notes,dateadded,lastmodified,full.address,lon,lat,geoAddress,status
MD001,Little Campus,,63 Maryland,Annapolis,MD,(M),Bars/Clubs,1980,NA,NA,4/13/2020 3:37pm,5/7/2020 7:24am,"63 Maryland, Annapolis, MD",-76.4897218,38.9796937,"63 maryland ave, annapolis, md 21401, usa",Geocoded
MD002,Barracks,"(Baths) (Health Club) (Burned, but should b re-opening)",1114 Cathedral,Baltimore,MD,"(*),(P)",Baths,1980,NA,NA,4/13/2020 3:37pm,5/7/2020 7:25am,"1114 Cathedral, Baltimore, MD",-76.6183009,39.3020316,"1114 cathedral st, baltimore, md 21201, usa",Geocoded
MD003,Club East Baths,,1105 Cathedral,Baltimore,MD,"(P),(*)",Baths,1980,NA,NA,4/13/2020 3:37pm,5/7/2020 7:25am,"1105 Cathedral, Baltimore, MD",-76.617758,39.302556,"1105 cathedral st, baltimore, md 21201, usa",Geocoded
MD004,Club Mitchell,(Also C-AH),1103 E. Pratt,Baltimore,MD,"(*),(L),(R),(D),(PT),(C),(AH)","Bars/Clubs,Restaurant",1980,NA,NA,4/13/2020 3:37pm,5/7/2020 7:25am,"1103 E. Pratt, Baltimore, MD",-76.6005399,39.2883197,"1103 e pratt st, baltimore, md 21202, usa",Geocoded
MD005,Eager St. Saloon,(Adjoins Hippo- opens 4pm) at Charles,1 W. Eager,Baltimore,MD,"(YC),(D),(PT),(*)",Bars/Clubs,1980,NA,NA,4/13/2020 3:37pm,5/7/2020 7:25am,"1 W. Eager, Baltimore, MD",-76.6163574,39.3008418,"1 w eager st, baltimore, md 21201, usa",Geocoded
MD006,Frankie & Ronnie's,(Some L),2218 Boston St.,Baltimore,MD,"(M),(YC),(L),(D)",Bars/Clubs,1980,NA,NA,4/13/2020 3:37pm,5/7/2020 7:25am,"2218 Boston St., Baltimore, MD",-76.5850064,39.283682,"2218 boston st, baltimore, md 21231, usa",Geocoded
MD007,Gallery,& Shipmates Disco Room,1735 Maryland,Baltimore,MD,"(SM),(*),(W),(R)","Bars/Clubs,Restaurant",1980,NA,NA,4/13/2020 3:37pm,5/7/2020 7:25am,"1735 Maryland, Baltimore, MD",-76.6176464,39.3096234,"1735 maryland ave, baltimore, md 21201, usa",Geocoded
MD008,Hippopotamus,(Disco) (Unisex)at Charles,1 W. Eager,Baltimore,MD,"(*),(HIP),(YC),(D),(PT)",Bars/Clubs,1980,NA,NA,4/13/2020 3:37pm,5/7/2020 7:25am,"1 W. Eager, Baltimore, MD",-76.6163574,39.3008418,"1 w eager st, baltimore, md 21201, usa",Geocoded
MD009,Leon's,,870 Park Ave.,Baltimore,MD,(*),Bars/Clubs,1980,NA,NA,4/13/2020 3:37pm,5/7/2020 7:25am,"870 Park Ave., Baltimore, MD",-76.6189891,39.3015442,"870 park ave, baltimore, md 21201, usa",Geocoded
MD010,Lynn's,,774 Washington,Baltimore,MD,,Bars/Clubs,1980,NA,NA,4/13/2020 3:37pm,5/7/2020 7:25am,"774 Washington, Baltimore, MD",-76.6121893,39.2903848,"baltimore, md, usa",Geocoded
MD011,Mary's Club,(Disco),1101 Cathedral,Baltimore,MD,"(*),(YC),(D)",Bars/Clubs,1980,NA,NA,4/13/2020 3:37pm,5/7/2020 7:25am,"1101 Cathedral, Baltimore, MD",-76.6178248,39.302445,"1101 cathedral st, baltimore, md 21201, usa",Geocoded
MD012,Masquerade,,2308 Boston St. ,Baltimore,MD,"(L),(PT),(D)",Bars/Clubs,1980,NA,NA,4/13/2020 3:37pm,5/7/2020 7:25am,"2308 Boston St. , Baltimore, MD",-76.5842286,39.2832008,"2308 boston st, baltimore, md 21224, usa",Geocoded
MD013,M.C.C.,,2233 St. Paul St.,Baltimore,MD,M.C.C.,Church,1980,NA,NA,4/13/2020 3:37pm,5/7/2020 7:25am,"2233 St. Paul St., Baltimore, MD",-76.6149136,39.3152395,"2233 st paul st, baltimore, md 21218, usa",Geocoded
MD014,Parker's,('Hustlers'),704 N Howard,Baltimore,MD,"(B),(RT)",Bars/Clubs,1980,NA,NA,4/13/2020 3:37pm,5/7/2020 7:25am,"704 N Howard, Baltimore, MD",-76.6201738,39.2976088,"704 n howard st, baltimore, md 21201, usa",Geocoded
MD015,Private Affair,,2001 Eastern,Baltimore,MD,,Bars/Clubs,1980,NA,NA,4/13/2020 3:37pm,5/7/2020 7:25am,"2001 Eastern, Baltimore, MD",-76.5886125,39.2856009,"2001 eastern ave, baltimore, md 21231, usa",Geocoded
MD016,Senator Bar,(Some OC) (Good Sundays),612 N. Howard,Baltimore,MD,"(*),(E),(OC)",Bars/Clubs,1980,NA,NA,4/13/2020 3:37pm,5/7/2020 7:25am,"612 N. Howard, Baltimore, MD",-76.6202656,39.2972148,"612 n howard st, baltimore, md 21201, usa",Geocoded
MD017,Shot Tower Bar,(Some L),4 N. High St.,Baltimore,MD,(L),Bars/Clubs,1980,NA,NA,4/13/2020 3:37pm,5/7/2020 7:25am,"4 N. High St., Baltimore, MD",-76.6045234,39.2904544,"4 n high st, baltimore, md 21202, usa",Geocoded
MD018,Studio,"(Some SM, W) (Adjoins Gallery)",1735 Maryland Ave.,Baltimore,MD,"(*),(R),(SM),(W)","Bars/Clubs,Restaurant",1980,NA,NA,4/13/2020 3:37pm,5/7/2020 7:25am,"1735 Maryland Ave., Baltimore, MD",-76.6176464,39.3096234,"1735 maryland ave, baltimore, md 21201, usa",Geocoded
