Field 1,ID,title,description,streetaddress,city,state,amenityfeatures,type,Year,notes,lon,lat,status
6191,MA146,'B.A',beach at N. Truro,,Provincetown,MA,Cruisy Area,Cruising Areas,1980,,-70.111248,42.064946,Verified Location
6473,MA428,'B.A',Beach at N. Truro,,Provincetown,MA,Cruisy Area,Cruising Areas,1978,,-70.111248,42.064946,Verified Location
6728,MA683,'B.A',beach at N. Truro,,Provincetown,MA,Cruisy Area,Cruising Areas,1976,,-70.111248,42.064946,Verified Location
6604,MA559,'B.A',beach at N. Truro,,Provincetown,MA,Cruisy Area,Cruising Areas,1977,,-70.111248,42.064946,Verified Location
6343,MA298,'B.A',Beach at N. Truro,,Provincetown,MA,Cruisy Area,Cruising Areas,1979,,-70.111248,42.064946,Verified Location
6270,MA225,'L' St. Beach,,,Boston,MA,"Cruisy Area,(OC)",Cruising Areas,1979,,-71.035301,42.328987,Verified Location
6088,MA043,'L' St. Beach,,,Boston,MA,"Cruisy Area,(OC)",Cruising Areas,1980,,-71.035301,42.328987,Verified Location
6413,MA368,'L' St. Beach,,,Boston,MA,"Cruisy Area,(OC)",Cruising Areas,1978,,-71.035301,42.328987,Verified Location
6781,MA736,'L' Street Beach,,,Boston,MA,Cruisy Area,Cruising Areas,1975,,-71.035301,42.328987,Verified Location
6542,MA497,'L' Street Beach,,,Boston,MA,"Cruisy Area,(OC)",Cruising Areas,1977,,-71.035301,42.328987,Verified Location
6668,MA623,'L' Street Beach,,,Boston,MA,"Cruisy Area,(OC)",Cruising Areas,1976,,-71.035301,42.328987,Verified Location
6858,MA813,'L' Street Beach,,,Boston,MA,Cruisy Area,Cruising Areas,1974,,-71.035301,42.328987,Verified Location
6211,MA166,'Rest Stop',on I-91 S.- betw. Northampton & Holyoke (Mass arrests),,Springfield,MA,"Cruisy Area,(AYOR)",Cruising Areas,1980,,-72.589811,42.101483,Location could not be verified. General city or location coordinates used.
6489,MA444,'Rest Stop',on I-91 So.- betw. Northampton & Holyoke,,Springfield,MA,Cruisy Area,Cruising Areas,1978,,-72.589811,42.101483,Location could not be verified. General city or location coordinates used.
6620,MA575,'Rest Stop',on I-91 So.- betw. Northampton & Holyoke,,Springfield,MA,Cruisy Area,Cruising Areas,1977,,-72.589811,42.101483,Location could not be verified. General city or location coordinates used.
6681,MA636,'Rest Stop',on I-495 nr Chelmsford,,Lowell,MA,Cruisy Area,Cruising Areas,1976,,-71.316172,42.633425,Location could not be verified. General city or location coordinates used.
6360,MA315,'Rest Stop',on I-91 S.- betw. Northampton & Holyoke,,Springfield,MA,"Cruisy Area,(AYOR)",Cruising Areas,1979,,-72.589811,42.101483,Location could not be verified. General city or location coordinates used.
6554,MA509,'Rest Stop',on I-495 near Chelmsford,,Lowell,MA,Cruisy Area,Cruising Areas,1977,,-71.316172,42.633425,Location could not be verified. General city or location coordinates used.
6224,MA179,'Rest Stop',T-Room on Rte. 2 nr Sterling lot.,,Worcester,MA,Cruisy Area,Cruising Areas,1980,,-71.802293,42.262593,Location could not be verified. General city or location coordinates used.
6218,MA173,'Rest Stop' N. on Rte. 3,,,Weymouth,MA,"Cruisy Area,(AYOR)",Cruising Areas,1980,,-70.941036,42.218072,Location could not be verified. General city or location coordinates used.
6116,MA071,'Rest Stop' S.,on Rte. 3,,Marshfield-Pembroke,MA,Cruisy Area,Cruising Areas,1980,Approximate location for Rt 3 between these two localities.,-70.744678,42.087995,Location could not be verified. General city or location coordinates used.
6287,MA242,'Rest Stops',on I-495 (nr. Chelmsford & Rte. 3 (N. Chelmsford),,Lowell,MA,Cruisy Area,Cruising Areas,1979,,-71.316172,42.633425,Location could not be verified. General city or location coordinates used.
6227,MA182,'Rest Stops',"on I-95 N. at Attleboro, & Southbound at N. Attleboro",,Attleboro,MA,"Cruisy Area,(AYOR)",Cruising Areas,1979,,-71.285608,41.944544,Verified Location
6047,MA002,'Rest Stops',"on I-95 N. at Attleboro, & Southbound at N. Attleboro",,Attleboro,MA,"Cruisy Area,(AYOR)",Cruising Areas,1980,,-71.285608,41.944544,Verified Location
6113,MA068,'Rest Stops',on I-495 (nr. Chelmsford & Rte. 3 (N. Chelmsford),,Lowell,MA,Cruisy Area,Cruising Areas,1980,,-71.316172,42.633425,Location could not be verified. General city or location coordinates used.
6427,MA382,'Rest Stops',on I-495 nr. Chelmsford,,Lowell,MA,Cruisy Area,Cruising Areas,1978,,-71.316172,42.633425,Location could not be verified. General city or location coordinates used.
6674,MA629,'The Block',Park Square,,Boston,MA,Cruisy Area,Cruising Areas,1976,approximate.,-71.067945,42.351148,Verified Location
6276,MA231,'The Block',Commonwealth & Marlborough betw. Arlington & Berkeley,,Boston,MA,Cruisy Area,Cruising Areas,1979,approximate.,-71.073122,42.354125,Verified Location
6548,MA503,'The Block',Park Square,,Boston,MA,Cruisy Area,Cruising Areas,1977,approximate.,-71.067945,42.351148,Verified Location
6420,MA375,'The Block',Commonwealth & Marlborough betw. Arlington & Berkeley,,Boston,MA,Cruisy Area,Cruising Areas,1978,approximate.,-71.073122,42.354125,Verified Location
6094,MA049,'The Block',Commenwealth & Marlborough betw. Arlington & Berkeley,,Boston,MA,"Cruisy Area,(AYOR)",Cruising Areas,1980,approximate.,-71.073122,42.354125,Verified Location
6931,MA886,'The Block',Park Square,,Boston,MA,Cruisy Area,Cruising Areas,1973,approximate.,-71.067945,42.351148,Verified Location
6785,MA740,'The block',Park Square,,Boston,MA,Cruisy Area,Cruising Areas,1975,approximate.,-71.067945,42.351148,Verified Location
6862,MA817,'The block',Park Square,,Boston,MA,Cruisy Area,Cruising Areas,1974,approximate.,-71.067945,42.351148,Verified Location
7084,MA1039,42 Blue Moon Cafe,,1228 Acushnet St.,New Bedford,MA,,Restaurant,1970,,-70.9270017,41.6580621,Google Verified Location
6677,MA632,101 Flowers,(Bookstore),186 Hampshire St.,Cambridge,MA,,Book Store,1976,diff address this year,-71.0995969,42.3724838,Google Verified Location
6392,MA347,119 Merrimac,(Disco) ,119 Merrimac,Boston,MA,"(D),(*)",Bars/Clubs,1978,,-71.0621239,42.3638308,Google Verified Location
6251,MA206,119 Merrimac,(Disco) (Thurs. nights*),119 Merrimac,Boston,MA,"(D),(*)",Bars/Clubs,1979,,-71.0621239,42.3638308,Google Verified Location
6069,MA024,119 Merrimac,(Disco) (Thurs. nights*),119 Merrimac,Boston,MA,"(D),(*)",Bars/Clubs,1980,,-71.0621239,42.3638308,Google Verified Location
6941,MA896,Ace of Spades,,Commercial St.,Provincetown,MA,(G),Bars/Clubs,1973,See https://buildingprovincetown.wordpress.com/2010/01/09/193a-commercial-street/ for more details.,-70.188604,42.048536,Verified Location
6875,MA830,Ace of Spades,,Commercial St.,Provincetown,MA,(G),Bars/Clubs,1974,See https://buildingprovincetown.wordpress.com/2010/01/09/193a-commercial-street/ for more details.,-70.188604,42.048536,Verified Location
7001,MA956,Ace of Spades,,Commercial St.,Provincetown,MA,(G),Bars/Clubs,1972,See https://buildingprovincetown.wordpress.com/2010/01/09/193a-commercial-street/ for more details.,-70.188604,42.048536,Verified Location
6228,MA183,Act I Cinema,,204 Tremont,Boston,MA,,Theatre,1979,,-71.064584,42.3519074,Google Verified Location
6097,MA052,Amaranth,,134 Hampshire St.,Cambridge,MA,"(L),(R)",Restaurant,1980,,-71.0972009,42.3705339,Google Verified Location
6296,MA251,Anchor Inn Guest House,,175 Commercial St.,Provincetown,MA,(H),Hotel,1979,,-70.1894411,42.047867,Google Verified Location
6560,MA515,Anchor Inn Guest House,,175 Commercial St.,Provincetown,MA,,Hotel,1977,,-70.1894411,42.047867,Google Verified Location
6432,MA387,Anchor Inn Guest House,,175 Commercial St.,Provincetown,MA,(H),Hotel,1978,,-70.1894411,42.047867,Google Verified Location
6999,MA954,Anchor Room,,Commercial St,Provincetown,MA,"(YC),(D),(*)",Bars/Clubs,1972,,-70.187383,42.050051,Verified Location
6128,MA083,Anchors Inn Guest House,,175 Commercial St.,Provincetown,MA,(H),Hotel,1980,,-70.1894411,42.047867,Google Verified Location
6561,MA516,Angel's Landing,,353 Commercial St.,Provincetown,MA,,Bars/Clubs,1977,,-70.184201,42.0530601,Google Verified Location
6433,MA388,Angel's Landing,,353 Commercial St.,Provincetown,MA,,Bars/Clubs,1978,,-70.184201,42.0530601,Google Verified Location
6129,MA084,Angels Landing,,353 Commercial St.,Provincetown,MA,"(H),(*)",Hotel,1980,,-70.184201,42.0530601,Google Verified Location
6200,MA155,Arbor,,83 Worthington St. ,Springfield,MA,"(YC),(L),(D),(S)",Bars/Clubs,1980,,-72.5936479,42.1031319,Google Verified Location
6896,MA851,Arbor,,83 Worthington St. ,Springfield,MA,"(YC),(D),(*)",Bars/Clubs,1974,,-72.5936479,42.1031319,Google Verified Location
