"title","description","streetaddress","city","state","amenityfeatures","type","Year","notes","lon","lat","status","unclear_address","full.address","geoAddress","ID"
"'Dog Run'","Clarkson 'Rest Area'- S on. I-75","","Detroit","MI","Cruisy Area","Cruising Areas",1976,NA,-83.419294,42.73512,"Verified Location",NA,NA,NA,"1976-MI-0001"
"'Dog Run'","Clarkston","","Pontiac","MI","Cruisy Area","Cruising Areas",1979,NA,-83.419294,42.73512,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1979-MI-0002"
"'Dog Run'- Clarkston","","","Pontiac","MI","Cruisy Area","Cruising Areas",1980,NA,-83.419294,42.73512,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1980-MI-0003"
"'Rest Stop on I-94","1 mi. E. of Exit 183","","Ypsilanti","MI","Cruisy Area","Cruising Areas",1980,NA,-83.6129939,42.2411499,"Google Verified Location",NA,NA,NA,"1980-MI-0004"
"'Rest Stop'","8 mi. N. on US. 131","","Big Rapids","MI","Cruisy Area","Cruising Areas",1979,NA,-85.483656,43.698078,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1979-MI-0005"
"'Rest Stop'","W on I-94, 1 mi. W. of Exit 183","","Ypsilanti","MI","Cruisy Area","Cruising Areas",1978,NA,-83.612994,42.24115,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1978-MI-0006"
"'Rest Stop'","S. on I-75","","Pontiac","MI","Cruisy Area","Cruising Areas",1979,NA,-83.291047,42.638922,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1979-MI-0007"
"'Rest Stop'","8 mi. N. on US 131","","Big Rapids","MI","Cruisy Area","Cruising Areas",1980,NA,-85.483656,43.698078,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1980-MI-0008"
"'Rest Stop' 8 mi. from town on US Hwy. 131","(Sure suicide- massive arrests) Hidden cameras!","","Kalamazoo","MI","(AYOR),Cruisy Area","Cruising Areas",1980,NA,-85.587229,42.291707,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1980-MI-0009"
"'Rest Stop' on I-75","Southbound betw. Bay City and Saginaw","","Saginaw","MI","Cruisy Area","Cruising Areas",1980,NA,-83.888865,43.594468,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1980-MI-0010"
"'Rest Stop' on I-75, Both N. & S.","","","Flint","MI","Cruisy Area","Cruising Areas",1980,NA,-83.687456,43.012527,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1980-MI-0011"
"'Rest Stop' on I-94","1 mi. W. of Exit 183","","Ypsilanti","MI","Cruisy Area","Cruising Areas",1979,NA,-83.612994,42.24115,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1979-MI-0012"
"'Rest Stop'- S. on I-75","","","Pontiac","MI","Cruisy Area","Cruising Areas",1980,NA,-83.291047,42.638922,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1980-MI-0013"
"'Rest Stops'","on Hwy. 131- just so. of 54th St.","","Grand Rapids","MI","Cruisy Area","Cruising Areas",1978,NA,-85.668086,42.96336,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1978-MI-0014"
"'Rest Stops' No. & So. on I-75","","","Flint","MI","Cruisy Area","Cruising Areas",1978,NA,-83.687456,43.012527,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1978-MI-0015"
"'Rest Stops' on Hwy. 131","just So. of 54th St.","","Grand Rapids","MI","Cruisy Area","Cruising Areas",1979,NA,-85.668086,42.96336,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1979-MI-0016"
"'Rest Stops' on Hwy. 131","Just S. of 54th St.","","Grand Rapids","MI","(AYOR),Cruisy Area","Cruising Areas",1980,NA,-85.668086,42.96336,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1980-MI-0017"
"'Rest Stops' on I-75, both No. & So.","","","Flint","MI","Cruisy Area","Cruising Areas",1979,NA,-83.687456,43.012527,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1979-MI-0018"
"'Rest Stops' on I-94 East","","","Kalamazoo","MI","Cruisy Area","Cruising Areas",1978,NA,-85.587229,42.291707,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1978-MI-0019"
"'Six Mile Hustlers'","hitch-hikers along Woodward betw. 6 & 7 Mile Roads","","Detroit","MI","Cruisy Area","Cruising Areas",1975,NA,-83.086361,42.389706,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1975-MI-0020"
"'Six Mile Hustlers'","Hitchhikers on Woodward at 6 Mile Rd.","","Detroit","MI","Cruisy Area","Cruising Areas",1972,NA,-83.086361,42.389706,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1972-MI-0021"
"'Six Mile Hustlers'","Hitchhikers along Woodward nr. 6 mi. Rd.","","Detroit","MI","Cruisy Area","Cruising Areas",1973,NA,-83.086361,42.389706,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1973-MI-0022"
"'Six Mile Hustlers'","hitch-hikers along Woodward betw. 6 & 7 Mile Roads","","Detroit","MI","Cruisy Area","Cruising Areas",1976,NA,-83.0457538,42.331427,"Google Verified Location",NA,NA,NA,"1976-MI-0023"
"'Six Mile Hustlers'","Hitch hikers along Woodward betw. 6 & 7 Mile Roads","","Detroit","MI","Cruisy Area","Cruising Areas",1974,NA,-83.086361,42.389706,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1974-MI-0024"
"'Tot lots' - Parking lots at Milwaukee & Woodward","","","Detroit","MI","Cruisy Area","Cruising Areas",1972,NA,-83.072567,42.369112,"Verified Location",NA,NA,NA,"1972-MI-0025"
"'Tot's Lots'","Parking lots at Milwaukee & Woodward","","Detroit","MI","Cruisy Area","Cruising Areas",1973,NA,-83.072567,42.369112,"Verified Location",NA,NA,NA,"1973-MI-0026"
"'Tot's Lots'","Parking lots at Milwaukee & Woodward","","Detroit","MI","Cruisy Area","Cruising Areas",1974,NA,-83.072567,42.369112,"Verified Location",NA,NA,NA,"1974-MI-0027"
"""Dog Run""- Clarkston","","","Pontiac","MI","Cruisy Area","Cruising Areas",1977,NA,-83.419294,42.73512,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1977-MI-0028"
"""Rest Stop""","West on I-94, 1 mile West of Exit 183","","Ypsilanti","MI","Cruisy Area","Cruising Areas",1977,NA,-83.612994,42.24115,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1977-MI-0029"
"""Rest Stop"" on Highway 131","just south of 54th Street","","Grand Rapids","MI","Cruisy Area","Cruising Areas",1977,NA,-85.668086,42.96336,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1977-MI-0030"
"""Rest Stop"" on I-94 East","","","Kalamazoo","MI","Cruisy Area","Cruising Areas",1977,NA,-85.587229,42.291707,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1977-MI-0031"
"""Rest Stop""- South on I-75","","","Pontiac","MI","Cruisy Area","Cruising Areas",1977,NA,-83.2910468,42.6389216,"Google Verified Location",NA,NA,NA,"1977-MI-0032"
"""Rest Stops"" north and south on I-75","","","Flint","MI","","Bars/Clubs",1977,NA,-83.687456,43.012527,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1977-MI-0033"
"""Six Mile"" Hustlers","hitch-hiking along Woodward between 6 & 7 Mile Roads","","Detroit","MI","Cruisy Area","Cruising Areas",1977,NA,-83.086361,42.389706,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1977-MI-0034"
