"title","description","streetaddress","city","state","amenityfeatures","type","Year","notes","lon","lat","status","unclear_address","full.address","geoAddress","ID"
"'Meat Park'","","10th & Oak","Kansas City","MO","Cruisy Area","Cruising Areas",1975,"",-94.578421,39.102207,"Verified Location",NA,NA,NA,"1975-MO-0001"
"'Meat Rack'","","10th & Oak","Kansas City","MO","Cruisy Area","Cruising Areas",1974,"",-94.578421,39.102207,"Verified Location",NA,NA,NA,"1974-MO-0002"
"'Meat Rack'","","10th & Oak","Kansas City","MO","Cruisy Area","Cruising Areas",1977,"",-94.578421,39.102207,"Verified Location",NA,NA,NA,"1977-MO-0003"
"'Meat Rack'","","10th & Oak","Kansas City","MO","Cruisy Area","Cruising Areas",1976,"",-94.578421,39.102207,"Verified Location",NA,NA,NA,"1976-MO-0004"
"'Rest Stop'","on I-70 Jct. K.C. & Columbia","","Kansas City","MO","Cruisy Area","Cruising Areas",1980,"",-94.578567,39.099727,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1980-MO-0005"
"'Rest Stops'","on I-44 & Old US 66 - W. of Town","","Joplin","MO","Cruisy Area","Cruising Areas",1980,"",-94.513281,37.084227,"Verified Location",NA,NA,NA,"1980-MO-0006"
"'Rest Stops'","on I-44 & Old US 66 - W. of town","","Joplin","MO","Cruisy Area","Cruising Areas",1978,"",-94.513281,37.084227,"Verified Location",NA,NA,NA,"1978-MO-0007"
"'Rest Stops'","on I-44 & Old US 66 - W. of town","","Joplin","MO","Cruisy Area","Cruising Areas",1979,"",-94.513281,37.084227,"Verified Location",NA,NA,NA,"1979-MO-0008"
"A.A.A. Baths","","9922 E. Truman Rd.","Kansas City","MO","","Baths",1973,NA,-94.4604248,39.0954293,"Google Verified Location",NA,NA,NA,"1973-MO-0009"
"A.A.A. Baths","","9922 E. Truman Rd.","Kansas City","MO","","Baths",1975,NA,-94.4604248,39.0954293,"Google Verified Location",NA,NA,NA,"1975-MO-0010"
"A.A.A. Baths ","","9922 E. Truman Rd.","Kansas City","MO","","Baths",1974,NA,-94.4604248,39.0954293,"Google Verified Location",NA,NA,NA,"1974-MO-0011"
"AAA Baths","","9922 E. Truman Rd.","Kansas City","MO","","Baths",1971,NA,-94.4604248,39.0954293,"Google Verified Location",NA,NA,NA,"1971-MO-0012"
"AAA Baths","(best afternoons - closes early)","9922 Truman Road","Kansas City","MO","","Baths",1977,NA,-94.4604248,39.0954293,"Google Verified Location",NA,NA,NA,"1977-MO-0013"
"AAA Baths ","(Closes early) ","9922 Truman Rd.","Kansas City","MO","","Baths",1978,NA,-94.4604248,39.0954293,"Google Verified Location",NA,NA,NA,"1978-MO-0014"
"AAA Baths ","","9922 E. Truman Rd.","Kansas City","MO","","Baths",1972,NA,-94.4604248,39.0954293,"Google Verified Location",NA,NA,NA,"1972-MO-0015"
