Field 1,ID,title,description,streetaddress,city,state,amenityfeatures,type,Year,notes,lon,lat,status
276,MT091,Adult Bookstore on E. Main,,,Missoula,MT,Cruisy Area,"Cruising Areas,Book Store",1980,,-113.994031,46.872128,Verified Location
263,MT078,Adult Shop,,3rd & Central,Great Falls,MT,Cruisy Area,Cruising Areas,1979,,-111.316696,47.507802,Verified Location
278,MT093,Adult Shop,,3rd & Central,Great Falls,MT,Cruisy Area,"Cruising Areas,Business",1978,NA,-111.316696,47.507802,Verified Location
273,MT088,Adult Shop,,3rd & Central,Great Falls,MT,Cruisy Area,Cruising Areas,1980,,-111.316696,47.507802,Verified Location
285,MT100,Bronx Lounge,(cruisy),42 W. Broadway,Butte,MT,"(M),Cruisy Area","Bars/Clubs,Cruising Areas",1979,NA,-112.5370763,46.0133806,Google Verified Location
269,MT084,Cockpit,,131 Moore,Billings,MT,"(M),(YC)",Bars/Clubs,1978,NA,-108.5415319,45.7669464,Google Verified Location
284,MT099,Cockpit,,131 Moore,Billings,MT,"(M),(YC)",Bars/Clubs,1979,NA,-108.5415319,45.7669464,Google Verified Location
245,MT060,Cockpit,,131 Moore,Billings,MT,"(M),(YC)",Bars/Clubs,1977,NA,-108.5415319,45.7669464,Google Verified Location
241,MT056,Crown Room,,425 N. Last Chance Gulch,Helena,MT,(M),Bars/Clubs,1976,NA,-112.0369746,46.5912468,Google Verified Location
260,MT075,Crown Room,,425 N. Last Chance Gulch,Helena,MT,(M),Bars/Clubs,1977,NA,-112.0369746,46.5912468,Google Verified Location
231,MT046,Crown Room,,425 N. Last Chance Gulch,Helena,MT,(M),Bars/Clubs,1975,NA,-112.0369746,46.5912468,Google Verified Location
251,MT066,Crystal Lounge,Northern Hotel (Downstairs Basement Bar),Broadway & 1st Ave N.,Billings,MT,,"Hotel,Bars/Clubs",1977,NA,-108.505746,45.782093,Verified Location
223,MT038,Crystal Lounge,,Broadway & 1st Ave N.,Billings,MT,(M),Bars/Clubs,1975,,-108.505746,45.782093,Verified Location
239,MT054,Crystal Lounge,,Broadway and 1st Ave No.,Billings,MT,"(M),(*)","Hotel,Bars/Clubs",1978,,-108.505746,45.782093,Verified Location
249,MT064,Crystal Lounge,,Broadway & 1st Ave N.,Billings,MT,(M),"Bars/Clubs,Hotel",1979,,-108.505746,45.782093,Verified Location
226,MT041,Crystal Lounge,,Broadway & 1st Ave. N.,Billings,MT,"(M),(*)",Bars/Clubs,1976,,-108.505746,45.782093,Verified Location
221,MT036,Crystal Lounge,,Broadway at 1st Ave. N.,Billings,MT,"(M),(*)",Bars/Clubs,1974,,-108.505746,45.782093,Verified Location
219,MT034,Dave's Health Club Baths,,(inquire locally),Billings,MT,,Baths,1971,,-108.50069,45.783286,Location could not be verified. General city or location coordinates used.
270,MT085,Diamond S Ranch & Hot Springs - Spteambath can be interesting,,,Boulder,MT,"(M),(H)",Hotel,1980,See https://boulderhotsprings.com/about-the-inn/history-of-boulder-hot-springs/ for a history of the location,-112.095301,46.199742,Verified Location
253,MT068,Diamond S. Ranch & Hot Springs,Steambath can be interesting,,Boulder,MT,"(M),(H)",Hotel,1979,See https://boulderhotsprings.com/about-the-inn/history-of-boulder-hot-springs/ for a history of the location,-112.095301,46.199742,Verified Location
233,MT048,Flamingo,,600 N. Higgins,Missoula,MT,(M),Bars/Clubs,1975,NA,-113.9921749,46.8743158,Google Verified Location
264,MT079,Flamingo,,600 N. Higgins,Missoula,MT,(M),Bars/Clubs,1977,NA,-113.9921749,46.8743158,Google Verified Location
243,MT058,Flamingo,,600 N. Higgins,Missoula,MT,(M),Bars/Clubs,1976,NA,-113.9921749,46.8743158,Google Verified Location
224,MT039,Flamingo,,600 N. Higgins ,Missoula,MT,(M),Bars/Clubs,1974,NA,-113.9921749,46.8743158,Google Verified Location
291,MT106,Flamingo,,600 N. Higgins,Missoula,MT,(M),Bars/Clubs,1979,NA,-113.9921749,46.8743158,Google Verified Location
