Field 1,ID,title,description,streetaddress,city,state,amenityfeatures,type,Year,notes,lon,lat,status
404,NE107,'The Mall' - Crossroads Shopping Center,,,Omaha,NE,Cruisy Area,Cruising Areas,1975,,-96.027118,41.260784,Verified Location
459,NE162,Antelope Park,(T-Rooms),,Lincoln,NE,Cruisy Area,Cruising Areas,1980,,-96.674452,40.795618,Verified Location
406,NE109,Antelope Park,(T-Rooms),,Lincoln,NE,Cruisy Area,Cruising Areas,1979,,-96.674452,40.795618,Verified Location
416,NE119,Apartment,(Cruisy T-Rooms)Cornhusker Hotel,13th & 'M' Sts,Lincoln,NE,(M),"Cruising Areas,Bars/Clubs,Hotel",1979,,-96.702613,40.811397,Verified Location
405,NE108,Apartment,Cornhusker Hotel,13th & M Sts.,Lincoln,NE,(M),"Hotel,Bars/Clubs",1976,,-96.702613,40.811397,Verified Location
415,NE118,Apartment,"(Downstairs ""john"") Cornhusker Hotel",13th & 'M' Streets,Lincoln,NE,(M),"Bars/Clubs,Hotel",1977,,-96.702613,40.811397,Verified Location
457,NE160,Apartment,(Cruisy - T-Rooms) Cornhusker Hotel,13th & 'M' Sts,Lincoln,NE,(M),"Bars/Clubs,Hotel,Cruising Areas",1980,,-96.702613,40.811397,Verified Location
427,NE130,Apartment,(Cruisy T-Room downstairs) Cornhusker Hotel,13th & 'M' Sts,Lincoln,NE,(M),"Hotel,Bars/Clubs,Cruising Areas",1978,,-96.702613,40.811397,Verified Location
340,NE043,Barrymore's,(In alley),124 N. 13th St.,Lincoln,NE,(M),Bars/Clubs,1979,NA,-96.7022006,40.8142299,Google Verified Location
365,NE068,Barrymore's,(In alley),124 N. 13th St.,Lincoln,NE,(M),Bars/Clubs,1980,NA,-96.7022006,40.8142299,Google Verified Location
372,NE075,Blackstone Hotel Bar,,36th & Farnum,Omaha,NE,"(M),(PE)","Bars/Clubs,Hotel",1965,,-95.966305,41.257773,Verified Location
378,NE081,Blackstone Hotel Bar,(downstairs),36th & Farnum,Omaha,NE,"(M),(PE)","Bars/Clubs,Hotel",1969,,-95.966305,41.257773,Verified Location
380,NE083,Blackstone Hotel Bar,(downstairs),36th & Farnum,Omaha,NE,"(M),(PE)","Bars/Clubs,Hotel",1970,,-95.966305,41.257773,Verified Location
383,NE086,Blackstone Hotel Bar,(downstairs),36th & Farnum,Omaha,NE,"(M),(PE)","Bars/Clubs,Hotel",1971,,-95.966305,41.257773,Verified Location
376,NE079,Blackstone Hotel Bar,(downstairs),36th & Farnum,Omaha,NE,"(M),(PE)","Bars/Clubs,Hotel",1968,,-95.966305,41.257773,Verified Location
374,NE077,Blackstone Hotel Bar,,36th & Farnum,Omaha,NE,"(M),(PE)","Bars/Clubs,Hotel",1966,,-95.966305,41.257773,Verified Location
363,NE066,Bud's Tavern,(Disco),106 W. 4th St.,Grand Island,NE,"(*),(S),(D),(YC)",Bars/Clubs,1980,NA,-98.3422555,40.9284455,Google Verified Location
440,NE143,Bus & RR Depots,,,Lincoln,NE,Cruisy Area,Cruising Areas,1979,,-96.702595,40.813616,Location could not be verified. General city or location coordinates used.
462,NE165,Bus & RR Depots,,,Lincoln,NE,Cruisy Area,Cruising Areas,1980,,-96.702595,40.813616,Location could not be verified. General city or location coordinates used.
449,NE152,Carter Lake,,,Omaha,NE,Cruisy Area,Cruising Areas,1979,,-95.912075,41.302128,Verified Location
433,NE136,Carter Lake,,,Omaha,NE,Cruisy Area,Cruising Areas,1978,,-95.912075,41.302128,Verified Location
471,NE174,Carter Lake,,,Omaha,NE,Cruisy Area,Cruising Areas,1980,,-95.912075,41.302128,Verified Location
342,NE045,Casey's Other Place,,1020 'P' Street,Lincoln,NE,"(M),(HIP),(YC),(*)",Bars/Clubs,1977,NA,-96.706581,40.814757,Google Verified Location
333,NE036,Casey's Other Place,,1020 'P' St.,Lincoln,NE,"(M),(HIP),(YC),(*)",Bars/Clubs,1976,NA,-96.706581,40.814757,Google Verified Location
350,NE053,Casey's Other Place,,1020 'P' St,Lincoln,NE,"(M),(HIP),(YC),(*)",Bars/Clubs,1978,NA,-96.706581,40.814757,Google Verified Location
