Field 1,ID,title,description,streetaddress,city,state,amenityfeatures,type,Year,notes,lon,lat,status
7326,NV074,Alibi Room ,,3733 Las Vegas Blvd. ,Las Vegas,NV,,Bars/Clubs,1979,NA,-115.1725051,36.1073517,Google Verified Location
7325,NV053,Alibi Room ,(Some OC),3733 Las Vegas Blvd. ,Las Vegas,NV,(OC),Bars/Clubs,1978,NA,-115.1725051,36.1073517,Google Verified Location
7226,NV073,Back Door,(best late) Roundhill Village Shopping Center- S. Lake Tahoe,,Lake Tahoe,NV,"(M),(R),(D)",Restaurant,1979,NA,-119.943543,38.985396,Verified Location
7227,NV095,Back Door,"Round Hill Village, Zephyr Cove",,Lake Tahoe,NV,,Bars/Clubs,1980,NA,-119.943543,38.985396,Verified Location
7225,NV052,Back Door,(Best late) Roundhill Village Shopping Center- So. Lake Tahoe,,Lake Tahoe,NV,"(M),(R),(D)",Restaurant,1978,NA,-119.943543,38.985396,Verified Location
7224,NV029,Back Door,(Best late) Roundhill Village Shopping Center South Lake Tahoe,,Lake Tahoe,NV,"(M),(R),(D)",Restaurant,1977,NA,-119.943543,38.985396,Verified Location
7389,NV096,Back Door ,(Could be a winner)(Use back door),1415 E. Charleston,Las Vegas,NV,(PT),Bars/Clubs,1980,NA,-115.133304,36.159214,Google Verified Location
7388,NV097,Bookworm ,(Bookstore) ,1350 E. Flamingo Rd. ,Las Vegas,NV,,Book Store,1980,NA,-115.1345664,36.1155052,Google Verified Location
7300,NV044,Calvi's ,,73 N. Sierra,Reno,NV,,Bars/Clubs,1977,NA,-119.814769,39.5250538,Google Verified Location
7327,NV098,Casa Malaga Motel ,,4615 Las Vegas Blvd. S. ,Las Vegas,NV,(H),Hotel,1980,NA,-115.171965,36.086333,Google Verified Location
7374,NV008,Centurion Club,(inquire locally),,Las Vegas,NV,(P),Bars/Clubs,1969,NA,-115.13983,36.169941,Location could not be verified. General city or location coordinates used.
7315,NV016,Club 99,,1099 S. Virginia ,Reno,NV,(M),Bars/Clubs,1973,NA,-119.8068978,39.5126766,Google Verified Location
7314,NV194,Club 99 ,(Cruisy),999 S. Virginia St. ,Reno,NV,Cruisy Area,"Bars/Clubs,Cruising Areas",1980,NA,-119.8079718,39.5148074,Google Verified Location
7285,NV140,Club Baths,,1030 W. 2nd St. ,Reno,NV,,Baths,1973,NA,-119.826675,39.5241202,Google Verified Location
7284,NV134,Club Baths,,1030 W. 2nd St. ,Reno,NV,(*),Baths,1972,NA,-119.826675,39.5241202,Google Verified Location
