"title","description","streetaddress","city","state","amenityfeatures","type","Year","notes","lon","lat","status","unclear_address","full.address","geoAddress","ID"
"'Rest Stop' on I-81","","","Charlestown","NH","Cruisy Area","Cruising Areas",1980,NA,-72.424512,43.238628,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1980-NH-0001"
"3241 Club Baths","(upstairs above the Saimore)","3241 Lafayette Rd.","Portsmouth","NH","(*)","Baths",1973,NA,-70.7962246,43.0232094,"Google Verified Location",NA,NA,NA,"1973-NH-0002"
"Akropolis","(upstairs - above Big Daddy's)","77 Daniel St.","Portsmouth","NH","(P),(D),(YC),(*)","Bars/Clubs",1974,NA,-70.7559911,43.0772645,"Google Verified Location",NA,NA,NA,"1974-NH-0003"
"Akropolis","(above Fran's Rio)","77 Daniel St.","Portsmouth","NH","(G),(D),(P)","Bars/Clubs",1973,NA,-70.7559911,43.0772645,"Google Verified Location",NA,NA,NA,"1973-NH-0004"
"Appletree Book Store","","24 Warren St. ","Concord","NH","(M)","Book Store",1980,NA,-71.5369704,43.2050509,"Google Verified Location",NA,NA,NA,"1980-NH-0005"
"Arabian Lounge","","Exit 21 off I-89","West Lebanon","NH","(M),(R)","Bars/Clubs,Restaurant",1980,NA,-72.310606,43.644651,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1980-NH-0006"
"Arabian Lounge","","Exit 21 off I-89","West Lebanon","NH","(M),(R)","Bars/Clubs,Restaurant",1978,NA,-72.310606,43.644651,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1978-NH-0007"
"Arabian Lounge","","Exit 21 off I-89","West Lebanon","NH","(M),(R)","Bars/Clubs,Restaurant",1977,NA,-72.310606,43.644651,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1977-NH-0008"
"Arabian Lounge","","Exit 21 off I-89","West Lebanon","NH","(M),(R)","Bars/Clubs,Restaurant",1979,NA,-72.310606,43.644651,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1979-NH-0009"
"Athletic Room","","Merrimack St.","Manchester","NH","(P),(D),(E)","Bars/Clubs",1976,NA,-71.454789,42.99564,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1976-NH-0010"
"Block around Carpenter Hotel","","","Manchester","NH","Cruisy Area","Cruising Areas",1980,NA,-71.464216,42.989677,"Verified Location",NA,NA,NA,"1980-NH-0011"
"Brick Yard Mtn. Inn Rte 3 - Weiss Beach","","","Laconia","NH","","Bars/Clubs",1980,NA,-71.470351,43.527855,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1980-NH-0012"
"Cafe Muse & Capt. Quig's Bar","","Main St.","North Conway","NH","(M)","Bars/Clubs",1980,NA,-71.128404,44.053681,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1980-NH-0013"
"Chateau Lounge","","201 Hanover St.","Manchester","NH","(M),(OC),(R)","Restaurant",1977,NA,-71.4584101,42.9907413,"Google Verified Location",NA,NA,NA,"1977-NH-0014"
"Chateau Lounge","","201 Hanover St.","Manchester","NH","(M),(R),(OC)","Restaurant",1979,NA,-71.4584101,42.9907413,"Google Verified Location",NA,NA,NA,"1979-NH-0015"
"Chateau Lounge","","201 Hanover St.","Manchester","NH","(M),(OC)","Restaurant",1978,NA,-71.4584101,42.9907413,"Google Verified Location",NA,NA,NA,"1978-NH-0016"
"Chateau Restaurant Lounge","","201 Hanover St.","Manchester","NH","(M),(*)","Restaurant",1973,NA,-71.4584101,42.9907413,"Google Verified Location",NA,NA,NA,"1973-NH-0017"
"Chateau Restaurant Lounge","","201 Hanover St.","Manchester","NH","(M),(*)","Restaurant",1972,NA,-71.4584101,42.9907413,"Google Verified Location",NA,NA,NA,"1972-NH-0018"
"Chateau Restaurant Lounge","","201 Hanover St.","Manchester","NH","(M)","Restaurant",1974,NA,-71.4584101,42.9907413,"Google Verified Location",NA,NA,NA,"1974-NH-0019"
"Chateau Restaurant Lounge","","201 Hanover St.","Manchester","NH","(M)","Restaurant",1975,NA,-71.4584101,42.9907413,"Google Verified Location",NA,NA,NA,"1975-NH-0020"
