Field 1,ID,title,description,streetaddress,city,state,amenityfeatures,type,Year,notes,lon,lat,status
17187,NJ468,'Rest Stop',,on Hwy. 80 W.,Dover,NJ,Cruisy Area,Cruising Areas,1980,,-74.562102,40.883988,Location could not be verified. General city or location coordinates used.
17188,NJ469,'The Wall',"Seminary Place, George, & Somerset Sts. nr. Rutgers U.",,New Brunswick,NJ,Cruisy Area,Cruising Areas,1980,,-74.448095,40.501357,Verified Location
17043,NJ471,Adult Book Store,,Rte. 31,Phillipsburg,NJ,Cruisy Area,Cruising Areas,1980,,-75.190176,40.69371,Location could not be verified. General city or location coordinates used.
17042,NJ470,Adult Book Store,Rte. 31,,Phillipsburg,NJ,,Book Store,1979,,-75.190176,40.69371,Location could not be verified. General city or location coordinates used.
17095,NJ472,Adult Books,,Rte. 29,Lambertville,NJ,,Book Store,1979,,-74.942945,40.365939,Location could not be verified. General city or location coordinates used.
17096,NJ473,Adult Books,,Rte. 29,Lambertville,NJ,,Book Store,1980,,-74.942945,40.365939,Location could not be verified. General city or location coordinates used.
17138,NJ216,Aladin's Lamp,,677 S. Broad,Trenton,NJ,"(G),(R),(D),(*)","Restaurant,Bars/Clubs",1977,NA,-74.753595,40.208249,Google Verified Location
17139,NJ260,Aladin's Lamp,(Some G),677 S. Broad,Trenton,NJ,"(G),(R),(D),(*)","Restaurant,Bars/Clubs",1976,NA,-74.753595,40.208249,Google Verified Location
17140,NJ302,Aladin's Lamp,(some G),677 S. Broad,Trenton,NJ,"(D),(G),(*)",Bars/Clubs,1975,NA,-74.753595,40.208249,Google Verified Location
17646,NJ059,Albion Hotel & Motel,,102 2nd Ave.,Asbury Park,NJ,"(M),(H)",Hotel,1979,NA,-74.0005705,40.2201017,Google Verified Location
17647,NJ124,Albion Hotel & Motel,,102 - 2nd Ave.,Asbury Park,NJ,"(M),(H)",Hotel,1978,NA,-74.0005705,40.2201017,Google Verified Location
17649,NJ221,Albion Hotel & Motel,(Disco),102 2nd Ave.,Asbury Park,NJ,"(YC),(D),(R),(S),(*)","Bars/Clubs,Hotel,Restaurant",1976,NA,-74.0005705,40.2201017,Google Verified Location
17648,NJ173,Albion Hotel & Motel ,,102 2nd Avenue ,Asbury Park,NJ,(H),Hotel,1977,NA,-74.0005705,40.2201017,Google Verified Location
17064,NJ474,Andy's Log Cabin,,Fairmount District,Camden,NJ,,Bars/Clubs,1973,,-75.101088,39.897411,Verified Location
17159,NJ049,Annex,,128 Nassau,Princeton,NJ,"(M),(YC)",Bars/Clubs,1980,NA,-74.6587755,40.3502651,Google Verified Location
17162,NJ258,Annex,,128 Nassau,Princeton,NJ,,Bars/Clubs,1976,NA,-74.6587755,40.3502651,Google Verified Location
17165,NJ379,Annex,,128 Nassau ,Princeton,NJ,,Bars/Clubs,1972,NA,-74.6587755,40.3502651,Google Verified Location
17161,NJ166,Annex,,128 Nassau ,Princeton,NJ,"(M),(YC)",Bars/Clubs,1978,NA,-74.6587755,40.3502651,Google Verified Location
17166,NJ400,Annex,,128 Nassau ,Princeton,NJ,,Bars/Clubs,1971,NA,-74.6587755,40.3502651,Google Verified Location
17167,NJ417,Annex,,128 Nausau,Princeton,NJ,,Bars/Clubs,1970,NA,-74.6587755,40.3502651,Google Verified Location
17168,NJ432,Annex,,128 Nausau,Princeton,NJ,,Bars/Clubs,1969,NA,-74.6587755,40.3502651,Google Verified Location
17145,NJ475,Annex,,,Princeton,NJ,,Bars/Clubs,1977,,-74.667223,40.357298,Location could not be verified. General city or location coordinates used.
17164,NJ333,Annex ,,128 Nassau ,Princeton,NJ,,Bars/Clubs,1974,NA,-74.6587755,40.3502651,Google Verified Location
17163,NJ300,Annex ,,128 Nassau ,Princeton,NJ,,Bars/Clubs,1975,NA,-74.6587755,40.3502651,Google Verified Location
17160,NJ116,Annex ,,128 Nassau,Princeton,NJ,"(M),(YC)",Bars/Clubs,1979,NA,-74.6587755,40.3502651,Google Verified Location
17639,NJ476,Annex Lounge,Robert Alan Hotel,2nd & Kingsley,Asbury Park,NJ,"(YC),(D)","Bars/Clubs,Hotel",1975,,-74.00194,40.220466,Verified Location
17607,NJ060,Archie's,,312 Cookman Ave.,Asbury Park,NJ,"(R),(D),(*)","Restaurant,Bars/Clubs",1979,NA,-74.0063885,40.2175588,Google Verified Location
17606,NJ001,Archie's ,(Snacks),312 Cookman Ave.,Asbury Park,NJ,(D),Bars/Clubs,1980,NA,-74.0063885,40.2175588,Google Verified Location
17614,NJ174,Asbury Hudson,(3rd & 4th floors),331 Cookman Avenue ,Asbury Park,NJ,(H),Hotel,1977,NA,-74.0056944,40.2179963,Google Verified Location
