"title","description","streetaddress","city","state","amenityfeatures","type","Year","notes","lon","lat","status","unclear_address","full.address","geoAddress","ID"
"Adam's Den","(Disco)(Unisex)","4418 Central Ave. N.E.","Albuquerque","NM","(*),(HIP),(YC),(D)","Bars/Clubs",1980,NA,-106.6057974,35.0798915,"Geocoded",NA,NA,NA,"1980-NM-0001"
"Albuquerque Social Club","(Height's) ($1.00 adm.) (Some L, Latins) (Disco-D-WE)","4021 Central Ave. N.E.","Albuquerque","NM","(*),(P),(L),(PT),(D),(WE)","Bars/Clubs",1980,NA,-106.5989274,35.0793714,"Geocoded",NA,NA,NA,"1980-NM-0002"
"Cricket Club","(L-only) (Sleazy)","5511 Central Ave. N.W.","Albuquerque","NM","(P),(D),(PT)","Bars/Clubs",1980,NA,-106.7003121,35.082563,"Geocoded",NA,NA,NA,"1980-NM-0003"
"Foxe's","(Some W, YC) (Disco) (Open days)","8521 Central Ave. N.E.","Albuquerque","NM","(*),(W),(YC),(D),(PT)","Bars/Clubs",1980,NA,-106.5518372,35.0743528,"Geocoded",NA,NA,NA,"1980-NM-0004"
"Madame Lovejoy's","(Books- crusiy arcade)","4217 Central Ave. N.E.","Albuquerque","NM","","Book Store,Cruising Areas",1980,NA,-106.5967446,35.0791649,"Geocoded",NA,NA,NA,"1980-NM-0005"
"Pleasure Palace","(Books)","5205 Menaul N.E.","Albuquerque","NM","","Book Store",1980,NA,-106.5860917,35.1094432,"Geocoded",NA,NA,NA,"1980-NM-0006"
"Evangelo's","at Alameda","200 W. San Francisco","Santa Fe","NM","(M)","Bars/Clubs",1980,NA,-105.9406939,35.6874507,"Geocoded",NA,NA,NA,"1980-NM-0007"
"La Fonda Hotel Bar","(Best bet)","100 San Francisco","Santa Fe","NM","(M)","Bars/Clubs,Hotels",1980,NA,-105.937804,35.68665,"Geocoded",NA,NA,NA,"1980-NM-0008"
"Senate","(Latins)","221 Galisteo","Santa Fe","NM","(M),(RT)","Bars/Clubs",1980,NA,-105.9409599,35.6860637,"Geocoded",NA,NA,NA,"1980-NM-0009"
"Cricket Club","(G only)","5511 Central N.W.","Albuquerque","NM","(P),(G),(D),(PT)","Bars/Clubs",1979,NA,-106.7003121,35.082563,"Geocoded",NA,NA,NA,"1979-NM-0010"
"Crusie Inn","","4223 Central Ave. N.E.","Albuquerque","NM","(H)","Hotels",1979,NA,-106.5964939,35.0790676,"Geocoded",NA,NA,NA,"1979-NM-0011"
"Foxe's","(Some W, YC)(Disco) (Open days)","8521 Central Ave. N.E.","Albuquerque","NM","(*),(W),(YC),(D),(PT)","Bars/Clubs",1979,NA,-106.5518372,35.0743528,"Geocoded",NA,NA,NA,"1979-NM-0012"
"Height's","(Unisex) (Disco)","4021 Central Ave. N.E.","Albuquerque","NM","(*),(HIP),(D),(PT)","Bars/Clubs",1979,NA,-106.5989274,35.0793714,"Geocoded",NA,NA,NA,"1979-NM-0013"
"Milt's Coffee Shop","","4500 Central Ave. S.E.","Albuquerque","NM","(M),(R)","Restaurant",1979,NA,-106.5940319,35.0783477,"Geocoded",NA,NA,NA,"1979-NM-0014"
"Pleasure Palace ","(Books)","5205 Menaul N.E.","Albuquerque","NM","","Book Store",1979,NA,-106.5860917,35.1094432,"Geocoded",NA,NA,NA,"1979-NM-0015"
"The Grinder","(Sandwiches)","111 Cornell S.E.","Albuquerque","NM","(M),(R)","Restaurant",1979,NA,-106.619782,35.0801076,"Geocoded",NA,NA,NA,"1979-NM-0016"
"Evangelo's","at Alameda","200 W. San Francisco","Santa Fe","NM","(M)","Bars/Clubs",1979,NA,-105.9406939,35.6874507,"Geocoded",NA,NA,NA,"1979-NM-0017"
"La Fonda Hotel Bar","(Best bet)","100 San Francisco","Santa Fe","NM","(M)","Bars/Clubs,Hotels",1979,NA,-105.937804,35.68665,"Geocoded",NA,NA,NA,"1979-NM-0018"
"Senate","(Latins) (Forget it!)","221 Galisteo","Santa Fe","NM","(M),(RT)","Bars/Clubs",1979,NA,-105.9409599,35.6860637,"Geocoded",NA,NA,NA,"1979-NM-0019"
"Cricket Club","(G only)","5511 S.W. Central","Albuquerque","NM","(P),(G),(D),(PT),(*)","Bars/Clubs",1978,NA,-106.7422022,35.072634,"Geocoded",NA,NA,NA,"1978-NM-0020"
"Crusie Inn","","4223 Central Ave. N.E.","Albuquerque","NM","(H)","Hotels",1978,NA,-106.5964939,35.0790676,"Geocoded",NA,NA,NA,"1978-NM-0021"
"Depths","(Looks promising) (In rear of Heights- use rear door off alley)","4021 Central Ave. N.E.","Albuquerque","NM","(SM),(W)","Bars/Clubs",1978,NA,-106.5989274,35.0793714,"Geocoded",NA,NA,NA,"1978-NM-0022"
"Foxe's","(Disco-WE) (Sunday brunch)","8521 Central Ave. N.E.","Albuquerque","NM","(W),(D),(PT),(WE),(*)","Bars/Clubs",1978,NA,-106.5518372,35.0743528,"Geocoded",NA,NA,NA,"1978-NM-0023"
"Height's","(Unisex) (Disco)","4021 Central Ave. N.E.","Albuquerque","NM","(HIP),(D),(PT),(*)","Bars/Clubs",1978,NA,-106.5989274,35.0793714,"Geocoded",NA,NA,NA,"1978-NM-0024"
"Madame Lovejoy's Adult Books","(Cruisy arcade)","4217 Central Ave. N.E.","Albuquerque","NM","","Book Store,Cruising Areas",1978,NA,-106.5967446,35.0791649,"Geocoded",NA,NA,NA,"1978-NM-0025"
"Milt's Coffee Shop","","4500 Central Ave. S.E.","Albuquerque","NM","(M),(R)","Restaurant",1978,NA,-106.5940319,35.0783477,"Geocoded",NA,NA,NA,"1978-NM-0026"
"Morning Glory Cafe","","2932 Monte Vista N.E.","Albuquerque","NM","(M),(R),(AH)","Restaurant",1978,NA,-106.6128579,35.0811661,"Geocoded",NA,NA,NA,"1978-NM-0027"
"The Grinder","(Sandwiches)","111 Cornell S.E.","Albuquerque","NM","(M),(R)","Restaurant",1978,NA,-106.619782,35.0801076,"Geocoded",NA,NA,NA,"1978-NM-0028"
"La Fonda Hotel Bar","","100 San Francisco","Santa Fe","NM","(M)","Bars/Clubs,Hotels",1978,NA,-105.937804,35.68665,"Geocoded",NA,NA,NA,"1978-NM-0029"
