"title","description","streetaddress","city","state","amenityfeatures","type","Year","notes","lon","lat","status","unclear_address","full.address","geoAddress","ID"
"Adult Book Store & Cinema X ","(Cruisy)","417 N.P. Ave.","Fargo","ND","","Book Store,Theatre,Cruising Areas",1979,NA,-96.7856448,46.876164,"Google Verified Location",NA,NA,NA,"1979-ND-0001"
"Adult Book Store & Cinema X ","","417 N.P. Ave.","Fargo","ND","","Book Store,Theatre",1978,NA,-96.7856448,46.876164,"Google Verified Location",NA,NA,NA,"1978-ND-0002"
"Broadway","(nights)","","Fargo","ND","Cruisy Area","Cruising Areas",1979,"General coordinates used for Broadway N",-96.787519,46.901696,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1979-ND-0003"
"Broadway","(nights)","","Fargo","ND","Cruisy Area","Cruising Areas",1978,"General coordinates used for Broadway N",-96.787519,46.901696,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1978-ND-0004"
"Broadway","(nights)","","Fargo","ND","Cruisy Area","Cruising Areas",1980,"General coordinates used for Broadway N",-96.787519,46.901696,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1980-ND-0005"
"Chateau Guest Ranch","(May to Sept. only) Box 177-A, Leonard, N.D. 58052","","Leonard","ND","(H)","Hotel",1978,"",-97.245647,46.651915,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1978-ND-0006"
"Chateau Guest Ranch","(Looks promising - open May - Spet. only) Write: Box 177-A Leonard, N.D. 58052","","Leonard","ND","(H)","Hotel",1977,"",-97.245647,46.651915,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1977-ND-0007"
"Chatterbox","","501 N.P. Ave.","Fargo","ND","(M)","Bars/Clubs",1978,NA,-96.7861605,46.8759279,"Google Verified Location",NA,NA,NA,"1978-ND-0008"
"Clance Parker Hotel Bar","","14 S.E. 1st ","Minot","ND","(M)","Bars/Clubs,Hotel",1980,NA,-101.291994,48.2218862,"Google Verified Location",NA,NA,NA,"1980-ND-0009"
"Clance Parker Hotel Bar","","14 S.E. 1st ","Minot","ND","(M)","Bars/Clubs,Hotel",1977,NA,-101.291994,48.2218862,"Google Verified Location",NA,NA,NA,"1977-ND-0010"
"Clance Parker Hotel Bar","","14 S.E. 1st ","Minot","ND","(M)","Bars/Clubs,Hotel",1978,NA,-101.291994,48.2218862,"Google Verified Location",NA,NA,NA,"1978-ND-0011"
