ID,title,description,streetaddress,city,state,amenityfeatures,type,Year,unclearaddress,notes,dateadded,lastmodified,full.address,lon,lat,geoAddress,status
OH001,American Disco,(Some L) (Disco) (2 bars) (Opens 9pm),417 Kenmore at Lakeshore,Akron,OH,"(*),(HIP),(YC),(L),(D)",Bars/Clubs,1980,checked,,2/20/2020 11:43pm,2/21/2020 1:54am,"417 Kenmore at Lakeshore, OH",-81.541485,41.049912,unclear_coded_by_hand,Found
OH002,Club Baths of Akron,,1339 E. Market,Akron,OH,(*),Baths,1980,NA,,2/20/2020 9:43pm,3/28/2020 6:57pm,"1339 E. Market, Akron, OH",-81.479264,41.064209,"1339 e market st, akron, oh 44305, usa",Geocoded
OH003,Hayloft Club,(Some L) ,77 N. Adams,Akron,OH,"(L),(D),(*)",Bars/Clubs,1980,NA,,2/20/2020 9:43pm,3/28/2020 6:57pm,"77 N. Adams, Akron, OH",-81.4980166,41.0799241,"77 n adams st, akron, oh 44304, usa",Geocoded
OH004,L & K,,2727 Manchester Rd.,Akron,OH,"(M),(R),(C),(AH)",Restaurant,1980,NA,,2/20/2020 9:43pm,3/28/2020 6:57pm,"2727 Manchester Rd., Akron, OH",-81.5484585,41.02465,"2727 manchester rd, akron, oh 44319, usa",Geocoded
OH005,Satan's Den,(Use rear door),839 S. Arlington,Akron,OH,"(L),(D)",Bars/Clubs,1980,NA,,2/20/2020 9:43pm,3/28/2020 6:57pm,"839 S. Arlington, Akron, OH",-81.4907543,41.0492523,"839 s arlington st, akron, oh 44306, usa",Geocoded
OH006,Stagecoach Inn,(Disco) (go go boys),259 E. Market St.,Akron,OH,(D),Bars/Clubs,1980,NA,,2/20/2020 9:43pm,3/28/2020 6:57pm,"259 E. Market St., Akron, OH",-81.50933,41.0825232,"259 e market st, akron, oh 44308, usa",Geocoded
OH007,Belden Village Mall,,,Akron,OH,Cruisy Area,Cruising Areas,1980,checked,,2/20/2020 11:43pm,2/21/2020 1:55am,", OH",-81.427799,40.856962,unclear_coded_by_hand,Found
OH008,Big Apple Disco,(Very M),,Akron,OH,"(M),Cruisy Area",Cruising Areas,1980,checked,,2/20/2020 11:43pm,2/21/2020 1:55am,", OH",-81.519005,41.081445,unclear_coded_by_hand,General City Coordinates Used
OH009,Grace Park,,,Akron,OH,Cruisy Area,Cruising Areas,1980,checked,,2/20/2020 11:43pm,2/21/2020 1:55am,", OH",-81.509236,41.084744,unclear_coded_by_hand,Found
OH010,Luv Pub Disco,Chapel Hill Mall,,Akron,OH,Cruisy Area,"Cruising Areas,Bars/Clubs",1980,checked,,2/20/2020 11:43pm,3/13/2020 9:04pm,", OH",-81.467271,41.114346,unclear_coded_by_hand,Found
