Field 1,ID,title,description,streetaddress,city,state,amenityfeatures,type,Year,notes,lon,lat,status
864,OK256,'Rest area' - 1st one N. on I-35 (both sides),,,Oklahoma City,OK,Cruisy Area,Cruising Areas,1976,,-97.516428,35.46756,Location could not be verified. General city or location coordinates used.
827,OK219,'Rest Stop' - just N. of I-35 (both sides),,,Oklahoma City,OK,Cruisy Area,Cruising Areas,1979,,-97.516428,35.46756,Location could not be verified. General city or location coordinates used.
808,OK200,'Rest Stop' - just N. of I-35 (both sides),,,Oklahoma City,OK,Cruisy Area,Cruising Areas,1980,,-97.516428,35.46756,Location could not be verified. General city or location coordinates used.
842,OK234,'Rest Stop' - just N. of I-35 (both sides),,,Oklahoma City,OK,Cruisy Area,Cruising Areas,1978,,-97.516428,35.46756,Location could not be verified. General city or location coordinates used.
854,OK246,'Rest Stops' - just N. on I-35 (both sides),,,Oklahoma City,OK,Cruisy Area,Cruising Areas,1977,,-97.516428,35.46756,Location could not be verified. General city or location coordinates used.
804,OK196,'The Strip' - 'Hitch-hikers' on Ft. Sill Blvd. from Cache Rd to Main Gate,,,Lawton,OK,Cruisy Area,Cruising Areas,1980,Middle of road between Cache and Ft. Sill Visitor center.,-98.422244,34.632623,Verified Location
819,OK211,'The Strip' - 'Hitch-hikers' on Ft. Sill Blvd. from Cache Rd. to Main Gate,,,Lawton,OK,Cruisy Area,Cruising Areas,1979,Middle of road between Cache and Ft. Sill Visitor center.,-98.422244,34.632623,Verified Location
882,OK274,About the 1500 block of So. Main,,,Tulsa,OK,Cruisy Area,Cruising Areas,1972,,-95.987687,36.140561,Verified Location
645,OK037,Baker's,('Greasy Spoon') (Cruisy),229 W. 11th,Tulsa,OK,"(R),(C),(AH)","Cruising Areas,Restaurant",1979,NA,-95.9912517,36.1461684,Google Verified Location
619,OK011,Baker's,('Greasy spoon') (Cruisy),229 W. 11th,Tulsa,OK,"(R),(C),(AH)","Cruising Areas,Restaurant",1980,NA,-95.9912517,36.1461684,Google Verified Location
707,OK099,Bamboo,,7204 E. Pine,Tulsa,OK,(M),Bars/Clubs,1976,NA,-95.8965894,36.1766944,Google Verified Location
689,OK081,Bamboo,,7204 E. Pine St,Tulsa,OK,"(M),(YC)",Bars/Clubs,1977,NA,-95.8965894,36.1766944,Google Verified Location
646,OK038,Bamboo,(Some G) ,7204 E. Pine,Tulsa,OK,"(M),(YC),(G)",Bars/Clubs,1979,NA,-95.8965894,36.1766944,Google Verified Location
746,OK138,Bamboo,,7204 E. Pine,Tulsa,OK,(M),Bars/Clubs,1975,NA,-95.8965894,36.1766944,Google Verified Location
731,OK123,Bamboo,,7204 E. Pine,Tulsa,OK,(M),Bars/Clubs,1974,NA,-95.8965894,36.1766944,Google Verified Location
743,OK135,Bamboo,,7204 E. Pine,Tulsa,OK,(M),Bars/Clubs,1973,NA,-95.8965894,36.1766944,Google Verified Location
620,OK012,Bamboo,(Some OC),7204 E. Pine,Tulsa,OK,(OC),Bars/Clubs,1980,NA,-95.8965894,36.1766944,Google Verified Location
668,OK060,Bamboo,,7204 E. Pine St.,Tulsa,OK,"(M),(YC)",Bars/Clubs,1978,NA,-95.8965894,36.1766944,Google Verified Location
914,OK306,Bamboo Room,,Lewis & Independence,Tulsa,OK,,Bars/Clubs,1969,,-95.957009,36.166238,Verified Location
