"title","description","streetaddress","city","state","amenityfeatures","type","Year","notes","lon","lat","status","unclear_address","full.address","geoAddress","ID"
"'Rest Stop'","5 mi. S. (late nights)","","Medford","OR","Cruisy Area","Cruising Areas",1980,"",-122.875595,42.326515,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1980-OR-0001"
"'Rest Stop' on I-5","3 mi. N. (Both sides)","","Grants Pass","OR","Cruisy Area","Cruising Areas",1980,"",-123.328392,42.439007,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1980-OR-0002"
"'Rest Stops' on I-5","3 mi. N (both sides)","","Grants Pass","OR","Cruisy Area","Cruising Areas",1979,"",-123.328392,42.439007,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1979-OR-0003"
"'Rest Stops' on I-5","betw. Salem & Portland - also betw. Salem & Albany (both sides- discretion)","","Salem","OR","Cruisy Area","Cruising Areas",1979,"",-123.035096,44.942898,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1979-OR-0004"
"'Rest Stops' on I-5","between Salem & Portland- also betw. Salem & Albany(both sides- discretion)","","Salem","OR","Cruisy Area","Cruising Areas",1980,"",-123.035096,44.942898,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1980-OR-0005"
"11 Mi. S. at Valley of the Rogue","rest area & campground","","Grants Pass","OR","Cruisy Area","Cruising Areas",1976,"",-123.328392,42.439007,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1976-OR-0006"
"11 mi. south at Valley of the Rogue","campground & rest area","","Grants Pass","OR","Cruisy Area","Cruising Areas",1975,"",-123.328392,42.439007,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1975-OR-0007"
"A Woman's Place ","(Book store)","706 S.E. Grand ","Portland","OR","(G)","Book Store",1976,NA,-122.6605585,45.5177852,"Google Verified Location",NA,NA,NA,"1976-OR-0008"
"Adult Bookstore & Arcade ","","628 E. Burnside ","Portland","OR","","Book Store",1979,NA,-122.658999,45.5228357,"Google Verified Location",NA,NA,NA,"1979-OR-0009"
"Aero Steam Baths ","","1237 SW 3rd. ","Portland","OR","","Baths",1966,NA,-122.6774713,45.5146785,"Google Verified Location",NA,NA,NA,"1966-OR-0010"
"Aero Vapor Steam Baths","","1239 S.W. 3rd Ave. ","Portland","OR","","Baths",1972,NA,-122.6774785,45.5146654,"Google Verified Location",NA,NA,NA,"1972-OR-0011"
"Aero Vapor Steam Baths","","1239 S.W. 3rd ","Portland","OR","","Baths",1971,NA,-122.6774785,45.5146654,"Google Verified Location",NA,NA,NA,"1971-OR-0012"
"Aero Vapor Steam Baths","","1237 SW 3rd. ","Portland","OR","","Baths",1965,NA,-122.6774713,45.5146785,"Google Verified Location",NA,NA,NA,"1965-OR-0013"
"Aero Vapor Steam Baths ","","1237 SW 3rd ","Portland","OR","","Baths",1969,NA,-122.6774713,45.5146785,"Google Verified Location",NA,NA,NA,"1969-OR-0014"
"Aero Vapor Steam Baths ","","1237 S.W. 3rd ","Portland","OR","","Baths",1970,NA,-122.6774713,45.5146785,"Google Verified Location",NA,NA,NA,"1970-OR-0015"
"Aero Vapor Steam Baths ","","1237 SW 3rd ","Portland","OR","","Baths",1968,NA,-122.6774713,45.5146785,"Google Verified Location",NA,NA,NA,"1968-OR-0016"
"Annex (Derek's)","","820 S.W. Oak ","Portland","OR","(*)","Bars/Clubs",1972,NA,-122.6797505,45.5224094,"Google Verified Location",NA,NA,NA,"1972-OR-0017"
"Annex Stereo Room ","","820 SW Oak St. ","Portland","OR","(*)","Bars/Clubs",1965,NA,-122.6797505,45.5224094,"Google Verified Location",NA,NA,NA,"1965-OR-0018"
"Balboa Club ","","112 S Empire ","Coos Bay","OR","(M)","Bars/Clubs",1969,NA,-124.2776025,43.3929679,"Google Verified Location",NA,NA,NA,"1969-OR-0019"
"Balboa Club ","","112 S. Empire ","Coos Bay","OR","(M)","Bars/Clubs",1971,NA,-124.2776025,43.3929679,"Google Verified Location",NA,NA,NA,"1971-OR-0020"
"Balboa Club ","","112 S. Empire ","Coos Bay","OR","(M)","Bars/Clubs",1966,NA,-124.2776025,43.3929679,"Google Verified Location",NA,NA,NA,"1966-OR-0021"
"Balboa Club ","","112 S. Empire ","Coos Bay","OR","(M)","Bars/Clubs",1970,NA,-124.2776025,43.3929679,"Google Verified Location",NA,NA,NA,"1970-OR-0022"
"Balboa Club ","","112 S. Empire ","Coos Bay","OR","(M)","Bars/Clubs",1968,NA,-124.2776025,43.3929679,"Google Verified Location",NA,NA,NA,"1968-OR-0023"
"Balboa Club ","","112 S. Empire ","Coos Bay","OR","(M)","Bars/Clubs",1972,NA,-124.2776025,43.3929679,"Google Verified Location",NA,NA,NA,"1972-OR-0024"
"Barbary Coast Nite Club ","Hoyt Hotel","614 N.W. Hoyt","Portland","OR","(M)","Bars/Clubs,Hotel",1973,NA,-122.6767475,45.5273195,"Google Verified Location",NA,NA,NA,"1973-OR-0025"
"Beefeater","","1002 SW Broadway ","Portland","OR","(M),(PE)","Bars/Clubs",1968,NA,-122.6807186,45.5173258,"Google Verified Location",NA,NA,NA,"1968-OR-0026"
"Beefeater ","","1002 SW Broadway ","Portland","OR","(M),(PE)","Bars/Clubs",1969,NA,-122.6807186,45.5173258,"Google Verified Location",NA,NA,NA,"1969-OR-0027"
"Benson Hotel Bar","(Cocktail hour only)","","Portland","OR","(M),(PE)","Bars/Clubs,Hotel",1977,"",-122.678811,45.521694,"Verified Location",NA,NA,NA,"1977-OR-0028"
"Benson Hotel Bar ","(Cocktail hour only) ","309 S.W. Broadway ","Portland","OR","(M),(PE)","Bars/Clubs,Hotel",1976,NA,-122.6788083,45.5217905,"Google Verified Location",NA,NA,NA,"1976-OR-0029"
"Benson Hotel Bar ","","309 S. Broadway ","Portland","OR","(M),(PE)","Bars/Clubs,Hotel",1965,NA,-122.6788083,45.5217905,"Google Verified Location",NA,NA,NA,"1965-OR-0030"
"Benson Hotel Bar ","(Cocktail hr. only)","309 S.W. Broadway ","Portland","OR","(M),(PE)","Bars/Clubs,Hotel",1975,NA,-122.6788083,45.5217905,"Google Verified Location",NA,NA,NA,"1975-OR-0031"
"Benson Hotel Bar ","(cocktail hour only)","309 S.W. Broadway ","Portland","OR","(M),(PE)","Bars/Clubs,Hotel",1973,NA,-122.6788083,45.5217905,"Google Verified Location",NA,NA,NA,"1973-OR-0032"
"Benson Hotel Bar ","(cocktail hour)","309 S. Broadway","Portland","OR","(M),(PE)","Bars/Clubs,Hotel",1970,NA,-122.6788083,45.5217905,"Google Verified Location",NA,NA,NA,"1970-OR-0033"
"Benson Hotel Bar ","(cocktail hr.)","309 S. Broadway","Portland","OR","(M),(PE)","Bars/Clubs,Hotel",1971,NA,-122.6788083,45.5217905,"Google Verified Location",NA,NA,NA,"1971-OR-0034"
"Benson Hotel Bar ","","309 S. Broadway ","Portland","OR","(M),(PE)","Bars/Clubs,Hotel",1966,NA,-122.6788083,45.5217905,"Google Verified Location",NA,NA,NA,"1966-OR-0035"
"Benson Hotel Bar ","","309 S. Broadway ","Portland","OR","(M),(PE)","Bars/Clubs,Hotel",1969,NA,-122.6788083,45.5217905,"Google Verified Location",NA,NA,NA,"1969-OR-0036"
"Benson Hotel Bar ","(cocktail hour only)","309 S.W. Broadway ","Portland","OR","(M),(PE)","Bars/Clubs,Hotel",1974,NA,-122.6788083,45.5217905,"Google Verified Location",NA,NA,NA,"1974-OR-0037"
"Benson's Hotel Bar ","(cocktail hour)","309 S.W. Broadway ","Portland","OR","(M),(PE)","Bars/Clubs,Hotel",1972,NA,-122.6788083,45.5217905,"Google Verified Location",NA,NA,NA,"1972-OR-0038"
