"title","description","streetaddress","city","state","amenityfeatures","type","Year","notes","lon","lat","status","unclear_address","full.address","geoAddress","ID"
"'Rest Stop' & woods behind I-81, betw. exit 31 & 32","","","Pine Grove","PA","Cruisy Area","Cruising Areas",1980,"",-76.384678,40.548423,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1980-PA-0001"
"'Rest Stop' and adj. woods","","Rte. 22, 1 mi. E. of Rte. 119","Blairsville","PA","Cruisy Area","Cruising Areas",1979,"",-79.157929,40.61831,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1979-PA-0002"
"'Rest stop' and adj. woods","","Rte. 22, 1 mi. E of RTE 119","Blairsville","PA","Cruisy Area","Cruising Areas",1978,"",-79.260869,40.43118,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1978-PA-0003"
"'Rest Stop' on 1-95","","","Marcus Hook","PA","Cruisy Area","Cruising Areas",1980,"",-75.418527,39.819279,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1980-PA-0004"
"'Rest Stop' on Hwy. 82 W","","","Sharon","PA","Cruisy Area","Cruising Areas",1978,"",-80.493403,41.233112,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1978-PA-0005"
"'Rest Stop' on Hwy. 82 W.","","","Sharon","PA","Cruisy Area","Cruising Areas",1979,"",-80.493403,41.233112,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1979-PA-0006"
"'Rest Stop' on Hwy. 82- West","","","Sharon","PA","Cruisy Area","Cruising Areas",1977,"",-80.493403,41.233112,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1977-PA-0007"
"'Rest Stop' on I-81 S.","","","Greencastle","PA","Cruisy Area","Cruising Areas",1980,"",-77.727771,39.790371,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1980-PA-0008"
"'Rest Stop' on I-81- Southbound","","","Chambersburg","PA","Cruisy Area","Cruising Areas",1980,"",-77.661102,39.937591,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1980-PA-0009"
"'Rest Stop' on I-95","","","Marcus Hook","PA","Cruisy Area","Cruising Areas",1979,"",-75.418527,39.819279,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1979-PA-0010"
"'Rest Stop' on Rte. 11 - 12 mi South","","","Wilkes-Barre","PA","Cruisy Area","Cruising Areas",1979,"",-75.881307,41.245915,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1979-PA-0011"
"'Rest Stop' on Rte. 11-12 mi. S","","","Wilkes-Barre","PA","Cruisy Area","Cruising Areas",1980,"",-75.881307,41.245915,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1980-PA-0012"
"'The Wall'","opp. My Oh My Club","","State College ","PA","Cruisy Area","Cruising Areas",1979,"",-77.860699,40.794839,"Verified Location",NA,NA,NA,"1979-PA-0013"
"'The Wall'","opp. My Oh My Club","","State College ","PA","Cruisy Area","Cruising Areas",1977,"",-77.860699,40.794839,"Verified Location",NA,NA,NA,"1977-PA-0014"
"'The Wall'","","Rte. 93 S.- Nescopeck end of Ber-Nesco Bridge","Nescopeck","PA","Cruisy Area","Cruising Areas",1980,"",-76.23122,41.052113,"Verified Location",NA,NA,NA,"1980-PA-0015"
"'The Wall'","","Rte. 93 S. - Nescopeck end of Ber-Nesco Bridge","Nescopeck","PA","Cruisy Area","Cruising Areas",1979,"",-76.23122,41.052113,"Verified Location",NA,NA,NA,"1979-PA-0016"
"'The Wall' 100 block of College Ave.","","","State College ","PA","Cruisy Area","Cruising Areas",1980,"",-77.860699,40.794839,"Verified Location",NA,NA,NA,"1980-PA-0017"
"'Tow Path'","along the canal nr. Ferry St.","","New Hope","PA","Cruisy Area","Cruising Areas",1979,"",-74.950423,40.363428,"Verified Location",NA,NA,NA,"1979-PA-0018"
"'Tow Path'","along the canal nr. Ferry St.","","New Hope","PA","Cruisy Area","Cruising Areas",1980,"",-74.950423,40.363428,"Verified Location",NA,NA,NA,"1980-PA-0019"
"""The Wall""","opp. My Oh My","","State College ","PA","Cruisy Area","Cruising Areas",1978,"",-77.860699,40.794839,"Verified Location",NA,NA,NA,"1978-PA-0020"
"14 Karat","","W. Market St.","York","PA","(RT)","Bars/Clubs",1979,"",-76.745212,39.957071,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1979-PA-0021"
"14 Karat","","W. Market St.","York","PA","(RT)","Bars/Clubs",1980,"",-76.745212,39.957071,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1980-PA-0022"
"51 Club","","58th & Baltimore","Philadelphia","PA","(B)","Bars/Clubs",1979,"",-75.24031,39.945864,"Verified Location",NA,NA,NA,"1979-PA-0023"
"100 Block of Duke & Queen Sts.","","","York","PA","Cruisy Area","Cruising Areas",1979,"",-76.72501,39.961322,"Verified Location",NA,NA,NA,"1979-PA-0024"
"100 Block of Duke & Wueen Sts.","","","York","PA","Cruisy Area","Cruising Areas",1980,"",-76.72501,39.961322,"Verified Location",NA,NA,NA,"1980-PA-0025"
"1217 Filbert St. Book Store ","","1217 Filbert St. ","Philadelphia","PA","","Book Store",1980,NA,-75.1606683,39.9530626,"Google Verified Location",NA,NA,NA,"1980-PA-0026"
"1217 Filbert St. Book Store ","","1217 Filbert St. ","Philadelphia","PA","","Book Store",1979,NA,-75.1606683,39.9530626,"Google Verified Location",NA,NA,NA,"1979-PA-0027"
"1999 Club, Inc. ","(Some G)(2 floors)","929 Penn Ave. ","Pittsburgh","PA","(YC),(D),(G),(*)","Bars/Clubs",1975,NA,-79.997179,40.4442639,"Google Verified Location",NA,NA,NA,"1975-PA-0028"
"2001","(Huge complex with (S)(E)(Disco)(D) Sat. nights only) Next to 3 Rivers Stadium","","Pittsburgh","PA","(*),(S),(E),(D)","Bars/Clubs",1980,"",-80.01397,40.445933,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1980-PA-0029"
"2001","(Huge complex with (S)(E)(Disco)(D)(Wed. & Sat. nights only)Next to 3 rivers stadium (Meadville)","","Pittsburgh","PA","(*),(S),(E),(D)","Bars/Clubs",1979,"",-80.01397,40.445933,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1979-PA-0030"
"2002 Club","(Disco)(Sat. night only)","9 mi. N. on RT. 8","Butler","PA","(G),(D)","Bars/Clubs",1977,"",-79.895333,40.861176,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1977-PA-0031"
"2002 Club","(Disco)(Saturday nights only)","9 mi. N. on RT. 8","Butler","PA","(D),(BYOB)","Bars/Clubs",1976,"",-79.895333,40.861176,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1976-PA-0032"
"A-V-A","(upstairs entrance on 7th)","7th nr. Grant","Pittsburgh","PA","(D),(P)","Bars/Clubs",1965,"",-79.995009,40.442186,"Verified Location",NA,NA,NA,"1965-PA-0033"
"Act III","(Inquire locally)","","Johnstown","PA","(M),(R)","Restaurant",1975,"",-78.919898,40.325996,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1975-PA-0034"
"Act III","Inquire locally","","Johnstown","PA","(M),(R)","Restaurant",1976,"",-78.919898,40.325996,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1976-PA-0035"
"Act III","(Inquire locally) Spot, Main St.","","Johnstown","PA","(M),(R)","Restaurant",1974,"",-78.919898,40.325996,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1974-PA-0036"
"Adult Art Cinema","","1903 Market St. ","Philadelphia","PA","","Theatre",1978,NA,-75.171907,39.9537329,"Google Verified Location",NA,NA,NA,"1978-PA-0037"
"Adult Art Cinema ","(theatre)","1903 Market St. ","Philadelphia","PA","","Theatre",1975,NA,-75.171907,39.9537329,"Google Verified Location",NA,NA,NA,"1975-PA-0038"
"Adult Art Cinema ","(Theatre) ","1903 Market St. ","Philadelphia","PA","","Theatre",1974,NA,-75.171907,39.9537329,"Google Verified Location",NA,NA,NA,"1974-PA-0039"
"Adult Art Cinema ","","1903 Market St. ","Philadelphia","PA","","Theatre",1977,NA,-75.171907,39.9537329,"Google Verified Location",NA,NA,NA,"1977-PA-0040"
"Adult Art Cinema ","","1903 Market St. ","Philadelphia","PA","","Theatre",1976,NA,-75.171907,39.9537329,"Google Verified Location",NA,NA,NA,"1976-PA-0041"
"Adult Book House ","","14 N. 3rd ","Erie","PA","","Book Store",1980,NA,-80.087147,42.1323878,"Google Verified Location",NA,NA,NA,"1980-PA-0042"
"Adult Book Shop ","","942 Market St. ","Philadelphia","PA","","Book Store",1975,NA,-75.1566586,39.9512118,"Google Verified Location",NA,NA,NA,"1975-PA-0043"
"Adult Book Store ","","942 Market St. ","Philadelphia","PA","","Book Store",1976,NA,-75.1566586,39.9512118,"Google Verified Location",NA,NA,NA,"1976-PA-0044"
"Adult Book Store ","","1113 State St. ","Erie","PA","","Book Store",1979,NA,-80.0813178,42.1242447,"Google Verified Location",NA,NA,NA,"1979-PA-0045"
