"title","description","streetaddress","city","state","amenityfeatures","type","Year","notes","full.address","lon","lat","geoAddress","status","unclear_address","ID"
"Lutece Guest House","","1 Atlantic Pl. off McLeary ","Condado","PR","(*)","Bars/Clubs",1979,NA,"1 Atlantic Pl. off McLeary , Condado, ",-66.0578831,18.4540659,"1 calle atlantic pl, san juan, 00911, puerto rico","Google Verified Location",NA,"1979-PR-0001"
"Lutece Guest House","","1 Atlantic Pl. off McLeary ","Condado","PR","(*)","Bars/Clubs",1980,NA,"1 Atlantic Pl. off McLeary , Condado, ",-66.0578831,18.4540659,"1 calle atlantic pl, san juan, 00911, puerto rico","Google Verified Location",NA,"1980-PR-0002"
"El Mar Guest House","","1 Calle Ciemenceau","Condado","PR","(H)","Hotels",1973,NA,"1 Calle Ciemenceau, Condado, ",-66.0753342,18.4568079,"cll clemenceau, san juan, 00907, puerto rico","Google Verified Location",NA,"1973-PR-0003"
"El Mar Guest House","(Recent reports are not good, especially regarding cleanliness)","1 Calle Clemenceau","Condado","PR","(H)","Hotels",1975,NA,"1 Calle Clemenceau, Condado, ",-66.0753342,18.4568079,"cll clemenceau, san juan, 00907, puerto rico","Google Verified Location",NA,"1975-PR-0004"
"El Mar Guest House","(Rooftop bar) ","1 Calle Clemenceau","Condado","PR","(H)","Hotels",1977,NA,"1 Calle Clemenceau, Condado, ",-66.0753342,18.4568079,"cll clemenceau, san juan, 00907, puerto rico","Google Verified Location",NA,"1977-PR-0005"
"El Mar Guest House","","1 Calle Clemenceau ","Condado","PR","(H)","Hotels",1974,NA,"1 Calle Clemenceau , Condado, ",-66.0753342,18.4568079,"cll clemenceau, san juan, 00907, puerto rico","Google Verified Location",NA,"1974-PR-0006"
"El Mar Guest House & Rooftop bar ","","1 Calle Clemenceau ","Condado","PR","(H)","Hotels",1976,NA,"1 Calle Clemenceau , Condado, ",-66.0753342,18.4568079,"cll clemenceau, san juan, 00907, puerto rico","Google Verified Location",NA,"1976-PR-0007"
"Atlantic Beach Hotel","(Beach bar & rooftop disco)","1 Calle Vendig","San Juan","PR","(*)","Bars/Clubs",1980,NA,"1 Calle Vendig, San Juan, ",-66.0723525,18.4571237,"1 cll vendig, san juan, 00907, puerto rico","Google Verified Location",NA,"1980-PR-0008"
"Rudy's on the Beach","","1 Vendig St.","Condado","PR","(M)","Bars/Clubs",1974,NA,"1 Vendig St., Condado, ",-66.0723525,18.4571237,"1 cll vendig, san juan, 00907, puerto rico","Google Verified Location",NA,"1974-PR-0009"
"Rudy's on the Beach","(Unfriendly mgmt.) Atlantic Beach Hotel ","1 Vendig St.","Condado","PR","(M)","Bars/Clubs",1975,NA,"1 Vendig St., Condado, ",-66.0723525,18.4571237,"1 cll vendig, san juan, 00907, puerto rico","Google Verified Location",NA,"1975-PR-0010"
"Arcos Blancos Guest House","","10 Carrion Court","Condado","PR","(H)","Hotels",1973,NA,"10 Carrion Court, Condado, ",-66.0592925,18.4535765,"10 calle carrion ct, san juan, 00911, puerto rico","Google Verified Location",NA,"1973-PR-0011"
"Arcos Blancos Guest House","","10 Carrion Court","Condado","PR","(M),(H)","Hotels",1977,NA,"10 Carrion Court, Condado, ",-66.0592925,18.4535765,"10 calle carrion ct, san juan, 00911, puerto rico","Google Verified Location",NA,"1977-PR-0012"
"Arcos Blancos Guest House","","10 Carrion Court ","Condado","PR","(H)","Hotels",1974,NA,"10 Carrion Court , Condado, ",-66.0592925,18.4535765,"10 calle carrion ct, san juan, 00911, puerto rico","Google Verified Location",NA,"1974-PR-0013"
"Arcos Blancos Guest House","","10 Carrion Court ","Condado","PR","(M),(H)","Hotels",1975,NA,"10 Carrion Court , Condado, ",-66.0592925,18.4535765,"10 calle carrion ct, san juan, 00911, puerto rico","Google Verified Location",NA,"1975-PR-0014"
"Arcos Blancos Guest House","","10 Carrion Ct.","Condado","PR","(*)","Bars/Clubs",1979,NA,"10 Carrion Ct., Condado, ",-66.0592925,18.4535765,"10 calle carrion ct, san juan, 00911, puerto rico","Google Verified Location",NA,"1979-PR-0015"
"Arcos Blancos Guest House","","10 Carrion Ct.","Condado","PR","(*)","Bars/Clubs",1980,NA,"10 Carrion Ct., Condado, ",-66.0592925,18.4535765,"10 calle carrion ct, san juan, 00911, puerto rico","Google Verified Location",NA,"1980-PR-0016"
"Arcos Blancos Guest House","","10 Carrion Ct. ","Condado","PR","(M),(H)","Hotels",1976,NA,"10 Carrion Ct. , Condado, ",-66.0592925,18.4535765,"10 calle carrion ct, san juan, 00911, puerto rico","Google Verified Location",NA,"1976-PR-0017"
"Dona Sue's","","101 Calle Tetuan","San Juan","PR","(M),(RT),(AYOR)","Bars/Clubs",1976,NA,"101 Calle Tetuan, San Juan, ",-66.1174348,18.4639499,"101 calle de tetuan, san juan, 00901, puerto rico","Google Verified Location",NA,"1976-PR-0018"
"Dona Sue's","","101 Calle Tetuan ","San Juan","PR","(M),(RT),(AYOR)","Bars/Clubs",1977,NA,"101 Calle Tetuan , San Juan, ",-66.1174348,18.4639499,"101 calle de tetuan, san juan, 00901, puerto rico","Google Verified Location",NA,"1977-PR-0019"
"Little Penthouse Club","(Opens 12 noon)","1019 Ashford Ave.","Condado","PR","(P),(D),(*)","Bars/Clubs",1973,NA,"1019 Ashford Ave., Condado, ",-66.0794032,18.4605432,"1019 ashford ave, san juan, 00907, puerto rico","Google Verified Location",NA,"1973-PR-0020"
"Little Penthouse Club","","1019 Ashford Ave.","Condado","PR","(D),(S),(*)","Bars/Clubs",1974,NA,"1019 Ashford Ave., Condado, ",-66.0794032,18.4605432,"1019 ashford ave, san juan, 00907, puerto rico","Google Verified Location",NA,"1974-PR-0021"
