"title","description","streetaddress","city","state","amenityfeatures","type","Year","notes","lon","lat","status","unclear_address","full.address","geoAddress","ID"
"'First Beach'","in front of concession stands","","Newport","RI","Cruisy Area","Cruising Areas",1979,"",-71.291362,41.488401,"Verified Location",NA,NA,NA,"1979-RI-0001"
"'First Beach'","in front of concession stands","","Newport","RI","Cruisy Area","Cruising Areas",1976,"",-71.291362,41.488401,"Verified Location",NA,NA,NA,"1976-RI-0002"
"'First Beach'","in front of concession stands","","Newport","RI","Cruisy Area","Cruising Areas",1978,"",-71.291362,41.488401,"Verified Location",NA,NA,NA,"1978-RI-0003"
"'First Beach'","in front of concession stands","","Newport","RI","Cruisy Area","Cruising Areas",1980,"",-71.291362,41.488401,"Verified Location",NA,NA,NA,"1980-RI-0004"
"""First Beach""","in front of concession stands","","Newport","RI","Cruisy Area","Cruising Areas",1977,"",-71.291362,41.488401,"Verified Location",NA,NA,NA,"1977-RI-0005"
"133 Club","","133 Gano St.","Providence","RI","(M),(R)","Restaurant",1980,NA,-71.3898211,41.8230503,"Google Verified Location",NA,NA,NA,"1980-RI-0006"
"Beirut","(lunch) (supposedly starting AH, WE in Spring of '75)","125 Washington St.","Providence","RI","(M),(R),(AH),(WE)","Restaurant",1976,NA,-71.415196,41.823065,"Google Verified Location",NA,NA,NA,"1976-RI-0007"
"Bob's Place","(Some B, YC, G)","124 Snow St.","Providence","RI","(B),(YC),(D),(G),(M),(RT)","Bars/Clubs",1979,NA,-71.4135536,41.8211599,"Google Verified Location",NA,NA,NA,"1979-RI-0008"
"Burnside Park","","","Providence","RI","Cruisy Area","Cruising Areas",1980,"",-71.41169,41.825798,"Verified Location",NA,NA,NA,"1980-RI-0009"
"Burnside Park","","","Providence","RI","Cruisy Area","Cruising Areas",1976,"",-71.41169,41.825798,"Verified Location",NA,NA,NA,"1976-RI-0010"
"Burnside Park","","","Providence","RI","Cruisy Area","Cruising Areas",1978,"",-71.41169,41.825798,"Verified Location",NA,NA,NA,"1978-RI-0011"
"Burnside Park","","","Providence","RI","Cruisy Area","Cruising Areas",1979,"",-71.41169,41.825798,"Verified Location",NA,NA,NA,"1979-RI-0012"
"Burnside Park","","","Providence","RI","Cruisy Area","Cruising Areas",1975,"",-71.41169,41.825798,"Verified Location",NA,NA,NA,"1975-RI-0013"
"Burnside Park","","","Providence","RI","Cruisy Area","Cruising Areas",1977,"",-71.41169,41.825798,"Verified Location",NA,NA,NA,"1977-RI-0014"
"Burnside Park","","","Providence","RI","Cruisy Area","Cruising Areas",1974,"",-71.41169,41.825798,"Verified Location",NA,NA,NA,"1974-RI-0015"
"Bus & R.R. Stations","","","Providence","RI","(AYOR),Cruisy Area","Cruising Areas",1980,"",-71.406367,41.854556,"Verified Location",NA,NA,NA,"1980-RI-0016"
"Bus & R.R. Stations","","","Providence","RI","Cruisy Area","Cruising Areas",1979,"",-71.406367,41.854556,"Verified Location",NA,NA,NA,"1979-RI-0017"
"Bus & Railroad Stations","","","Providence","RI","Cruisy Area","Cruising Areas",1976,"",-71.406367,41.854556,"Verified Location",NA,NA,NA,"1976-RI-0018"
"Bus & Railroad Stations","","","Providence","RI","Cruisy Area","Cruising Areas",1975,"",-71.406367,41.854556,"Verified Location",NA,NA,NA,"1975-RI-0019"
"Bus & Railroad Stations","","","Providence","RI","Cruisy Area","Cruising Areas",1974,"",-71.406367,41.854556,"Verified Location",NA,NA,NA,"1974-RI-0020"
"Bus & RR Stations","","","Providence","RI","Cruisy Area","Cruising Areas",1978,"",-71.406367,41.854556,"Verified Location",NA,NA,NA,"1978-RI-0021"
"Bus & RR Stations","","","Providence","RI","Cruisy Area","Cruising Areas",1977,"",-71.406367,41.854556,"Verified Location",NA,NA,NA,"1977-RI-0022"
"Buttery","","68 Dorrence at Weybosset","Providence","RI","(M),(R),(C),(AH)","Restaurant",1979,NA,-71.4111205,41.8233223,"Google Verified Location",NA,NA,NA,"1979-RI-0023"
"Buttery","","Dorrence & Weybosset","Providence","RI","(M),(R),(C),(AH)","Restaurant",1976,NA,-71.4111205,41.8233223,"Google Verified Location",NA,NA,NA,"1976-RI-0024"
"Buttery","","Dorrence & Weybosset","Providence","RI","(M),(R),(C),(AH)","Restaurant",1975,NA,-71.4111205,41.8233223,"Google Verified Location",NA,NA,NA,"1975-RI-0025"
"Buttery ","","68 Dorrence at Weybosset","Providence","RI","(M),(R),(C),(AH)","Restaurant",1978,NA,-71.4111205,41.8233223,"Google Verified Location",NA,NA,NA,"1978-RI-0026"
"Buttery ","","68 Dorrence at Weybosset ","Providence","RI","(M),(R),(C),(AH)","Restaurant",1980,NA,-71.4111205,41.8233223,"Google Verified Location",NA,NA,NA,"1980-RI-0027"
"Buttery ","","68 Dorrence at Weybosset","Providence","RI","(M),(R),(C),(AH)","Restaurant",1977,NA,-71.4111205,41.8233223,"Google Verified Location",NA,NA,NA,"1977-RI-0028"
"Cabana","","681 Valley","Providence","RI","(G),(D),(*)","Bars/Clubs",1977,NA,-71.4288774,41.8309289,"Google Verified Location",NA,NA,NA,"1977-RI-0029"
"Cabana","","681 Valley","Providence","RI","(G),(D)","Bars/Clubs",1979,NA,-71.4288774,41.8309289,"Google Verified Location",NA,NA,NA,"1979-RI-0030"
"Cabana","","681 Valley","Providence","RI","(G),(D),(*)","Bars/Clubs",1975,NA,-71.4288774,41.8309289,"Google Verified Location",NA,NA,NA,"1975-RI-0031"
"Cabana","","681 Valley","Providence","RI","(G),(D),(*)","Bars/Clubs",1976,NA,-71.4288774,41.8309289,"Google Verified Location",NA,NA,NA,"1976-RI-0032"
"Cabana","","681 Valley","Providence","RI","(G),(D),(*)","Bars/Clubs",1974,NA,-71.4288774,41.8309289,"Google Verified Location",NA,NA,NA,"1974-RI-0033"
"Cabana","","681 Valley","Providence","RI","(G),(D),(*)","Bars/Clubs",1978,NA,-71.4288774,41.8309289,"Google Verified Location",NA,NA,NA,"1978-RI-0034"
"Center Cafe","","91 Clemence St.","Providence","RI","(M),(D)","Bars/Clubs",1966,NA,-71.4127064,41.8220629,"Google Verified Location",NA,NA,NA,"1966-RI-0035"
"Center Cafe","","91 Clemence","Providence","RI","(M),(D)","Bars/Clubs",1965,NA,-71.4127064,41.8220629,"Google Verified Location",NA,NA,NA,"1965-RI-0036"
"Clemence St. Book Store","","33 Clemence St.","Providence","RI","","Book Store",1976,NA,-71.4143206,41.8233015,"Google Verified Location",NA,NA,NA,"1976-RI-0037"
"Clemence St. Book Store","","35 Clemence St.","Providence","RI","","Book Store",1980,NA,-71.4143073,41.8232912,"Google Verified Location",NA,NA,NA,"1980-RI-0038"
"Clemence St. Book Store","","35 Clemence St.","Providence","RI","(*)","Book Store",1979,NA,-71.4143073,41.8232912,"Google Verified Location",NA,NA,NA,"1979-RI-0039"
"Clemence St. Book Store","","35 Clemence St.","Providence","RI","","Book Store",1978,NA,-71.4143073,41.8232912,"Google Verified Location",NA,NA,NA,"1978-RI-0040"
"Clemence St. Book Store","","33 Clemence St.","Providence","RI","","Book Store",1975,NA,-71.4143206,41.8233015,"Google Verified Location",NA,NA,NA,"1975-RI-0041"
"Clemence Street Book Store","","35 Clemence St.","Providence","RI","","Book Store",1977,NA,-71.4143073,41.8232912,"Google Verified Location",NA,NA,NA,"1977-RI-0042"
"Club Car","","Smith St.","Providence","RI","(G),(*)","Bars/Clubs",1973,"",-71.443305,41.841814,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1973-RI-0043"
"Club Providence Baths","","257 Weybosset","Providence","RI","(*)","Baths",1980,NA,-71.41319,41.820952,"Google Verified Location",NA,NA,NA,"1980-RI-0044"
"Club Providence Baths","","257 Weybosset","Providence","RI","(*)","Baths",1979,NA,-71.41319,41.820952,"Google Verified Location",NA,NA,NA,"1979-RI-0045"
"College Pub","(Opens 11:30 a.m. closes 1 a.m. weekdays, 2 a.m. WE)","109 Eddy St.","Providence","RI","(D),(E),(R),(*),(WE)","Restaurant,Bars/Clubs",1978,NA,-71.4116268,41.8226411,"Google Verified Location",NA,NA,NA,"1978-RI-0046"
"Continental","($1.00 admission)","Route 7","Smithfield","RI","(*),(D)","Bars/Clubs",1970,"",-71.54951,41.92205,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1970-RI-0047"
"Continental","($1.00 admission)","Route 7","Smithfield","RI","(D),(*)","Bars/Clubs",1971,"",-71.54951,41.92205,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1971-RI-0048"
"Continental ","($1.00 admission)","Route 7","Smithfield","RI","(D),(*)","Bars/Clubs",1972,NA,-71.5402952,41.9304059,"Google Verified Location",NA,NA,NA,"1972-RI-0049"
"Continental Rt. 7","","Smithfield","Woonsocket","RI","","Bars/Clubs",1969,"",-71.514784,42.002876,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1969-RI-0050"
"Crown Hotel Coffee Shop","(after hours weekends)","208 Weybosset","Providence","RI","","Restaurant,Hotel",1970,NA,-71.412059,41.821665,"Google Verified Location",NA,NA,NA,"1970-RI-0051"
"Crown Hotel Coffee Shop","(after hrs. - weekends)","208 Weybosset","Providence","RI","","Restaurant,Hotel",1971,NA,-71.412059,41.821665,"Google Verified Location",NA,NA,NA,"1971-RI-0052"
"Crown Hotel Coffee Shop","(after 1 am)","208 Weybosset","Providence","RI","","Restaurant,Hotel",1969,NA,-71.412059,41.821665,"Google Verified Location",NA,NA,NA,"1969-RI-0053"
"Crown Hotel Coffee Shop","(after 1 AM)","208 Weybosset","Providence","RI","","Restaurant,Hotel",1968,NA,-71.412059,41.821665,"Google Verified Location",NA,NA,NA,"1968-RI-0054"
"Crown Hotel Coffee Shop","(after 1 am)","208 Weyset ","Providence","RI","","Restaurant,Hotel",1965,NA,-71.444699,41.8525659,"Google Verified Location",NA,NA,NA,"1965-RI-0055"
"Crown Hotel Coffee Shop","(after 1 am)","208 Weyset","Providence","RI","","Restaurant,Hotel",1966,NA,-71.444699,41.8525659,"Google Verified Location",NA,NA,NA,"1966-RI-0056"
"David's","","28 Prospect Hill off Thomas","Newport","RI","(YC),(R),(D),(*)","Restaurant,Bars/Clubs",1976,NA,-71.3139778,41.4853787,"Google Verified Location",NA,NA,NA,"1976-RI-0057"
"David's","","28 Prospect Hill off Thomas Venetian Room","Newport","RI","(YC),(D),(*)","Bars/Clubs",1975,NA,-71.3139778,41.4853787,"Google Verified Location",NA,NA,NA,"1975-RI-0058"
