"title","description","streetaddress","city","state","amenityfeatures","type","Year","notes","lon","lat","status","unclear_address","full.address","geoAddress","ID"
"'Rest Stop' N. & S. on Rte. 7","","","Rutland","VT","Cruisy Area","Cruising Areas",1980,NA,-72.972606,43.610624,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1980-VT-0001"
"'Rest Stops' on I-91","","","Springfield","VT","Cruisy Area","Cruising Areas",1980,NA,-72.482312,43.298408,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1980-VT-0002"
"Acropolis","","60 Pearl St.","Burlington","VT","(M),(R)","Restaurant",1980,NA,-73.2164227,44.4805444,"Google Verified Location",NA,NA,NA,"1980-VT-0003"
"Alibi","So. Park Street","","Middlebury","VT","(M),(YC)","Bars/Clubs",1976,NA,-73.16734,44.0153371,"Google Verified Location",NA,NA,NA,"1976-VT-0004"
"Alibi","So. Park Street","","Middlebury","VT","(M),(YC)","Bars/Clubs",1977,NA,-73.169614,44.012619,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1977-VT-0005"
"Andrews Inn","(Ski resort) (2 bars) (Some G)","34 Village Square","Bellows Falls","VT","(H),(*),(R),(D),(G)","Hotel,Bars/Clubs,Restaurant",1978,NA,-72.443933,43.134071,"Google Verified Location",NA,NA,NA,"1978-VT-0006"
"Andrews Inn","(Ski resort) (2 bars) (Some G) (Basement bar)","34 Village Square","Bellows Falls","VT","(H),(*),(R),(G)","Bars/Clubs,Restaurant,Hotel",1977,NA,-72.443933,43.134071,"Google Verified Location",NA,NA,NA,"1977-VT-0007"
"Andrews Inn","(Ski Resort) (2 bars) (Disco) (Some L)","34 Village Square","Bellows Falls","VT","(H),(*),(R),(L),(D)","Bars/Clubs,Hotel,Restaurant,Business",1980,NA,-72.443933,43.134071,"Google Verified Location",NA,NA,NA,"1980-VT-0008"
"Andrews Inn","(Ski resort) (WE*) (2 bars) (Some G)","34 Village Square","Bellows Falls","VT","(WE),(*),(H),(R),(D),(G)","Bars/Clubs,Business,Hotel,Restaurant",1979,NA,-72.443933,43.134071,"Google Verified Location",NA,NA,NA,"1979-VT-0009"
"Back Home Cafe","","21 Center St.","Rutland","VT","(M),(R)","Restaurant,Bars/Clubs",1980,NA,-72.97889,43.60674,"Google Verified Location",NA,NA,NA,"1980-VT-0010"
"Battery Park","(N. Public Beach)","","Burlington","VT","Cruisy Area","Cruising Areas",1980,NA,-73.219886,44.481301,"Verified Location",NA,NA,NA,"1980-VT-0011"
"Book King","(Books, etc.)","57 Merchants Row","Rutland","VT","","Book Store",1978,NA,-72.9807534,43.6075409,"Google Verified Location",NA,NA,NA,"1978-VT-0012"
"Book King","(Book Store)","57 Merchants Row","Rutland","VT","","Book Store",1976,NA,-72.9807534,43.6075409,"Google Verified Location",NA,NA,NA,"1976-VT-0013"
"Book King","(Books, etc.)","57 Merchants Row","Rutland","VT","","Book Store",1979,NA,-72.9807534,43.6075409,"Google Verified Location",NA,NA,NA,"1979-VT-0014"
"Book King","(Books)","57 Merchants Row","Rutland","VT","","Book Store",1977,NA,-72.9807534,43.6075409,"Google Verified Location",NA,NA,NA,"1977-VT-0015"
"Bus Depot & Park opposite","","","Burlington","VT","Cruisy Area","Cruising Areas",1977,NA,-73.212072,44.475883,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1977-VT-0016"
"Bus Terminal","","","Rutland","VT","Cruisy Area","Cruising Areas",1980,NA,-72.972606,43.610624,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1980-VT-0017"
"Chez Dufais","(upstairs)","185 Pearl St.","Burlington","VT","(M)","Bars/Clubs",1971,NA,-73.2116712,44.4802672,"Google Verified Location",NA,NA,NA,"1971-VT-0018"
"Chez Dufais","(upstairs)","185 Pearl St.","Burlington","VT","(M)","Bars/Clubs",1970,NA,-73.2116712,44.4802672,"Google Verified Location",NA,NA,NA,"1970-VT-0019"
"Chez Dufais","(upstairs)","185 Pearl St.","Burlington","VT","(M)","Bars/Clubs",1972,NA,-73.2116712,44.4802672,"Google Verified Location",NA,NA,NA,"1972-VT-0020"
"City Hall & adj. Park T-Rooms","","","Burlington","VT","Cruisy Area","Cruising Areas",1980,NA,-73.212854,44.476294,"Verified Location",NA,NA,NA,"1980-VT-0021"
"Flat St. Disco","(Wed. only) Inquire locally","","Brattleboro","VT","(YC)","Bars/Clubs",1980,NA,-72.557868,42.850915,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1980-VT-0022"
"Gay B's","","91 Main St.","Burlington","VT","(R),(YC),(*)","Restaurant,Bars/Clubs",1973,NA,-73.2156493,44.4755725,"Google Verified Location",NA,NA,NA,"1973-VT-0023"
"Hi Hat Lounge","(horseshoe bar)","188 Main St.","Burlington","VT","(*)","Bars/Clubs",1973,NA,-73.2116919,44.4761844,"Google Verified Location",NA,NA,NA,"1973-VT-0024"
"Hi Hat Lounge","(horseshoe bar)","188 Main St.","Burlington","VT","(*)","Bars/Clubs",1971,NA,-73.2116919,44.4761844,"Google Verified Location",NA,NA,NA,"1971-VT-0025"
"Hi Hat Lounge","(Horseshoe bar)","188 Main St.","Burlington","VT","(M),(*)","Bars/Clubs",1974,NA,-73.2116919,44.4761844,"Google Verified Location",NA,NA,NA,"1974-VT-0026"
"Hi Hat Lounge","(horseshoe bar)","188 Main St.","Burlington","VT","(*)","Bars/Clubs",1970,NA,-73.2116919,44.4761844,"Google Verified Location",NA,NA,NA,"1970-VT-0027"
"Hi Hat Lounge","(horseshoe bar)","188 Main St.","Burlington","VT","(*)","Bars/Clubs",1972,NA,-73.2116919,44.4761844,"Google Verified Location",NA,NA,NA,"1972-VT-0028"
"Hi Hat Lounge","(WE*) (Upstairs- horse-shoe bar)","188 Main St.","Burlington","VT","(M),(WE),(*)","Bars/Clubs",1976,NA,-73.2116919,44.4761844,"Google Verified Location",NA,NA,NA,"1976-VT-0029"
"Hi Hat Lounge","(Horseshoe bar)","188 Main St.","Burlington","VT","(M),(*)","Bars/Clubs",1975,NA,-73.2116919,44.4761844,"Google Verified Location",NA,NA,NA,"1975-VT-0030"
"Hotel Breton","(downstairs club)","106 Church St.","Burlington","VT","(M),(RT)","Hotel,Bars/Clubs",1971,NA,-73.2124,44.4775,"Google Verified Location",NA,NA,NA,"1971-VT-0031"
"Hotel Breton","(downstairs club)","106 Church St.","Burlington","VT","(M),(RT)","Bars/Clubs,Hotel",1972,NA,-73.2124,44.4775,"Google Verified Location",NA,NA,NA,"1972-VT-0032"
"Hotel Breton","(downstairs club)","106 Church St.","Burlington","VT","(M),(RT)","Bars/Clubs,Hotel",1970,NA,-73.2124,44.4775,"Google Verified Location",NA,NA,NA,"1970-VT-0033"
"Hotel Cooldige Bar","","17 S. Main St.","White River Junction","VT","(M)","Bars/Clubs,Hotel",1979,NA,-72.3187118,43.6483053,"Google Verified Location",NA,NA,NA,"1979-VT-0034"
"Hotel Cooldige Bar","","17 S. Main St.","White River Junction","VT","(M)","Hotel,Bars/Clubs",1978,NA,-72.3187118,43.6483053,"Google Verified Location",NA,NA,NA,"1978-VT-0035"
"Hotel Cooldige Bar","","17 S. Main St.","White River Junction","VT","(M)","Bars/Clubs,Hotel",1977,NA,-72.3187118,43.6483053,"Google Verified Location",NA,NA,NA,"1977-VT-0036"
"Hotel Cooldige Bar","","17 S. Main St.","White River Junction","VT","(M)","Bars/Clubs,Hotel",1976,NA,-72.3187118,43.6483053,"Google Verified Location",NA,NA,NA,"1976-VT-0037"
"Hotel Cooldige Bar","","17 S. Main St.","White River Junction","VT","(M),(YC)","Hotel,Bars/Clubs",1974,NA,-72.3187118,43.6483053,"Google Verified Location",NA,NA,NA,"1974-VT-0038"
"Hotel Cooldige Bar","","17 S. Main St.","White River Junction","VT","(M),(YC)","Bars/Clubs,Hotel",1973,NA,-72.3187118,43.6483053,"Google Verified Location",NA,NA,NA,"1973-VT-0039"
"Kierman's Lodge","(Ski resort)","Sugarbush Road","Warren","VT","(M),(YC),(R),(WE)","Bars/Clubs,Restaurant,Business",1980,NA,-72.891418,44.139083,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1980-VT-0040"
"Main Square opp. Bus Terminal","(Late)","","Burlington","VT","Cruisy Area","Cruising Areas",1980,NA,-73.212896,44.478825,"Verified Location",NA,NA,NA,"1980-VT-0041"
"Main Square opp. Bus Terminal","(Late)","","Burlington","VT","Cruisy Area","Cruising Areas",1979,NA,-73.212896,44.478825,"Verified Location",NA,NA,NA,"1979-VT-0042"
"Mardi Gras","","40 Center St.","Rutland","VT","(*)","Bars/Clubs",1980,NA,-72.97824,43.6064643,"Google Verified Location",NA,NA,NA,"1980-VT-0043"
"Millard Fillmore","","4 N. Winooski","Burlington","VT","(HIP),(YC),(G)","Bars/Clubs",1977,NA,-73.2110093,44.4806742,"Google Verified Location",NA,NA,NA,"1977-VT-0044"
"Nector's ","(Very M) (Upstairs) ","188 Main St.","Burlington","VT","(M)","Bars/Clubs",1979,NA,-73.2116919,44.4761844,"Google Verified Location",NA,NA,NA,"1979-VT-0045"
"Office Bar","","103 Church St.","Burlington","VT","(M),(RT)","Bars/Clubs",1977,NA,-73.2127958,44.4774979,"Google Verified Location",NA,NA,NA,"1977-VT-0046"
"Office Bar","","103 Church St.","Burlington","VT","(M),(RT)","Bars/Clubs",1978,NA,-73.2127958,44.4774979,"Google Verified Location",NA,NA,NA,"1978-VT-0047"
"Office Bar","","103 Church St.","Burlington","VT","(M),(R)","Bars/Clubs,Restaurant",1976,NA,-73.2127958,44.4774979,"Google Verified Location",NA,NA,NA,"1976-VT-0048"
