"title","description","streetaddress","city","state","amenityfeatures","type","Year","notes","full.address","lon","lat","geoAddress","status","unclear_address","ID"
"Stone Balloon",NA,"1 Queens Cross","Christiansted, St. Croix","VI","(M),(*)","Bars/Clubs",1980,NA,"1 Queens Cross, Christiansted, St. Croix, ",-64.7013379,17.7427351,"1 queen cross st, christiansted, st croix 00820, usvi","Google Verified Location",NA,"1980-VI-0001"
"Persian Virgin",NA,"14 King St.","Frederiksted, St. Croix","VI","(M)","Bars/Clubs",1980,NA,"14 King St., Frederiksted, St. Croix, ",-64.8824811,17.7113441,"king st, frederiksted, st croix 00840, usvi","Google Verified Location",NA,"1980-VI-0002"
"Stone Balloon",NA,"1 Queens Cross","Christiansted, St. Croix","VI","(M),(*)","Bars/Clubs",1979,NA,"1 Queens Cross, Christiansted, St. Croix, ",-64.7013379,17.7427351,"1 queen cross st, christiansted, st croix 00820, usvi","Google Verified Location",NA,"1979-VI-0003"
"Persian Virgin",NA,"14 King St.","Frederiksted, St. Croix","VI","(M)","Bars/Clubs",1979,NA,"14 King St., Frederiksted, St. Croix, ",-64.8824811,17.7113441,"king st, frederiksted, st croix 00840, usvi","Google Verified Location",NA,"1979-VI-0004"
"Stone Ballon",NA,"1 Queens Cross","Christiansted, St. Croix","VI","(M),(*)","Bars/Clubs",1978,NA,"1 Queens Cross, Christiansted, St. Croix, ",-64.7013379,17.7427351,"1 queen cross st, christiansted, st croix 00820, usvi","Google Verified Location",NA,"1978-VI-0005"
"Persian Virgin",NA,"14 King St.","Frederiksted, St. Croix","VI","(M)","Bars/Clubs",1978,NA,"14 King St., Frederiksted, St. Croix, ",-64.8824811,17.7113441,"king st, frederiksted, st croix 00840, usvi","Google Verified Location",NA,"1978-VI-0006"
"Stone Balloon",NA,"1 Queens Cross","Christiansted, St. Croix","VI","(M),(*)","Bars/Clubs",1977,NA,"1 Queens Cross, Christiansted, St. Croix, ",-64.7013379,17.7427351,"1 queen cross st, christiansted, st croix 00820, usvi","Google Verified Location",NA,"1977-VI-0007"
"Persian Virgin",NA,"14 King Street","Frederiksted, St. Croix","VI","(M)","Bars/Clubs",1977,NA,"14 King Street, Frederiksted, St. Croix, ",-64.8824811,17.7113441,"king st, frederiksted, st croix 00840, usvi","Google Verified Location",NA,"1977-VI-0008"
"Stone Balloon",NA,"1 Queens Cross","Christiansted, St. Croix","VI","(M),(*)","Bars/Clubs",1976,NA,"1 Queens Cross, Christiansted, St. Croix, ",-64.7013379,17.7427351,"1 queen cross st, christiansted, st croix 00820, usvi","Google Verified Location",NA,"1976-VI-0009"
"Persian Virgin",NA,"14 King St.","Frederiksted, St. Croix","VI","(M)","Bars/Clubs",1976,NA,"14 King St., Frederiksted, St. Croix, ",-64.8824811,17.7113441,"king st, frederiksted, st croix 00840, usvi","Google Verified Location",NA,"1976-VI-0010"
"Stone Balloon",NA,"1 Queens Cross ","Christiansted, St. Croix","VI","(M),(*)","Bars/Clubs",1975,NA,"1 Queens Cross , Christiansted, St. Croix, ",-64.7013379,17.7427351,"1 queen cross st, christiansted, st croix 00820, usvi","Google Verified Location",NA,"1975-VI-0011"
"Persian Virgin",NA,"14 King St.","Frederiksted, St. Croix","VI","(M)","Bars/Clubs",1975,NA,"14 King St., Frederiksted, St. Croix, ",-64.8824811,17.7113441,"king st, frederiksted, st croix 00840, usvi","Google Verified Location",NA,"1975-VI-0012"
