"title","description","streetaddress","city","state","amenityfeatures","type","Year","notes","lon","lat","status","unclear_address","full.address","geoAddress","ID"
"16th Street News","","16th & Market Sts.","Wheeling","WV","","Book Store",1978,NA,-80.721974,40.063936,"Verified Location",NA,NA,NA,"1978-WV-0001"
"16th Street News","","16th & Market Sts.","Wheeling","WV","","Book Store",1977,NA,-80.721974,40.063936,"Verified Location",NA,NA,NA,"1977-WV-0002"
"16th Street News","","16th & Market Sts.","Wheeling","WV","","Book Store",1979,NA,-80.721974,40.063936,"Verified Location",NA,NA,NA,"1979-WV-0003"
"16th Street News","","16th & Market Sts.","Wheeling","WV","","Book Store",1980,NA,-80.721974,40.063936,"Verified Location",NA,NA,NA,"1980-WV-0004"
"18th St.","","betw. Market & Chapline","Wheeling","WV","(RT),(AYOR),Cruisy Area","Cruising Areas",1979,NA,-80.721802,40.062778,"Verified Location",NA,NA,NA,"1979-WV-0005"
"18th St.","","betw. Market & Chapline","Wheeling","WV","Cruisy Area,(RT),(AYOR)","Cruising Areas",1980,NA,-80.721802,40.062778,"Verified Location",NA,NA,NA,"1980-WV-0006"
"Adam & Eve Adult Ent. Center","","806 Kanawha Blvd. E.","Charlestown","WV","","Business",1980,NA,-81.6366575,38.3485553,"Google Verified Location",NA,NA,NA,"1980-WV-0007"
"Adult World Twin Cinema","","1008 Quarrier St.","Charlestown","WV","(M)","Theatre",1980,NA,-81.632528,38.3480753,"Google Verified Location",NA,NA,NA,"1980-WV-0008"
"Adult World Twin Cinema","","1008 Quarrier St. ","Charlestown","WV","","Theatre",1979,NA,-81.632528,38.3480753,"Google Verified Location",NA,NA,NA,"1979-WV-0009"
"Arabian Hut","(Downstairs) (Grandview Pike)","Rte. 3","Beckley","WV","(P),(M)","Bars/Clubs",1980,NA,-81.1916706,37.7736511,"Google Verified Location",NA,NA,NA,"1980-WV-0010"
"Arabian Hut","(Downstairs)","Rte. 3","Beckley","WV","(P)","Bars/Clubs",1979,NA,-81.1916706,37.7736511,"Google Verified Location",NA,NA,NA,"1979-WV-0011"
"Bamboo Room","","714 Patrick St.","Charlestown","WV","(*)","Bars/Clubs",1968,NA,-77.8320216,39.3045596,"Google Verified Location",NA,NA,NA,"1968-WV-0012"
"Bamboo Room","","714 Patrick St.","Charlestown","WV","","Bars/Clubs",1969,NA,-77.8320216,39.3045596,"Google Verified Location",NA,NA,NA,"1969-WV-0013"
"Candle Lite Club","","35th & Kanawa","Charlestown","WV","","Bars/Clubs",1965,NA,-81.598459,38.334491,"Verified Location",NA,NA,NA,"1965-WV-0014"
"Candlelight Club","","35th & Kanawa","Charlestown","WV","","Bars/Clubs",1969,NA,-81.598459,38.334491,"Verified Location",NA,NA,NA,"1969-WV-0015"
"Candlelight Club","","35th & Kanawa","Charlestown","WV","","Bars/Clubs",1970,NA,-81.598459,38.334491,"Verified Location",NA,NA,NA,"1970-WV-0016"
"Candlelight Club","","35th & Kanawa","Charlestown","WV","","Bars/Clubs",1968,NA,-81.598459,38.334491,"Verified Location",NA,NA,NA,"1968-WV-0017"
"Candlelite Club","","35th & Kanawa","Charlestown","WV","","Bars/Clubs",1966,NA,-81.598459,38.334491,"Verified Location",NA,NA,NA,"1966-WV-0018"
"Chancellor Hotel Lounge","(was going well for a while, but management now seems to be discouraging clientelle)","7th & Market St.","Parkersburg","WV","(M)","Bars/Clubs,Hotel",1977,NA,-81.558258,39.266951,"Verified Location",NA,NA,NA,"1977-WV-0019"
"Chateau Club","(Out of state guests welcome - open 4 p.m. to 3:30 a.m.)","1121 7th Ave.","Huntington","WV","(P),(YC),(D),(*)","Bars/Clubs",1975,NA,-82.4382673,38.4171622,"Google Verified Location",NA,NA,NA,"1975-WV-0020"
"Chateau Club","","1121 7th Ave.","Huntington","WV","(*)","Bars/Clubs",1971,NA,-82.4382673,38.4171622,"Google Verified Location",NA,NA,NA,"1971-WV-0021"
"Chateau Club","(out of state guest welcome. Opens 4 pm)","1121 7th Ave.","Huntington","WV","(P),(YC),(D),(*)","Bars/Clubs",1976,NA,-82.4382673,38.4171622,"Google Verified Location",NA,NA,NA,"1976-WV-0022"
"Chateau Club","(Out of state guests welcome. Open 4 p.m. - 3:30 a.m.)","1121 7th Ave.","Huntington","WV","(YC),(D),(P),(*)","Bars/Clubs",1973,NA,-82.4382673,38.4171622,"Google Verified Location",NA,NA,NA,"1973-WV-0023"
"Chateau Club","(Out-of-state guests welcome-opens 4 p.m.)","1121 7th Ave.","Huntington","WV","(P),(YC),(D),(*)","Bars/Clubs",1977,NA,-82.4382673,38.4171622,"Google Verified Location",NA,NA,NA,"1977-WV-0024"
"Chateau Club","(out-of-state guests welcome - open 4 pm to 3:30 am)","1121 7th Ave.","Huntington","WV","(P),(YC),(D),(*)","Bars/Clubs",1974,NA,-82.4382673,38.4171622,"Google Verified Location",NA,NA,NA,"1974-WV-0025"
"Chateau Club","(out-of-state quests wlecome; open 4 pm - 3:30 am)","1121 7th Ave.","Huntington","WV","(D),(P),(*)","Bars/Clubs",1972,NA,-82.4382673,38.4171622,"Google Verified Location",NA,NA,NA,"1972-WV-0026"
"Dick's 400","","400 Juliana St. ","Parkersburg","WV","(M),(R),(C)","Restaurant",1978,NA,-81.5624153,39.2661413,"Google Verified Location",NA,NA,NA,"1978-WV-0027"
"Dick's 400","(7:30 a.m. - 12 midnight)","400 Juliana St.","Parkersburg","WV","(M),(C),(R),(YC),(*)","Restaurant",1977,NA,-81.5624153,39.2661413,"Google Verified Location",NA,NA,NA,"1977-WV-0028"
"Downstairs Club","(Disco) (Some G)","617 Brooks St.","Charlestown","WV","(*),(P),(D),(G),(S)","Bars/Clubs",1978,NA,-81.6256421,38.3500112,"Google Verified Location",NA,NA,NA,"1978-WV-0029"
"Downstairs Club","","617 Brooks St.","Charlestown","WV","(P),(YC),(D),(*)","Bars/Clubs",1974,NA,-81.6256421,38.3500112,"Google Verified Location",NA,NA,NA,"1974-WV-0030"
