"title","description","streetaddress","city","state","amenityfeatures","type","Year","notes","lon","lat","status","unclear_address","full.address","geoAddress","ID"
" Finlandia Health Spa","(closes 10 pm)","707 E. Knapp","Milwaukee","WI","(*)","Baths",1974,"",-87.9032533,43.0467591,"Google Verified Location",NA,NA,NA,"1974-WI-0001"
" Finlandia Health Spa","(closes 10 pm)","707 E. Knapp","Milwaukee","WI","(*)","Baths",1973,"",-87.9032533,43.0467591,"Google Verified Location",NA,NA,NA,"1973-WI-0002"
" Finlandia Health Spa","","707 E. Knapp","Milwaukee","WI","","Baths",1976,"",-87.9032533,43.0467591,"Google Verified Location",NA,NA,NA,"1976-WI-0003"
" Finlandia Health Spa","","707 E. Knapp","Milwaukee","WI","","Baths",1978,"",-87.9032533,43.0467591,"Google Verified Location",NA,NA,NA,"1978-WI-0004"
" Finlandia Health Spa","(closes 10 pm)","707 E. Knapp","Milwaukee","WI","(*)","Baths",1971,"",-87.9032533,43.0467591,"Google Verified Location",NA,NA,NA,"1971-WI-0005"
" Finlandia Health Spa","(closes 10 pm)","707 E. Knapp","Milwaukee","WI","(*)","Baths",1972,"",-87.9032533,43.0467591,"Google Verified Location",NA,NA,NA,"1972-WI-0006"
" Finlandia Health Spa","","707 E. Knapp","Milwaukee","WI","(*)","Baths",1975,"",-87.9032533,43.0467591,"Google Verified Location",NA,NA,NA,"1975-WI-0007"
" Finlandia Health Spa","(closes early except WE)","707 E. Knapp","Milwaukee","WI","","Baths",1977,"",-87.9032533,43.0467591,"Google Verified Location",NA,NA,NA,"1977-WI-0008"
"'Rest Stop'","on I-94-4 mi. W","","Kenosha","WI","Cruisy Area","Cruising Areas",1980,"",-87.821185,42.584743,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1980-WI-0009"
"'Rest Stop'","on US 41-S. of DePere","","Green Bay","WI","Cruisy Area","Cruising Areas",1979,"",-88.013296,44.513319,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1979-WI-0010"
"'Rest Stop'","on Wisc. 141-eastside nr. city limits","","Green Bay","WI","Cruisy Area","Cruising Areas",1980,"",-88.013296,44.513319,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1980-WI-0011"
"'Rest Stop'","on I- 41-So. of De Pere","","Green Bay","WI","Cruisy Area","Cruising Areas",1977,"",-88.013296,44.513319,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1977-WI-0012"
"'Rest Stop'","on Wisc. 141-eastside nr. city limits","","Green Bay","WI","Cruisy Area","Cruising Areas",1979,"",-88.013296,44.513319,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1979-WI-0013"
"'Rest Stop'","3 mi. S. on US 151","","Beaver Dam","WI","Cruisy Area,(AYOR)","Cruising Areas",1980,"",-88.837329,43.457769,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1980-WI-0014"
"'Rest Stop'","on US hwy. 41, betw Appleton & Green Bay","","Appleton","WI","Cruisy Area","Cruising Areas",1980,"",-88.415385,44.261931,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1980-WI-0015"
"'Rest Stop'","on US 41-So. of DePere","","Green Bay","WI","Cruisy Area","Cruising Areas",1978,"",-88.013296,44.513319,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1978-WI-0016"
"'Rest Stop'","on US hwy. 41, betw Appleton & Green Bay","","Appleton","WI","Cruisy Area","Cruising Areas",1979,"",-88.415385,44.261931,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1979-WI-0017"
"'Rest Stop'","on Wisc. 141-eastside nr. city limits","","Green Bay","WI","Cruisy Area","Cruising Areas",1978,"",-88.013296,44.513319,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1978-WI-0018"
"'Rest Stop'","on US 41-S. of DePere","","Green Bay","WI","Cruisy Area","Cruising Areas",1980,"",-88.013296,44.513319,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1980-WI-0019"
"Advent","(Some G) (also C-AH-looks promising)","500 S. 5th Virginia","Milwaukee","WI","(D),(G),(B),(PT),(C),(AH)","Bars/Clubs",1977,"",-87.9167021,43.026061,"Google Verified Location",NA,NA,NA,"1977-WI-0020"
"Advent","(Some G, B) (C-AH)","500 S. 5th Virginia","Milwaukee","WI","(D),(G),(B),(PT),(C),(AH)","Bars/Clubs",1978,"",-87.9167021,43.026061,"Google Verified Location",NA,NA,NA,"1978-WI-0021"
"Alex's","(downstairs by Greyhound bus depot) ","644 N. 7th St.","Milwaukee","WI","(M)","Bars/Clubs",1970,"",-87.9202565,43.0434792,"Google Verified Location",NA,NA,NA,"1970-WI-0022"
"Amtrak Turboliners","betw. Chicago & Milwaukee","","Milwaukee","WI","(WE),Cruisy Area","Cruising Areas",1979,"",-87.906474,43.038903,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1979-WI-0023"
"Amtrak Turboliners","betw. Chicago & Milwaukee","","Milwaukee","WI","(WE),Cruisy Area","Cruising Areas",1980,"",-87.906474,43.038903,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1980-WI-0024"
"Antler's Hotel","","616 N. 2nd St.","Milwaukee","WI","(H)","Hotel",1966,"",-87.9130623,43.0381823,"Google Verified Location",NA,NA,NA,"1966-WI-0025"
"Antler's Hotel","","616 N. 2nd St.","Milwaukee","WI","(H)","Hotel",1969,"",-87.9130623,43.0381823,"Google Verified Location",NA,NA,NA,"1969-WI-0026"
"Antler's Hotel","","616 N. 2nd St.","Milwaukee","WI","(H)","Hotel",1968,"",-87.9130623,43.0381823,"Google Verified Location",NA,NA,NA,"1968-WI-0027"
"Antler's Hotel","","616 N. 2nd St.","Milwaukee","WI","(H)","Hotel",1965,"",-87.9130623,43.0381823,"Google Verified Location",NA,NA,NA,"1965-WI-0028"
"Antlers","(Top floor)","616 N. 2nd St.","Milwaukee","WI","(M),(RT),(H)","Hotel",1979,"",-87.9130623,43.0381823,"Google Verified Location",NA,NA,NA,"1979-WI-0029"
"Antlers Hotel","(For years there have been rumors of the Antler's demise, but it is still there. Action is on the top floor)","616 N. 2nd St.","Milwaukee","WI","(M),(RT),(H)","Hotel",1975,"",-87.9130623,43.0381823,"Google Verified Location",NA,NA,NA,"1975-WI-0030"
"Antlers Hotel","(top floors)","616 N. 2nd St.","Milwaukee","WI","(RT),(H)","Hotel",1974,"",-87.9130623,43.0381823,"Google Verified Location",NA,NA,NA,"1974-WI-0031"
"Antlers Hotel","( Such ""action"" left is on the top floor)","616 N. 2nd St.","Milwaukee","WI","(M),(RT),(H)","Hotel",1977,"",-87.9130623,43.0381823,"Google Verified Location",NA,NA,NA,"1977-WI-0032"
"Antlers Hotel","(Top floor)","616 N. 2nd St.","Milwaukee","WI","(M),(RT),(H)","Hotel",1978,"",-87.9130623,43.0381823,"Google Verified Location",NA,NA,NA,"1978-WI-0033"
"Antlers Hotel","","616 N. 2nd St.","Milwaukee","WI","(H),(*)","Hotel",1970,"",-87.9130623,43.0381823,"Google Verified Location",NA,NA,NA,"1970-WI-0034"
"Antlers Hotel","","616 N. 2nd St.","Milwaukee","WI","(H),(*)","Hotel",1971,"",-87.9130623,43.0381823,"Google Verified Location",NA,NA,NA,"1971-WI-0035"
"Antlers Hotel","(top floors)","616 N. 2nd St.","Milwaukee","WI","(H)","Hotel",1972,"",-87.9130623,43.0381823,"Google Verified Location",NA,NA,NA,"1972-WI-0036"
"Antlers Hotel","( Such ""action"" left is on the top floor)","616 N. 2nd St.","Milwaukee","WI","(M),(RT),(H)","Hotel",1976,"",-87.9130623,43.0381823,"Google Verified Location",NA,NA,NA,"1976-WI-0037"
"Aphrodesia Lounge","Retlaw Hotel","Main & Division","Fond Du Lac","WI","(M)","Bars/Clubs,Hotel",1973,"",-88.446982,43.778887,"Verified Location",NA,NA,NA,"1973-WI-0038"
"Aphrodesia Lounge","Retlaw Hotel","Main & Division","Fond Du Lac","WI","(M)","Bars/Clubs,Hotel",1974,"",-88.446982,43.778887,"Verified Location",NA,NA,NA,"1974-WI-0039"
"Aphrodesia Lounge","Retlaw Hotel","Main & Division","Fond Du Lac","WI","(M)","Bars/Clubs,Hotel",1975,"",-88.446982,43.778887,"Verified Location",NA,NA,NA,"1975-WI-0040"
"Aphrodesia Lounge","Retlaw Hotel","Main & Division","Fond Du Lac","WI","(M)","Bars/Clubs,Hotel",1976,"",-88.446982,43.778887,"Verified Location",NA,NA,NA,"1976-WI-0041"
"Astor Hotel Bar","","211 N Adams","Green Bay","WI","(M)","Bars/Clubs,Hotel",1965,"",-88.0141113,44.5154102,"Google Verified Location",NA,NA,NA,"1965-WI-0042"
"Astor St.","betw. Juneau & Kilbourne","","Milwaukee","WI","Cruisy Area","Cruising Areas",1979,"",-87.89961,43.044456,"Verified Location",NA,NA,NA,"1979-WI-0043"
"Astor St.","betw. Juneau & Kilbourne","","Milwaukee","WI","Cruisy Area","Cruising Areas",1978,"",-87.89961,43.044456,"Verified Location",NA,NA,NA,"1978-WI-0044"
"Astor St.","betw. Juneau & Kilbourne","","Milwaukee","WI","Cruisy Area","Cruising Areas",1980,"",-87.89961,43.044456,"Verified Location",NA,NA,NA,"1980-WI-0045"
"Astor St.","betw. Juneau & Kilbourne","","Milwaukee","WI","Cruisy Area","Cruising Areas",1976,"",-87.89961,43.044456,"Verified Location",NA,NA,NA,"1976-WI-0046"
"Astor Street","between Juneau & Kilbourne","","Milwaukee","WI","Cruisy Area","Cruising Areas",1977,"",-87.89961,43.044456,"Verified Location",NA,NA,NA,"1977-WI-0047"
"Astor Street","between Juneau & Kilbourne","","Milwaukee","WI","Cruisy Area","Cruising Areas",1975,"",-87.89961,43.044456,"Verified Location",NA,NA,NA,"1975-WI-0048"
"Back Door","(SomeG) (Tough to locate, but worth it-use rear door)","46 N. Park at Spring","Madison","WI","(*),(YC),(D),(G)","Bars/Clubs",1979,"",-89.401059,43.067668,"Verified Location",NA,NA,NA,"1979-WI-0049"
"Back Door","(no sign-just 4 blinking lights-use rear entrance )","46 N. Park at Regent","Madison","WI","(*),(YC),(D)","Bars/Clubs",1974,"",-89.401059,43.067668,"Verified Location",NA,NA,NA,"1974-WI-0050"
"Back Door","(Some G) (no sign-just four blinking lights-use rear entrance to one of the friendliest bars anywhere)","46 N. Park at Regent","Madison","WI","(*),(YC),(D),(G)","Bars/Clubs",1976,"",-89.401059,43.067668,"Verified Location",NA,NA,NA,"1976-WI-0051"
"Back Door","(no sign-just four blinking lights-use rear entrance )","46 N. Park at Regent","Madison","WI","(*),(YC),(D)","Bars/Clubs",1975,"",-89.401059,43.067668,"Verified Location",NA,NA,NA,"1975-WI-0052"
"Back Door","(Some G) (Snacks) (Tough to locate, but worth it-use rear door)","46 N. Park at Regent","Madison","WI","(*),(YC),(D),(G)","Bars/Clubs",1977,"",-89.401059,43.067668,"Verified Location",NA,NA,NA,"1977-WI-0053"
"Back Door","(SomeG) (Tough to locate, but worth it-use rear door)","46 N. Park at Regent","Madison","WI","(*),(YC),(D),(G)","Bars/Clubs",1978,"",-89.401059,43.067668,"Verified Location",NA,NA,NA,"1978-WI-0054"
"Ball Game","","196 S. 2nd St.","Milwaukee","WI","(D),(*)","Bars/Clubs",1979,"",-87.9122563,43.0295497,"Google Verified Location",NA,NA,NA,"1979-WI-0055"
"Ball Game","","196 S. 2nd St.","Milwaukee","WI","(D),(*)","Bars/Clubs",1978,"",-87.9122563,43.0295497,"Google Verified Location",NA,NA,NA,"1978-WI-0056"
"Ball Game","","196 S. 2nd St.","Milwaukee","WI","(D),(*)","Bars/Clubs",1975,"",-87.9122563,43.0295497,"Google Verified Location",NA,NA,NA,"1975-WI-0057"
"Ball Game","","196 S. 2nd St.","Milwaukee","WI","(D),(*)","Bars/Clubs",1976,"",-87.9122563,43.0295497,"Google Verified Location",NA,NA,NA,"1976-WI-0058"
"Ball Game","","196 S. 2nd St.","Milwaukee","WI","(D),(*)","Bars/Clubs",1980,"",-87.9122563,43.0295497,"Google Verified Location",NA,NA,NA,"1980-WI-0059"
"Ball Game","","196 S. 2nd St.","Milwaukee","WI","(D),(*)","Bars/Clubs",1977,"",-87.9122563,43.0295497,"Google Verified Location",NA,NA,NA,"1977-WI-0060"
"Barber's Closet","(Below Hot L Cafe)","636 W. Washington","Madison","WI","(M),(E)","Bars/Clubs",1979,"",-89.3936828,43.0684457,"Google Verified Location",NA,NA,NA,"1979-WI-0061"
"Barber's Closet","(Below Palms Cafe)","636 W. Washington","Madison","WI","(M),(E)","Bars/Clubs",1980,"",-89.3936828,43.0684457,"Google Verified Location",NA,NA,NA,"1980-WI-0062"
"Barber's Closet","( Looks promising-basement below Hot L Cafe)","636 W. Washington","Madison","WI","(M),(D)","Bars/Clubs",1978,"",-89.3936828,43.0684457,"Google Verified Location",NA,NA,NA,"1978-WI-0063"
"Baron","(Disco) (Shows promise)","625 E. St Paul","Milwaukee","WI","(D),(YC),(R)","Restaurant,Bars/Clubs",1979,"",-87.9027157,43.0351306,"Google Verified Location",NA,NA,NA,"1979-WI-0064"
"Baron","(Disco)","625 E. St Paul","Milwaukee","WI","(D),(YC),(R),(M),(*)","Restaurant",1980,"",-87.9027157,43.0351306,"Google Verified Location",NA,NA,NA,"1980-WI-0065"
"Beck's Books","(Some SM)","753 N. Plankinton","Milwaukee","WI","(SM)","Book Store",1979,"the sm is throwing me off",-87.912392,43.0397223,"Google Verified Location",NA,NA,NA,"1979-WI-0066"
"Beck's Books","(Some SM)","753 N. Plankinton","Milwaukee","WI","(SM)","Book Store",1980,"the sm is throwing me off",-87.912392,43.0397223,"Google Verified Location",NA,NA,NA,"1980-WI-0067"
"Beck's Books","","753 N. Plankinton","Milwaukee","WI","(SM)","Book Store",1978,"the sm is throwing me off",-87.912392,43.0397223,"Google Verified Location",NA,NA,NA,"1978-WI-0068"
"Beer Garden","(Many G)","3743 W. Vliet","Milwaukee","WI","(D),(G),(*)","Bars/Clubs",1977,"",-87.960924,43.048481,"Google Verified Location",NA,NA,NA,"1977-WI-0069"
"Beer Garden","(Many G)","3743 W. Vliet","Milwaukee","WI","(D),(G),(*)","Bars/Clubs",1978,"",-87.960924,43.048481,"Google Verified Location",NA,NA,NA,"1978-WI-0070"
"Beer Garden","","3743 W. Vliet","Milwaukee","WI","(D)","Bars/Clubs",1974,"",-87.960924,43.048481,"Google Verified Location",NA,NA,NA,"1974-WI-0071"
"Beer Garden","(some G)","3743 W. Vliet","Milwaukee","WI","(M),(D),(G)","Bars/Clubs",1976,"",-87.960924,43.048481,"Google Verified Location",NA,NA,NA,"1976-WI-0072"
"Beer Garden","(Sun. Brunch)","3743 W. Vliet","Milwaukee","WI","(D),(G)","Restaurant",1979,"",-87.960924,43.048481,"Google Verified Location",NA,NA,NA,"1979-WI-0073"
"Beer Garden","","3743 W. Vliet","Milwaukee","WI","(D),(G)","Bars/Clubs",1975,"",-87.960924,43.048481,"Google Verified Location",NA,NA,NA,"1975-WI-0074"
"Beer Garden","","3743 W. Vliet","Milwaukee","WI","","Bars/Clubs",1973,"",-87.960924,43.048481,"Google Verified Location",NA,NA,NA,"1973-WI-0075"
"Beer Garden","(Sun. Brunch)","3743 W. Vliet","Milwaukee","WI","(L),(D),(R)","Restaurant",1980,"",-87.960924,43.048481,"Google Verified Location",NA,NA,NA,"1980-WI-0076"
"Belmont Hotel ","","751 N. 4th St.","Milwaukee","WI","(M),(C)","Business,Hotel",1969,"",-87.9160052,43.0397957,"Google Verified Location",NA,NA,NA,"1969-WI-0077"
"Belmont Hotel Bar","","31 N Pickney","Madison","WI","","Bars/Clubs,Hotel",1965,"",-89.3837047,43.07637,"Google Verified Location",NA,NA,NA,"1965-WI-0078"
"Belmont Hotel Bar","","31 N Pickney","Madison","WI","","Bars/Clubs,Hotel",1966,"",-89.3837047,43.07637,"Google Verified Location",NA,NA,NA,"1966-WI-0079"
"Belmont Hotel Coffee Shop","","751 N. 4th St.","Milwaukee","WI","(C)","Business,Hotel",1968,"",-87.9160052,43.0397957,"Google Verified Location",NA,NA,NA,"1968-WI-0080"
