"title","description","streetaddress","city","state","amenityfeatures","type","Year","notes","lon","lat","status","unclear_address","full.address","geoAddress","ID"
"Airport","","","Cheyenne","WY","Cruisy Area","Cruising Areas",1977,"",-104.81098,41.153163,"Verified Location",NA,NA,NA,"1977-WY-0001"
"Airport","","","Cheyenne","WY","Cruisy Area","Cruising Areas",1980,"",-104.81098,41.153163,"Verified Location",NA,NA,NA,"1980-WY-0002"
"Airport","","","Cheyenne","WY","Cruisy Area","Cruising Areas",1978,"",-104.81098,41.153163,"Verified Location",NA,NA,NA,"1978-WY-0003"
"Airport","","","Cheyenne","WY","Cruisy Area","Cruising Areas",1979,"",-104.81098,41.153163,"Verified Location",NA,NA,NA,"1979-WY-0004"
"Al's","","E. 16th","Cheyenne","WY","(M)","Bars/Clubs",1972,"",-104.800342,41.137341,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1972-WY-0005"
"Al's","","E. 16th","Cheyenne","WY","(M)","Bars/Clubs",1971,"",-104.800342,41.137341,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1971-WY-0006"
"Albany Hotel Bar","","15th & Capital","Cheyenne","WY","(M),(RT)","Bars/Clubs,Hotel",1971,"",-104.814734,41.131862,"Verified Location",NA,NA,NA,"1971-WY-0007"
"Albany Hotel Bar","","15th & Capital","Cheyenne","WY","(M),(RT)","Bars/Clubs,Hotel",1972,"",-104.814734,41.131862,"Verified Location",NA,NA,NA,"1972-WY-0008"
"Albany Hotel Bar","","15th & Capital","Cheyenne","WY","(M),(RT)","Bars/Clubs,Hotel",1970,"",-104.814734,41.131862,"Verified Location",NA,NA,NA,"1970-WY-0009"
"Area Around Holiday Inn","","300 W. F Street","Casper","WY","Cruisy Area","Hotel,Cruising Areas",1977,"",-106.328904,42.858143,"Verified Location",NA,NA,NA,"1977-WY-0010"
"Buckhorn","('Best bet')","114 Ivinson","Laramie","WY","(M),(W),(YC)","Bars/Clubs",1979,NA,-105.5953206,41.3119437,"Google Verified Location",NA,NA,NA,"1979-WY-0011"
"Buckhorn","('Best bet')","114 Ivinson","Laramie","WY","(M),(W)","Bars/Clubs",1980,NA,-105.5953206,41.3119437,"Google Verified Location",NA,NA,NA,"1980-WY-0012"
"Buckhorn","('Best bet')","114 Ivinson","Laramie","WY","(M),(W),(YC)","Bars/Clubs",1978,NA,-105.5953206,41.3119437,"Google Verified Location",NA,NA,NA,"1978-WY-0013"
"Conwell Park","(Summers)","","Casper","WY","Cruisy Area","Cruising Areas",1979,"",-106.308105,42.849432,"Verified Location",NA,NA,NA,"1979-WY-0014"
"Conwell Park","(Summers)","","Casper","WY","Cruisy Area","Cruising Areas",1980,"",-106.308105,42.849432,"Verified Location",NA,NA,NA,"1980-WY-0015"
"Conwell Park","(Summers)","","Casper","WY","Cruisy Area","Cruising Areas",1978,"",-106.308105,42.849432,"Verified Location",NA,NA,NA,"1978-WY-0016"
"Cowboy Bar","On the square. Best at bar near front door","","Jackson","WY","(M),(W),(YC),(R),(PT),(*)","Bars/Clubs,Restaurant",1978,"coordinates for Jackson Sq",-110.761779,43.479956,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1978-WY-0017"
"Cowboy Bar","(Very M) (Try front bar area) On the Square","","Jackson","WY","(M),(W),(YC),(PT)","Bars/Clubs",1979,"coordinates for Jackson Sq",-110.761779,43.479956,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1979-WY-0018"
"Cowboy Bar","(Very M) (Try front bar area) On the Square","","Jackson","WY","(M),(W),(YC),(PT)","Bars/Clubs",1980,"coordinates for Jackson Sq",-110.761779,43.479956,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1980-WY-0019"
"Dotsie's","Inquire locally","","Rock Springs","WY","(M),(C),(AH)","Bars/Clubs",1978,"",-109.202904,41.587464,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1978-WY-0020"
"Dotsie's","Inquire locally","","Rock Springs","WY","(M),(C),(AH)","Bars/Clubs",1977,NA,-109.2029043,41.5874644,"Google Verified Location",NA,NA,NA,"1977-WY-0021"
"Dr. Finfrock's Table","","209 S. 3rd.","Laramie","WY","(M),(R),(OC)","Restaurant",1978,NA,-105.5932623,41.3114849,"Google Verified Location",NA,NA,NA,"1978-WY-0022"
"Dr. Finfrock's Table","","209 S. 3rd.","Laramie","WY","(M),(R),(OC)","Restaurant",1979,NA,-105.5932623,41.3114849,"Google Verified Location",NA,NA,NA,"1979-WY-0023"
"Everybody's","Inquire locally","","Laramie","WY","(P),(M),(AH)","Bars/Clubs",1978,"",-105.591101,41.311367,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1978-WY-0024"
"Green Door","(entrance behind Al's Liquors)","301 E. 16th","Cheyenne","WY","(M)","Bars/Clubs",1973,NA,-104.8115169,41.1339185,"Google Verified Location",NA,NA,NA,"1973-WY-0025"
"Green Door","(entrance behind Al's Liquors)","301 E. 16th","Cheyenne","WY","(M)","Bars/Clubs",1974,NA,-104.8115169,41.1339185,"Google Verified Location",NA,NA,NA,"1974-WY-0026"
"Green Door","(entrance behind Al's Liquors)","301 E. 16th","Cheyenne","WY","(M)","Bars/Clubs",1975,NA,-104.8115169,41.1339185,"Google Verified Location",NA,NA,NA,"1975-WY-0027"
"Hitching Post Inn","(Bar only) (Best bet*) ","1600 W. Lincoln Way","Cheyenne","WY","(M),(*),(E)","Bars/Clubs",1980,NA,-104.8327957,41.1266238,"Google Verified Location",NA,NA,NA,"1980-WY-0028"
"Hitching Post Inn","(Bar only) (Best bet*) ","1600 W. Lincoln Way","Cheyenne","WY","(M),(*),(E)","Bars/Clubs",1979,NA,-104.8327957,41.1266238,"Google Verified Location",NA,NA,NA,"1979-WY-0029"
"Hitching Post Motel Lounge","(Bar only)","1800 W. Lincoln Way","Cheyenne","WY","(M)","Bars/Clubs",1977,NA,-104.8342849,41.1259067,"Google Verified Location",NA,NA,NA,"1977-WY-0030"
"Hitching Post Motel Lounge","(Bar only)","1800 W. Lincoln Way","Cheyenne","WY","(M)","Bars/Clubs",1976,NA,-104.8342849,41.1259067,"Google Verified Location",NA,NA,NA,"1976-WY-0031"
"Holding's Little America Lodge","(Jct. of I-25 & I-80)","2200 W. Lincoln Way","Cheyenne","WY","(M)","Bars/Clubs",1979,NA,-104.7909753,41.1387768,"Google Verified Location",NA,NA,NA,"1979-WY-0032"
"Holdings' Little America Lodge","(Jct. of I-25 & I-80)","2200 W. Lincoln Way","Cheyenne","WY","(M)","Bars/Clubs",1980,NA,-104.7909753,41.1387768,"Google Verified Location",NA,NA,NA,"1980-WY-0033"
"Holiday Inn Bar","","300 W. F Street","Casper","WY","(M)","Bars/Clubs,Hotel",1977,NA,-106.3289038,42.8581433,"Google Verified Location",NA,NA,NA,"1977-WY-0034"
"Holiday Inn Bar","","300 W. F St.","Casper","WY","(M)","Hotel,Bars/Clubs",1978,NA,-106.3289038,42.8581433,"Google Verified Location",NA,NA,NA,"1978-WY-0035"
"Holiday Inn Bar","","300 W. F St.","Casper","WY","(M)","Hotel,Bars/Clubs",1980,NA,-106.3289038,42.8581433,"Google Verified Location",NA,NA,NA,"1980-WY-0036"
"Holiday Inn Bar","","300 W. F St.","Casper","WY","(M)","Hotel,Bars/Clubs",1979,NA,-106.3289038,42.8581433,"Google Verified Location",NA,NA,NA,"1979-WY-0037"
"Holiday Park","","","Cheyenne","WY","Cruisy Area","Cruising Areas",1977,"",-104.799258,41.138812,"Verified Location",NA,NA,NA,"1977-WY-0038"
"Holiday Park","","","Cheyenne","WY","Cruisy Area","Cruising Areas",1976,"",-104.799258,41.138812,"Verified Location",NA,NA,NA,"1976-WY-0039"
"Holiday Park","","","Cheyenne","WY","Cruisy Area","Cruising Areas",1978,"",-104.799258,41.138812,"Verified Location",NA,NA,NA,"1978-WY-0040"
"Holiday Park","","","Cheyenne","WY","Cruisy Area","Cruising Areas",1979,"",-104.799258,41.138812,"Verified Location",NA,NA,NA,"1979-WY-0041"
"Holiday Park","","","Cheyenne","WY","Cruisy Area","Cruising Areas",1980,"",-104.799258,41.138812,"Verified Location",NA,NA,NA,"1980-WY-0042"
