"ID","title","description","streetaddress","city","state","amenityfeatures","type","Year","unclear.type","notes","dateadded","lastmodified","full.address","lon","lat","geoAddress","status"
205,"Stockman's","","2811 Montana ","Billings","MT","(M) - Mixed Crowds","Bars/Clubs",1965,NA,NA,NA,NA,"2811 Montana , Billings, MT","-108.5055588","45.7811546","2811 montana ave, billings, mt 59101, usa","Geocoded"
207,"Park Hotel Bar","","100 Central","Great Falls","MT","(M) - Mixed Crowds","Hotels,Bars/Clubs",1965,NA,NA,NA,NA,"100 Central, Great Falls, MT","-111.3056364","47.5049743","100 central ave, great falls, mt 59401, usa","Geocoded"
206,"Ranch House","","32 E. Broadway","Butte","MT","(M) - Mixed Crowds","Bars/Clubs",1965,NA,NA,NA,NA,"32 E. Broadway, Butte, MT","-112.5345917","46.0135764","32 e broadway st, butte, mt 59701, usa","Geocoded"
209,"Ocean Bar","","71 E. Park Plaza","Butte","MT","","Bars/Clubs",1966,NA,NA,NA,NA,"71 E. Park Plaza, Butte, MT","-112.5340398","46.0132278","71 e park st, butte, mt 59701, usa","Geocoded"
210,"Park Hotel Bar","","100 Central","Great Falls","MT","(M) - Mixed Crowds","Bars/Clubs,Hotels",1966,NA,NA,NA,NA,"100 Central, Great Falls, MT","-111.3056364","47.5049743","100 central ave, great falls, mt 59401, usa","Geocoded"
212,"Ye Old Mint Bar","","1613 Montana Ave","Billings","MT","(M) - Mixed Crowds","Bars/Clubs",1968,NA,NA,NA,NA,"1613 Montana Ave, Billings, MT","-108.4905963","45.7884734","1613 montana ave, billings, mt 59101, usa","Geocoded"
213,"Ocean Bar","","71 E. Park Plaza","Butte","MT","(M) - Mixed Crowds","Bars/Clubs",1968,NA,NA,NA,NA,"71 E. Park Plaza, Butte, MT","-112.5340398","46.0132278","71 e park st, butte, mt 59701, usa","Geocoded"
211,"Midway Nite Club","","209 N. 14th","Billings","MT","(M) - Mixed Crowds","Bars/Clubs",1968,NA,NA,NA,NA,"209 N. 14th, Billings, MT","-108.4894808","45.7918716","209 n 14th st, billings, mt 59101, usa","Geocoded"
215,"Park Hotel Bar","","100 Central Ave","Great Falls","MT","(M) - Mixed Crowds","Hotels,Bars/Clubs",1968,NA,NA,NA,NA,"100 Central Ave, Great Falls, MT","-111.3056364","47.5049743","100 central ave, great falls, mt 59401, usa","Geocoded"
214,"Harvey's Steam Baths","","203 Central Ave","Great Falls","MT","","Baths",1968,NA,NA,NA,NA,"203 Central Ave, Great Falls, MT","-111.3040749","47.5055328","203 central ave, great falls, mt 59401, usa","Geocoded"
220,"Park Hotel Bar","","100 Central","Great Falls","MT","(M) - Mixed Crowds","Hotels,Bars/Clubs",1969,NA,NA,NA,NA,"100 Central, Great Falls, MT","-111.3056364","47.5049743","100 central ave, great falls, mt 59401, usa","Geocoded"
217,"Ye Old Mint Bar","","2613 Montana Ave","Billings","MT","(M) - Mixed Crowds","Bars/Clubs",1969,NA,NA,NA,NA,"2613 Montana Ave, Billings, MT","-108.5026212","45.7823426","2613 montana ave, billings, mt 59101, usa","Geocoded"
216,"Midway Nite Club","","209 N. 14th","Billings","MT","(M) - Mixed Crowds","Bars/Clubs",1969,NA,NA,NA,NA,"209 N. 14th, Billings, MT","-108.4894808","45.7918716","209 n 14th st, billings, mt 59101, usa","Geocoded"
