"","ID","title","description","streetaddress","city","state","amenityfeatures","type","Year","notes","lon","lat","status"
"1","81","Alpine Room","(also called 'Golden Greeks')","835 King St.","Wilmington","DE","(*)","Bars/Clubs",1965,NA,-75.5481196,39.7439006,"Google Verified Location"
"2","82","Alpine Room","(also called 'Golden Greeks')","835 King St.","Wilmington","DE","(*)","Bars/Clubs",1966,NA,-75.5481196,39.7439006,"Google Verified Location"
"3","83","Alpine Room","(also called 'Golden Greeks')","835 King St.","Wilmington","DE","(*)","Bars/Clubs",1968,NA,-75.5481196,39.7439006,"Google Verified Location"
"4","85","Alpine Room","(also called 'Golden Greeks')","835 King St.","Wilmington","DE","(*)","Bars/Clubs",1969,NA,-75.5481196,39.7439006,"Google Verified Location"
"5","79","Alpine Room","(also called 'Golden Greeks')","835 King St.","Wilmington","DE","(*)","Bars/Clubs",1970,NA,-75.5481196,39.7439006,"Google Verified Location"
"6","77","Alpine Room","(also called 'Golden Greeks')","835 King St.","Wilmington","DE","(*)","Bars/Clubs",1971,NA,-75.5481196,39.7439006,"Google Verified Location"
"7","75","Alpine Room","(also called 'Golden Greeks')","835 King St.","Wilmington","DE","(*)","Bars/Clubs",1972,NA,-75.5481196,39.7439006,"Google Verified Location"
"8","72","Alpine Room","(also called 'Golden Greeks')","835 King St.","Wilmington","DE","(*)","Bars/Clubs",1973,NA,-75.5481196,39.7439006,"Google Verified Location"
"9","64","Alpine Room","(The 'Golden Greeks' has set the pace in Wilmington for years)","835 King St.","Wilmington","DE","(*)","Bars/Clubs",1974,NA,-75.5481196,39.7439006,"Google Verified Location"
"10","55","Alpine Room","(The 'Golden Greeks' has set the pace in Wilmington for years)","835 King St.","Wilmington","DE","(*)","Bars/Clubs",1975,NA,-75.5481196,39.7439006,"Google Verified Location"
"11","45","Alpine Room","(The Golden Greeks - long time favorite)","835 King St.","Wilmington","DE","(*)","Bars/Clubs",1976,NA,-75.5481196,39.7439006,"Google Verified Location"
"12","23","Alpine Room","(Cruisy) ('The Golden Greeks')","835 King St.","Wilmington","DE","(*)","Crusing Areas",1978,NA,-75.5481196,39.7439006,"Google Verified Location"
"13","13","Alpine Room","(Cruisy) ('The Golden Greek's')","835 King St.","Wilmington","DE","(*)","Crusing Areas,Bars/Clubs",1979,NA,-75.5481196,39.7439006,"Google Verified Location"
