ID,title,status,description,streetaddress,Lat/lon,city,Year,state,amenityfeatures,type,unclearaddress,unclear type,notes,dateadded,lastmodified
1,Other Side,Found,,Washington & San Diego,"34.021122,-118.396466",Culver City,1965,CA,,Bars/Clubs,checked,,,2/25/2020 10:49am,2/28/2020 1:12pm
7,St. Michael's Alley,General City Coordinates Used,,University Av,"37.441883,-122.143019 ",Palo Alto,1965,CA,,Bars/Clubs,checked,,,2/25/2020 10:49am,2/28/2020 1:12pm
3,Pine Ridge Lodge,General City Coordinates Used,(D-H),12 mi S of Ft Bragg Calif,"39.307674,-123.799459",Mendocino,1965,CA,"(D) - Dancing_,""(H) - Hotel - motel, lodgings or other over night accommodations_""",Hotels,checked,,,2/25/2020 10:49am,2/28/2020 1:12pm
2,Reef,Found,,Pacific Coast Hwy & Chanel Rd,"34.028317,-118.519426",Santa Monica,1965,CA,,Bars/Clubs,checked,,,2/25/2020 10:49am,2/28/2020 1:12pm
14,Red Derby,General City Coordinates Used,Inquire Locally,,"38.440429,-122.714055",Santa Rosa,1965,CA,"""(M) - Mixed, and/or tourists_""",Bars/Clubs,checked,,,2/25/2020 10:49am,2/28/2020 1:12pm
9,Dante's ,General City Coordinates Used,,,"33.780539,-116.466804 ",Cathedral City,1965,CA,,Bars/Clubs,checked,,No address listed,2/25/2020 10:49am,2/28/2020 1:12pm
8,Vieux Carre,General City Coordinates Used,,Guerneville,"38.501858,-122.99611",Russian River,1965,CA,,Bars/Clubs,checked,,,2/25/2020 10:49am,2/28/2020 1:12pm
5,Dante's,General City Coordinates Used,,Cathedral City," 33.780539,-116.466804",Palm Springs,1965,CA,,Bars/Clubs,checked,,,2/25/2020 10:49am,2/28/2020 1:12pm
13,Rendezvous,Found,(see Club Rendezvous),567 Sutter St,"37.788919,-122.409587",San Francisco,1965,CA,(*) - Very popular_,Bars/Clubs,checked,,,2/25/2020 10:49am,2/28/2020 1:12pm
4,Club Seven,Found,,14th St & 2nd Av,"37.797953,-122.256325",Oakland,1965,CA,,Bars/Clubs,checked,,,2/25/2020 10:49am,2/28/2020 1:12pm
10,Do-Nut Wagon,Found,(Caboose),Turk nr Jones,"37.783065,-122.412763",San Francisco,1965,CA,"""(C) - Coffee - sometimes food too, usually open late when bars close_""",Bars/Clubs,checked,,,2/25/2020 10:49am,2/28/2020 1:12pm
11,Oak Room,Found,St. Francis Hotel, Powell & Geary Sts," 37.787378,-122.408239",San Francisco,1965,CA,(PE) - Pretty elegant - usually jacket and tie required_,Hotels,checked,,,2/25/2020 10:49am,2/28/2020 1:12pm
6,Rancho Dandy,General City Coordinates Used,,Hwy 111 Rancho Mirage,"33.740394,-116.411649",Palm Springs,1965,CA,,Bars/Clubs,checked,,,2/25/2020 10:49am,2/28/2020 1:12pm
15,Union Point Resort Bar,General City Coordinates Used,(weekends primarily),12 mi W on Borden Hwy,"37.957702,-121.29078",Stockton,1965,CA,,Bars/Clubs,checked,,,2/25/2020 10:49am,2/28/2020 1:12pm
12,Pearle's,Found,(rear Gilded Cage enter off O'Farrell St via Alley,," 37.786232,-122.409721",San Francisco,1965,CA,"""(C) - Coffee - sometimes food too, usually open late when bars close_""",Bars/Clubs,checked,,,2/25/2020 10:49am,2/28/2020 1:12pm
16,Samson & Delilah Baths,General City Coordinates Used,(inquire locally) ,,"34.068621,-118.027567",El Monte,1966,CA,,Baths,checked,,,2/25/2020 10:51am,2/28/2020 1:12pm
24,Do-Nut Wagon,Found,,Turk Nr Jones St,"37.783065,-122.412763",San Francisco,1966,CA,"""(C) - Coffee, soft drinks and sometimes snacks""",Bars/Clubs,checked,,,2/25/2020 11:01am,2/28/2020 1:12pm
21,Club Seven,Found,,14th St at 2nd Ave,"37.797953,-122.256325",Oakland,1966,CA,(*) - Very popular,Bars/Clubs,checked,,,2/25/2020 11:01am,2/28/2020 1:12pm
18,Mr. B's South,General City Coordinates Used,(inquire locally),,"34.099708,-118.338695",Los Angeles ,1966,CA,"""(C) - Coffee, soft drinks and sometimes snacks"",(S) - Shows - impersonators or record pantomime acts - often touristy,(M) - Mixed Crowds",Bars/Clubs,checked,,,2/25/2020 11:01am,2/28/2020 1:12pm
20,Pine Ridge Lodge,General City Coordinates Used,12 mi S Ft Bragg,,"39.307674,-123.799459",Mendocino,1966,CA,(M) - Mixed Crowds,Hotels,checked,,,2/25/2020 11:01am,2/28/2020 1:12pm
23,No-Hu-Hu-Hut-Tower,General City Coordinates Used,Ct & W Capitol St,,"38.581572,-121.4944",Sacramento ,1966,CA,,Bars/Clubs,checked,,,2/25/2020 11:01am,2/28/2020 1:12pm
17,Fran's Pine Lake Lodge,Found,Old Hwy 99 at  Ashland,," 36.794337,-119.864118",Fresno,1966,CA,(*) - Very popular,Hotels,checked,,,2/25/2020 11:01am,2/28/2020 1:12pm
19,The Strand,Found,(On the boardwalk),,"33.88431,-118.411973",Manhattan Beach ,1966,CA,,Bars/Clubs,checked,,,2/25/2020 11:01am,2/28/2020 1:12pm
22,Vieux Carre,General City Coordinates Used,(Guerneville),,"38.501858,-122.99611",Russian River,1966,CA,,Bars/Clubs,checked,checked,,2/25/2020 11:01am,2/28/2020 1:12pm
