ID,title,status,description,lat.lon,streetaddress,notes,city,state,amenityfeatures,type,dateadded,lastmodified,Year
1,Airport Motel Bar,Found,"Birmingham Airport
","33.562028,-86.75248",5900 Messer Airport Hwy,,Birmingham,AL,(M),"Hotels,Bars/Clubs",8/31/2019 2:07pm,9/7/2019 1:18pm,1974
3,Cruisy Area,Found,," 33.518128,-86.808085 ",5th Ave N & 20th St N,,Birmingham,AL,Cruisy Area,Cruising Areas,8/31/2019 2:07pm,9/7/2019 1:18pm,1974
234,Jewel Box,Found,Dinkler-Tutwiler Hotel," 33.518128,-86.808085 ",5th Ave N & 20th St N,,Birmingham,AL,"(M),(PE)",Bars/Clubs,8/13/2019 10:31am,9/7/2019 1:33pm,1969
295,Jewel Box,Found,"Dinkler-Tutwiler Hotel
"," 33.518128,-86.808085 ",5th Ave N & 20th St N,,Birmingham,AL,"(M),(PE)","Bars/Clubs,Hotels",8/19/2019 12:22am,9/7/2019 1:31pm,1968
340,Jewel Box,Found,Dinkler-Tutwiler Hotel," 33.518128,-86.808085 ",5th Ave N & 20th St N,,Birmingham,AL,"(M),(PE)",Hotels,8/12/2019 10:30am,9/7/2019 1:30pm,1966
369,Jewel Box,Found,Dinkler-Tutwiler Hotel," 33.518128,-86.808085 ",5th Ave N & 20th St N,,Birmingham,AL,"(M),(PE)",Bars/Clubs,8/13/2019 11:23pm,9/7/2019 1:29pm,1965
1098,5th Ave. N. at 20th St. near bus stops,Found,,"33.518077,-86.808184",,,Birmingham,AL,Cruisy Area,Cruising Areas,,,1979
1101,Woodrow Wilson Park ,Found,,"33.520773,-86.809888 ",,Renamed to Linn Park.,Birmingham,AL,Cruisy Area,Cruising Areas,,,1979
1297,Focus Phase II,Found,(Many G) (Disco),"33.482725,-86.823318",117 ½ N. 21st St.,,Birmingham,AL,"(D),(S),(WE),(*)",Bars/Clubs,,,1979
1100,Venus Adult Entertainment,General City Coordinates Used,,"33.518589,-86.810357",,,Birmingham,AL,Cruisy Area,Cruising Areas,,,1979
1099,Rushton Park ,Found,,"33.506402,-86.780064",,,Birmingham,AL,Cruisy Area,Cruising Areas,,,1979
1078,Airport Motel Bar,Found,"Birmingham Airport
","33.562028,-86.75248",5900 Messer Airport Hwy,,Birmingham,AL,Cruisy Area,"Hotels,Cruising Areas",,,1979
1377,Dutchman,Found,,"33.503306,-86.794398",Magnolia Pt. at 22nd St. S.  ,,Birmingham,AL,(M),Bars/Clubs,,,1972
1589,Outer Focus,Found,(upstairs),"33.482725,-86.823318",117 ½ N. 21st St.,,Birmingham,AL,"(YC),(D),(*)",Bars/Clubs,,,1973
1588,Dutchman,Found,,"33.503306,-86.794398",Magnolia Pt. at 22nd St. S.,,Birmingham,AL,(M),Bars/Clubs,,,1973
1507,5th Ave. N. at 20th St. near bus stops,Found,,"33.518077,-86.808184",,,Birmingham,AL,Cruisy Areas,Cruising Areas,,,1973
2013,Woodrow Wilson Park,Found,,"33.520773,-86.809888 ",,Renamed to Linn Park.,Birmingham,AL,"Cruisy Area,(HOT)",Cruising Areas,,,1976
2014,5th Ave N. at 20th St. nr bus depot,Found,,"33.518077,-86.808184",,,Birmingham,AL,Cruisy Area,Cruising Areas,,,1976
2012,Airport Motel Bar,Found,,"33.562028,-86.75248",,,Birmingham,AL,Cruisy Area,Cruising Areas,,,1976
2232,Airport Motel Bar ,Found,,"33.562028,-86.75248",,,Birmingham,AL,Cruisy Area,Cruising Areas,,,1977
2233,5th Avenue North at 20th Street near Bus Depot,Found,,"33.518077,-86.808184",,,Birmingham,AL,Cruisy Area,Cruising Areas,,,1977
2212,Redmont Hotel Lounge,Found,,"33.519436,-86.805395",5th Avenue North at 22nd Street,,Birmingham,AL,"(M),(RT),(PT),(G)","Hotels,Bars/Clubs",,,1977
2234,Woodrow Wilson Park ,Found,,"33.520773,-86.809888 ",,Renamed to Linn Park.,Birmingham,AL,"Cruisy Area,(HOT)",Cruising Areas,,,1977
2475,Airport Motel Bar,Found,,"33.562028,-86.75248",,,Birmingham,AL,Cruisy Area,"Cruising Areas,Hotels",,,1975
2477,Woodrow Wilson Park,Found,,"33.520773,-86.809888 ",,Renamed to Linn Park.,Birmingham,AL,Cruisy Area,Cruising Areas,,,1975
2476,"5th Ave N. at 20th St., near bus depot",Found,,"33.518077,-86.808184",,,Birmingham,AL,Cruisy Area,Cruising Areas,,,1975
2974,Airport Motel Bar,Found,,"33.562028,-86.75248",,,Birmingham,AL,Cruisy Area,"Cruising Areas,Hotels",,,1978
2765,Rushton Park,Found,,"33.506402,-86.780064",,,Birmingham,AL,Cruisy Area,Cruising Areas,,,1978
2766,Woodrow Wilson Park,Found,(HOT),"33.520773,-86.809888 ",,Renamed to Linn Park.,Birmingham,AL,Cruisy Area,Cruising Areas,,,1978
2764,5th Ave. No. at 20th St. nr. Bus Depot,Found,,"33.518077,-86.808184",,,Birmingham,AL,Cruisy Area,Cruising Areas,,,1978
3016,Redmont Hotel Lounge,Found,,"33.519436,-86.805395",5th Ave. N. at 22nd St.,,Birmingham,AL,"(M),(RT),(B),(PT)",Bars/Clubs,,,1980
3017,Airport Motel Bar,Found,,"33.562028,-86.75248",,,Birmingham,AL,Cruisy Area,Cruising Areas,,,1980
3021,Woodrow Wilson Park,Found,,"33.520773,-86.809888 ",,Renamed to Linn Park.,Birmingham,AL,"Cruisy Area,(AYOR)",Cruising Areas,,,1980
3020,Rushton Park,Found,,"33.506402,-86.780064",,,Birmingham,AL,Cruisy Area,Cruising Areas,,,1980
3018,Felicia Del Rio,General City Coordinates Used,Reject shipped back from Sa Francisco - FFA/water sports,"33.518589,-86.810357",,,Birmingham,AL,"Cruisy Area,(FFA)",Cruising Areas,,,1980
3015,Pitt Grill,Found,,"33.509639,-86.795133",6th Ave. S. at 24th St. ,,Birmingham,AL,"(M),(R),(C),(AH)",Restaurant,,,1980
3019,5th Ave. N. at 20th St. nr. Bus Depot,Found,,"33.518077,-86.808184",,,Birmingham,AL,Cruisy Area,Cruising Areas,,,1980
2,King Cotton,General City Coordinates Used,(may be opening summer '73 - Inquire locally),"30.254257,-88.112415",,,Mobile,AL,,Bars/Clubs,8/31/2019 2:07pm,9/7/2019 1:18pm,1974
6,Dolphin Island,Found,(summers only),"30.254257,-88.112415",,Coordinates for Dauphin Island due to unlcear location.,Mobile,AL,Cruisy Area,Cruising Areas,8/31/2019 2:07pm,9/7/2019 1:18pm,1974
235,Flamingo Room,General City Coordinates Used,Mobile Steak House,"30.254257,-88.112415",,Coordinates for Mobile due to unclear address.,Mobile,AL,,Bars/Clubs,8/13/2019 10:31am,9/7/2019 1:24pm,1969
1110,Dolphin Island - nr. Old Casino & Bird Sanctuary ,Found,,"30.254257,-88.112415",,,Mobile,AL,Cruisy Area,Cruising Areas,,,1979
1111,Y. M. C. A. Dormitory ,General City Coordinates Used,,"30.695366,-88.039891",,,Mobile,AL,Cruisy Area,Cruising Areas,,,1979
1590,King Cotton,General City Coordinates Used,(Maybe opening downtown by summer ’72 – Inquire locally),"30.254257,-88.112415",,,Mobile,AL,,Bars/Clubs,,,1973
1508,Dolphin Island,Found,Near ‘old’ Casino & bird sanctuary (Summers only),"30.254257,-88.112415",,,Mobile,AL,Cruisy Areas,Cruising Areas,,,1973
2018,'Rest Area' nr. Mississippi State Line (I-10),General City Coordinates Used,,"30.254257,-88.112415",,,Mobile,AL,Cruisy Area,Cruising Areas,,,1976
2017,Dolphin Island,Found,"(near old casino & bird sanctuary, summers only)","30.254257,-88.112415",,,Mobile,AL,Cruisy Area,Cruising Areas,,,1976
2237,Dolphin Island – near Old Casino & Bird Sanctuary ,Found,,"30.254257,-88.112415",,,Mobile,AL,Cruisy Area,Cruising Areas,,,1977
2407,Patio Club ,General City Coordinates Used,,"30.254257,-88.112415",Conti St. in back of Fireside ,,Mobile,AL,,Bars/Clubs,,,1977
2480,Dolphin Island - near Old Casino & bird sanctuary,Found,(summers only),"30.254257,-88.112415",,,Mobile,AL,Cruisy Area,Cruising Areas,,,1975
2772,Dolphin Island,Found,nr. Old Casino & Bird Sancturary ,"30.254257,-88.112415",,,Mobile,AL,Cruisy Area,Cruising Areas,,,1978
2734,Central Cafe,General City Coordinates Used,"('Market Place') (Some western cowboy types, motorcycle, blacks)
(Go-go boys)","30.695341,-88.039911",Springhill & Dauphin,,Mobile,AL,"(W),(B),(D)",Bars/Clubs,,,1978
3032,Cental Cafe ,General City Coordinates Used,('Market Place') (May be moving or closing),"30.695341,-88.039911",Springhill & Dauphin,,Mobile,AL,,Bars/Clubs,,,1980
3034,Dolphin Island,Found,"nr. Old Casino & Bird Sanctuary
","30.254257,-88.112415",,,Mobile,AL,Cruisy Area,Cruising Areas,,,1980
3033,Bienville Square,Found,,"30.692229,-88.042546",,,Mobile,AL,Cruisy Area,Cruising Areas,,,1980
3036,Y.M.C.A. Dormitory,General City Coordinates Used,,"30.695366,-88.039891",,,Mobile,AL,Cruisy Area,Cruising Areas,,,1980
3035,Luscher Park,Found,,"30.628862,-88.102592",,,Mobile,AL,Cruisy Area,Cruising Areas,,,1980
173,The Club,General City Coordinates Used,(about 5 miles out),"32.379223,-86.307737 ",,Coordinates for Montogomery due to vague address.,Montgomery,AL,"(P),(D)",Bars/Clubs,8/29/2019 3:15pm,9/7/2019 1:20pm,1971
236,Exchange Bar ,Found,Exchange Hotel,"32.379082,-86.312033",201 Tallapoosa St,Address updated. Location still exists.,Montgomery,AL,,Bars/Clubs,8/13/2019 10:31am,9/7/2019 1:24pm,1969
296,Jefferson Davis Hotel Bar,Found,,"32.375534,-86.312561",,Coordinates for cross street.,Montgomery,AL,(M),"Bars/Clubs,Hotels",8/19/2019 12:22am,9/7/2019 1:31pm,1968
341,Jefferson Davis Hotel Bar,Found,,"32.375534,-86.312561",,Coordinates for cross street.,Montgomery,AL,(M),"Bars/Clubs,Hotels",8/12/2019 10:30am,9/7/2019 1:30pm,1966
370,Jefferson Davis Hotel Bar,Found,,"32.375534,-86.312561",,Coordinates for cross street.,Montgomery,AL,(M),Bars/Clubs,8/13/2019 11:23pm,9/7/2019 1:30pm,1965
1113,Lee St. betw. Bus Depots,General City Coordinates Used,,"32.379223,-86.307737 ",,,Montgomery,AL,Cruisy Area,Cruising Areas,,,1979
1112,Church St. Betw. Lee & Molton,Found,,"32.376284,-86.309913",,,Montgomery,AL,Cruisy Area,Cruising Areas,,,1979
1669,Filibuster Lounge,Found,Governor's House Motel,"32.328398,-86.252846 ",,See https://abandonedsoutheast.com/2019/03/25/governors-house-motel/,Montgomery,AL,(M),Bars/Clubs,,,1970
1668,Exchange Bar,Found,"Exchange Hotel
","32.379082,-86.312033",Montgomery & Court Sq.,,Montgomery,AL,,Bars/Clubs,,,1970
1731,Outpost ,General City Coordinates Used,(may be closing),"32.379223,-86.307737 ",Atlanta Hwy. at Eastern By-pass,,Montgomery,AL,(BYOB),Bars/Clubs,,,1976
2408,Quinn’s ,Found,(“Subtle” – like an old-style ‘speak easy’) ,"32.378983,-86.310318",80 Commerce at Madison ,,Montgomery,AL,"(M),(AH)",Bars/Clubs,,,1977
2205,Am-Vets Club ,General City Coordinates Used,,"32.379223,-86.307737 ",Bibb & Montgomery ,Unclear because Bibb and Montgomery don't intersect.,Montgomery,AL,"(M),(R),(C),(AH)",Restaurant,,,1977
2481,Outpost ,General City Coordinates Used,,"32.379223,-86.307737 ",Atlanta Hwy. at Eastern By-pass,,Montgomery,AL,"(BYOB),(*)",Bars/Clubs,,,1975
2770,Church St. Betw. Lee & Molton,Found,,"32.376284,-86.309913",,,Montgomery,AL,Cruisy Area,Cruising Areas,,,1978
2771,Lee St.,General City Coordinates Used,betw. bus depot,"32.379223,-86.307737 ",,,Montgomery,AL,Cruisy Area,Cruising Areas,,,1978
3037,Block around Post Office,General City Coordinates Used,,"32.379223,-86.307737",,,Montgomery,AL,Cruisy Area,Cruising Areas,,,1980
3039,Lee St. ,General City Coordinates Used,between Bus Depots,"32.379223,-86.307737 ",,,Montgomery,AL,Cruisy Area,Cruising Areas,,,1980
3038,Church St. Betw. Lee & Molton,Found,,"32.376284,-86.309913",,,Montgomery,AL,Cruisy Area,Cruising Areas,,,1980
9,Bath Row,General City Coordinates Used,,"34.5037,-93.05518",,,Hot Springs,AR,Cruisy Area,Cruising Areas,8/31/2019 2:07pm,9/7/2019 1:18pm,1974
1081,Arlington Hotel Downstairs T-Room,General City Coordinates Used,,"34.5037,-93.05518",,,Hot Springs,AK,Cruisy Area,"Hotels,Bars/Clubs",,,1979
1468,Bath Row,General City Coordinates Used,,"34.5037,-93.05518",,,Hot Springs,AR,Cruisy Areas,"Cruising Areas,Baths",,,1972
1506,Bath Row,General City Coordinates Used,,"34.5037,-93.05518",,,Hot Springs,AK,Cruisy Areas,"Cruising Areas,Baths",,,1973
2021,Bath Row,General City Coordinates Used,,"34.5037,-93.05518",,,Hot Springs,AR,Cruisy Area,Cruising Areas,,,1976
2239,Bath Row,General City Coordinates Used,,"34.5037,-93.05518",,,Hot Springs,AK,Cruisy Area,Cruising Areas,,,1977
2486,Bath Row,General City Coordinates Used,,"34.5037,-93.05518",,,Hot Springs,AR,Cruisy Area,Cruising Areas,,,1975
2975,"
  Arlington Hotel –
  Downstairs T-Room 
  ",General City Coordinates Used,,"34.5037,-93.05518",,,Hot Springs,AK,Cruisy Area,"Cruising Areas,Hotels",,,1978
3052,DeSoto Park T-Room,Found,,"34.53582,-93.02977",,,Hot Springs,AR,"(AYOR),Cruisy Area",Cruising Areas,,,1980
3051,Bath House Row,General City Coordinates Used,"(Central Ave)
","34.5037,-93.05518",,,Hot Springs,AR,Cruisy Area,Cruising Areas,,,1980
7,Drummer's Room,Found,(attempts to discourage crowds) Manning Motor Hotel,"34.748095,-92.270318",W Markham St & S Main St,,Little Rock,AR,,"Hotels,Bars/Clubs",8/31/2019 2:07pm,9/7/2019 1:18pm,1974
12,Mac Arthur Park,Found,,"34.739286,-92.265501",,,Little Rock,AR,Cruisy Area,Cruising Areas,8/31/2019 2:07pm,9/7/2019 1:18pm,1974
11,Alsop Park,Found,,"34.761595,-92.313834",3700 Cedar Hill Rd,,Little Rock,AR,Cruisy Area,Cruising Areas,8/31/2019 2:07pm,9/7/2019 1:18pm,1974
175,Southwest Actors & Artists Club,General City Coordinates Used,,"34.746481,-92.289595",,Coordinates for Little Rock due to unclear address.,Little Rock,AR,"(P),(D),(YC)",Bars/Clubs,8/29/2019 3:15pm,9/7/2019 1:20pm,1971
177,Gar Hole,Found,(thru lobby of Marion Hotel -- downstairs),"34.748095,-92.270318",W Markham St & S Main St,,Little Rock,AR,,Hotels,8/29/2019 3:15pm,9/7/2019 1:20pm,1971
237,Gar Hole,Found,(Thru lobby of Marion Hotel & downstairs),"34.748095,-92.270318",W Markham St & S Main St,,Little Rock,AR,,"Bars/Clubs,Hotels",8/13/2019 10:31am,9/7/2019 1:33pm,1969
339,Gar Hole,Found,Marion Hotel,"34.748095,-92.270318",W Markham St & S Main St,,Little Rock,AR,,"Bars/Clubs,Hotels",8/19/2019 12:23am,9/7/2019 1:23pm,1968
1122,Boyle Park ,Found,,"34.730683,-92.355453",,,Little Rock,AK,Cruisy Area,Cruising Areas,,,1979
1121,Alsop Park,Found,,"34.76123,-92.316541",,,Little Rock,AK,Cruisy Area,Cruising Areas,,,1979
1123,Burns Park – No. Little Rock,Found,,"34.797696,-92.309918",,,Little Rock,AK,Cruisy Area,Cruising Areas,,,1979
1082,Drummer’s Room ,Found,(Some G) (Thru lobby – in basement) (Manning Motor Hotel) ,"34.748095,-92.270318",Markham & Main,,Little Rock,AK,"(YC),(D),(*)","Hotels,Bars/Clubs",,,1979
1125,T-Room – Greyhound Bus Depot,General City Coordinates Used,,"34.746481,-92.289595 ",,,Little Rock,AK,Cruisy Area,Cruising Areas,,,1979
1124,MacArthur Park ,Found,,"34.735864,-92.2649",,,Little Rock,AK,Cruisy Area,Cruising Areas,,,1979
